name,country,333oh
Knut Skaug Haraldsen,Norway,1304
Tymon Kolasiński,Poland,1288
Martin Vædele Egdal,Denmark,1256
Zayn Khanani,USA,1245
Magdalena Pabisz,Poland,1242
Karol Zakrzewski,Poland,1240
Feliks Zemdegs,Australia,1236
Max Park,USA,1224
Dwyane Ramos,New Zealand,1212
Jakob Gunnarsson,Sweden,1212
Ruihang Xu (许瑞航),China,1211
Andrey Che,Russia,1208
Hubert Badocha,Poland,1202
Juliette Sébastien,France,1200
Ciarán Beahan,Ireland,1194
Simon Kalhofer,Germany,1181
Daniel Wallin,Sweden,1178
Yibo Wang (王奕博),China,1178
Łukasz Burliga,Poland,1171
Luke Garrett,USA,1170
Jode Brewster,Australia,1161
Riley Dexter,Australia,1154
Dmitry Dergunov,Russia,1153
Joshua Hounslow,Australia,1152
William Jensen,Sweden,1149
Przemysław Kaleta,Poland,1147
Rasmus Stub Detlefsen,Denmark,1145
Patrick Ponce,USA,1143
Bartosz Karpiński,Poland,1141
Bryan Eng,Australia,1135
Jiazhou Li (李佳洲),China,1135
Kai-Wen Wang (王楷文),Taiwan,1134
Nicolas Gertner,France,1133
Brian Johnson,USA,1132
Henri Gerber,Germany,1131
Marquez Phan,Australia,1130
Nguyễn Khang Minh,Vietnam,1129
Daniel Vædele Egdal,Denmark,1126
Amos Nordman,Finland,1125
Alexander Tosting,Sweden,1123
Vincent Wong,Australia,1117
Eli Parker,USA,1115
Luke Tycksen,USA,1112
Marco Vorländer,Germany,1110
Phoenix Patterson,Australia,1109
Andrew Bae,USA,1106
Dmitry Dobrjakov,Russia,1106
Yiqun Lin (林逸群),China,1103
Michał Marszałek,Poland,1102
Alexander Bashutkin,Russia,1102
Joseph Briggs,United Kingdom,1101
Lachlan Stephens,Australia,1100
He-Ping Zheng (鄭和平),Taiwan,1099
Juan David Carmona Vásquez,Colombia,1099
George Scholey,United Kingdom,1097
Jack Larsson Backsell,Sweden,1095
Carter Kucala,USA,1095
Jayden McNeill,Australia,1095
Mathias Søndergaard Byrne,Denmark,1093
Sora Sato,Australia,1092
Jack Cai,Australia,1091
Max Siauw,USA,1091
Zhiyuan Ma (马之元),China,1090
Lei Liu (刘磊),China,1090
Linus Laurén,Finland,1088
Rhys Lloyd,Australia,1087
Qingze Li (李庆泽),China,1086
Lorenzo Mauro,Italy,1084
Kim Roger Høyland Larsen,Norway,1083
Daniel Gutierrez,USA,1082
Aniket Das,India,1082
Xingkai Yin (尹星凯),China,1082
Jack Mennie,Australia,1081
Antonie Paterakis,Greece,1080
Ben Kirby,New Zealand,1079
Justin Mallari,USA,1079
Igor Ośmiałowski,Poland,1079
Artem Ganzha,Russia,1078
Ying Lin (林颖),China,1078
Tommy Cherry,USA,1077
Paul Pleis,France,1076
Magnus Lensch,Germany,1074
Weilong Luo (罗伟龙),China,1074
Zhouheng Sun (孙舟横),China,1073
Alix Jack,France,1073
Emilio Matanguihan,Australia,1072
Andy Gong,Australia,1072
Anders Berggren,Sweden,1072
Bautista Bonazzola,Argentina,1071
Magnus Søndergaard Byrne,Denmark,1071
Tao Wen (温韬),China,1070
Twan Dullemond,Netherlands,1069
Jr-Wei Jang (張智瑋),Taiwan,1069
Lance Aguilar,Australia,1067
Keaton Ellis,USA,1067
Hugo Spitz,France,1066
Tianhao Mo (莫天皓),China,1064
Oliver Jenks,New Zealand,1064
Jeann Valdez,Australia,1064
Louis de Mendonça,United Kingdom,1064
Szymon Malinowski,Poland,1063
Jakub Hamkało,Poland,1063
Lev Golub (Лев Голуб),Ukraine,1063
Simiao Huang (黄思淼),China,1062
Chris Mills,United Kingdom,1061
Lucas Déglise,France,1061
Philipp Weyer,Germany,1060
Adam Marcellus Kelly,USA,1060
Wilhelm Kilders,Germany,1060
Harrison Marsden,New Zealand,1060
Adam Łyskawa,Poland,1059
Michael Andres Castillo Lemus,Colombia,1058
Tolga Kaan Kantarcı,Turkey,1057
Calvin Nielson,USA,1056
Iuri Grangeiro Carvalho,Brazil,1056
Yusheng Du (杜宇生),China,1056
Tee Kai Yang,Malaysia,1056
Kristóf Veres,Hungary,1055
Clément Cherblanc,France,1055
Mingzhe Li (李明哲),China,1054
Bartłomiej Owczarek,Poland,1054
Brody Lassner,USA,1053
Ruohan Qiu (邱若寒),China,1052
Ray Bai,USA,1052
Shih-Hao Wang (王士豪),Taiwan,1051
Jacob Turrubiartes,USA,1050
Jiayu Wang (王佳宇),China,1049
Francisco Hamlin,Argentina,1049
Jonathan Charlesworth,Australia,1049
Ulrik Bredland,Norway,1048
Jeff Miao,China,1048
Alexander Tolstov (Александр Толстов),Russia,1047
Lucas O'Connell,New Zealand,1046
János Bereczki,Romania,1045
Robert Yau,United Kingdom,1045
Dante Wallin Arvidsson,Sweden,1045
Hassan Khanani,USA,1045
Samir Homsi,Turkey,1044
Nicholas Paul,Australia,1044
Yu Tang (唐语),China,1044
Taine Cassar,Australia,1044
Paul Mahvi,USA,1044
Christopher Yen,USA,1043
Junqi Feng (冯骏骐),China,1043
Pavel Galaktionov,Russia,1042
Ryan Wu,Canada,1041
Kevin Gerhardt,Germany,1041
Vincent Hartanto Utomo,Indonesia,1041
Alexandre Carlier,France,1039
Mika Smulders,Netherlands,1038
Pessi Ansaranta,Finland,1038
Loic Chiang,Singapore,1036
Bill Wang,Canada,1036
Maksym Yeli (Максим Єлі),Ukraine,1035
Bhargav Narasimhan,India,1034
Magnus Patrick Kanstrup,Denmark,1034
Patrick Hetco,Germany,1033
Mateusz Szulik,Poland,1033
Alwin Rölz,Switzerland,1032
Xuechao Zhang (张学超),China,1031
Witold Sołtysik,Poland,1031
David Pearce,Australia,1030
Zhao-Zhe Zhong (鍾肇哲),Taiwan,1030
Shaun Mack,USA,1030
Hannes Müller,Germany,1030
Yifan Yuan (袁逸凡),China,1030
Ilya Nazarov,Russia,1029
Callum Hales-Jepp,United Kingdom,1029
Christian König,Germany,1029
Matthew Lee,Canada,1029
Zeke Mackay,USA,1028
Jack Ryan,USA,1028
Ryan Driscoll,Australia,1028
Kaur Tuule,Estonia,1027
Jacobo Alvarez,Colombia,1026
Kerry Creech,USA,1026
Eduard Esteban García Domínguez,Colombia,1026
Heidi Chan,USA,1026
Alexander Botz,Germany,1025
Wade Hawkins,USA,1025
Weicong Peng (彭伟聪),China,1025
Lazo Jalal,Australia,1024
Daniel Rose-Levine,USA,1024
Ábris Galler,Hungary,1024
Benjamin Warry,Australia,1023
Mats Valk,Netherlands,1023
Muhammad Saleh Imtiaz,Pakistan,1022
Mattia Furlan,Italy,1021
Tommy Kiprillis,Australia,1021
Ping-Yueh Huang (黃品越),Taiwan,1020
Yuhao Deng (邓宇豪),China,1020
Jan Zych,Poland,1020
Myles Jarman,Australia,1020
James Hildreth,USA,1020
Zak Kenny,Australia,1019
Zach Amiridis,Australia,1018
Valerio Locatelli,Italy,1018
Sameer Aggarwal,USA,1018
Eric Zhao,USA,1018
Ainesh Sevellaraja,Malaysia,1017
Viljo Elo,Finland,1017
Sean Belke,USA,1017
Ray Zhang (张灏睿),Australia,1016
Louis-Marie Ratto,France,1015
Darcy Way,Australia,1015
José Leonardo Chaparro Prieto,Colombia,1015
Hussain Iqbal,United Kingdom,1015
Nachuan Sun (孙纳川),China,1014
Fabio Schwandt,United Kingdom,1014
Will Gurnett,Australia,1014
Michał Pleskowicz,Poland,1013
Anthony Lafourcade,France,1013
Sean Hartman,USA,1013
Anatole Volongo,France,1012
Burak Erdil Biçer,Turkey,1012
Edward Rust,Australia,1012
Karina Grandjean Beck,Denmark,1012
Matthew Arca,USA,1011
Dennis Hu,New Zealand,1011
Konstantin Jaehne,Germany,1011
Tommas Austin-Milne,Australia,1010
Tobias Peter,Switzerland,1010
Joaquin Abarca,Canada,1009
Leon Marcell Alamanda,Indonesia,1009
Ethan Cho,USA,1009
Cheng-Ying Lee (李承穎),Taiwan,1008
Ruikang Lu (陆瑞康),China,1008
Zayd Chaudhry,Australia,1008
Will Newhoff,USA,1008
Herman Westerlund Kalland,Norway,1008
Wong Chong Wen (黄崇文),Singapore,1007
Arkadiusz Abramowski,Poland,1007
Xiran Chen (陈袭然),China,1006
Cornelius Dieckmann,Germany,1006
Jonas Pilhöfer,Germany,1006
Ianis Costin Chele,Romania,1006
Harry Savage,United Kingdom,1005
Lennon Hughes,Australia,1005
Luke Burong,Australia,1005
Jerry Yao,USA,1004
Antoine Cantin,Canada,1004
Kyyarkhan Nikolaev,Russia,1004
Sheng Cao (曹晟),China,1003
Ole Meindersma,Netherlands,1003
Chengyang Song (宋成阳),China,1003
Adrien Auvray Matyn,New Zealand,1001
Tu Pham,Vietnam,1001
Izan Cantero Herrera,Spain,1001
Joel Ulin,Sweden,1001
Zaiyang Zhang (张在旸),China,1000
Lin Chen (陈霖),China,999
Cheng-Ru Yang,New Zealand,998
Minhyun Kim (김민현),Korea,998
Nicos Ahlgrimm,Germany,997
Jing Chen (陈憬),China,997
Jonathan Esparaz,Canada,997
Ronald Su Chiang,Australia,996
Kari Hyttinen,Finland,996
Leo Lindqvist,Sweden,996
Quentin Rivault,France,995
Eli Jay,United Kingdom,995
Kian Mansour,Canada,995
Matthew Cook,Australia,995
Andreas Lambropoulos,USA,995
Brendan Bakker,USA,994
Daniel McDonald,Australia,994
Brayden Wroten,USA,993
Danila Rogozhnikov (Данила Рогожников),Russia,993
