name,country,444bf
Adrian Dębski,Poland,1042
Yinhao Ding,Australia,995
Stanley Chapel,USA,985
Mikołaj Salamon,Poland,967
Michael Tripodi,Australia,942
Daniel Wallin,Sweden,940
Jeremy Sheng,USA,928
Martin Vædele Egdal,Denmark,925
Anthony Rochester,Australia,919
Amy Eguchi-Fergusson,Australia,918
Sergey Marin (Сергей Марьин),Russia,918
Ming Dao Ting,Australia,916
Lennon Hughes,Australia,911
Jeremy Crouther,Australia,910
Jan Fonš,Czech Republic,908
Kaijun Lin (林恺俊),China,901
Karol Piskorek,Poland,897
Ryan Paroz,Australia,889
Isaac Wells,Australia,858
Pedro Henrique de Jesus Silva,Brazil,853
Witali Bułatow,Poland,849
Zabir Bin Moaj,Bangladesh,846
Sergio Antonio Galvan Beltran,Mexico,843
Gustavo Dutra Santolin,Brazil,833
Jhasmani Oxa Lopez,Bolivia,826
Naoto Shinagawa (品川直登),Japan,826
Adam Marcellus Kelly,USA,825
Cedric Meysing,Germany,824
Aaron Spiller,Australia,820
Charlie Harrison,United Kingdom,817
Mohammed Aiman Koli,India,814
Abhijeet Ghodgaonkar,India,811
Swami Srinivasan,Australia,811
Niklas Thomßen,Germany,806
Sukant Koul,India,805
Rowe Hessler,USA,803
Jonathan Charlesworth,Australia,802
Brandon Poulton,United Kingdom,801
Evgeniy Lee,Uzbekistan,801
Jeyamurugesh Jeyaraj,India,800
Renan da Cunha Santos,Brazil,800
Tyler Williams,Australia,798
Mengfei Shen (沈梦非),China,796
Graham Siggins,USA,794
Thomás Lima Braga,Brazil,794
Jakob Gunnarsson,Sweden,790
Joshua Hounslow,Australia,787
Cale Schoon,USA,786
Oliver Wheat,United Kingdom,786
Teruki Tamura (田村旭輝),Japan,785
Muhtasim Al Farabi,Bangladesh,782
Joshua Feran,USA,780
Bence Barát,Hungary,780
Olli Vikstedt,Finland,778
Viktor Zenk,Sweden,778
Marcos Ferreira Semolini,Brazil,778
Nicholas Paul,Australia,777
Jens Grieme,Germany,776
Wilfrid Py,France,771
Brayden Wroten,USA,771
Sam Sieracki,Australia,771
Andrii Lushpak (Андрій Лушпак),Ukraine,771
Nevins Chan Pak Hoong (陈百鸿),Malaysia,770
Noah Kraft,Germany,769
Harry Savage,United Kingdom,766
Dominik Obara,Poland,763
Yuki Yamamoto (山本祐輝),Japan,763
Hari Anirudh,India,760
Christopher Sun,USA,756
Jeremiah Martin,USA,755
Simon Kelly,Ireland,755
Haozhen Ding (丁昊桢),China,750
Sebastiano Tronto,Italy,748
Bill Wang,Canada,747
Shivam Bansal,India,746
Oliver Fritz,Germany,746
Jason White,USA,746
Jayden Lederer,Australia,745
Nicholas Tan Jun Wei,Malaysia,744
Hui Cai (蔡辉),China,742
Naoki Tani (谷直輝),Japan,742
Dieter Amberger,Austria,740
Yuri de Oliveira,Brazil,740
Gabriel Barrios,Guatemala,738
Paweł Duraj,Poland,732
Thor Muto Asmund,Denmark,732
Brandon Pierel,USA,731
Linus Frész,Germany,730
Steven Kearns,United Kingdom,730
Peri Le Dain,USA,727
István Kocza,Hungary,726
Lee Zhi Xuan,Malaysia,723
Ng Jia Quan (黄佳铨),Malaysia,722
Alyssa Bell,USA,722
Hiroto Fujita (藤田浩斗),Japan,720
Jack Cai,Australia,719
Caleb Hall,New Zealand,717
Haijun Tan (谭海俊),China,716
Vincent Chen,USA,715
Kacper Paweł Dworak,Poland,715
Bo-Yu Lin (林柏佑),Taiwan,713
Sandy Aaron Jones,France,713
Quentin Rivault,France,712
Timur Kabizhanov (Тимур Кабижанов),Kazakhstan,711
Michał Wroński,Poland,711
Jan Bentlage,Germany,711
Beomseok Ryu (류범석),Korea,710
Chen-Pin Sun (孫振斌),Taiwan,709
Alan Galym (Алан Галым),Kazakhstan,708
Neel Gore,USA,707
Max Siauw,USA,707
Antoni Kingston,Poland,706
Arkadiusz Żynel,Poland,705
Ben Erwin,USA,704
Timo Norrkniivilä,Finland,703
Toma Kishimoto (岸本到馬),Japan,699
Jakub Drobný,Slovakia,697
Akshaansh Chilakapati,India,697
Aditya Vij,USA,696
Andy Nicholls,United Kingdom,696
Charles Barden,USA,694
Patrick Kleverlaan,Australia,694
Julian Galliano,Italy,692
Marharyta Dovbii (Маргарита Довбій),Ukraine,691
Alex Taylor,New Zealand,690
Arthur Garcin,France,687
Frederico Canal Gomes,Brazil,685
Antonio Isaías Martínez Santos,Mexico,685
Jagadish Muthuram,India,685
Christopher Baird,USA,684
Jeon Junhyeok (전준혁),Korea,684
Thomas Reinke,USA,683
Rodrigo Aguilar,Peru,682
Matthew Bidwell,USA,681
Takafumi Sakakibara (榊原隆文),Japan,679
Joseph Daus,USA,677
Lucas Pedersson,Australia,677
Paul Taylor,USA,675
Christopher Connolly,Canada,675
Maksym Dumanskyi (Максим Думанський),Ukraine,675
Krishna Pranav Balasubramanian,India,675
Anuar Miguel Abib Onofre,Brazil,674
Frederik Rollmann,Germany,674
Bill Hammill,United Kingdom,674
Charles Martinson,USA,673
Evan Liu,USA,672
Oliver Frost,United Kingdom,670
Samuel Hernandez Castro,Mexico,670
Sameer Aggarwal,USA,669
Maxime Madrzyk,France,668
Charley Abcouwer,Netherlands,667
Eddie Smith,United Kingdom,667
Jonathan Blöcher,Germany,666
DongJae Lee,Korea,665
William Wright,United Kingdom,665
Christian Montoya,Peru,664
Xin Shi (石欣),China,663
Bibhushan Saakha,Nepal,663
David Pearce,Australia,663
Jaden Lim,Philippines,662
Sergio de la Mora García,Mexico,661
Kristian Holme,Norway,661
Chloe Lee Synn Yii,Malaysia,660
Takayuki Tanaka (田中隆喜),Japan,660
Robert Alden,United Kingdom,660
Oleg Gritsenko,Russia,659
Joel Cetra,Germany,659
Jia-Hong Lu (陸嘉宏),Taiwan,658
Elliot Wiecek,USA,658
Armando Dian,Malaysia,657
Dan Alexandru Cechi,Romania,656
Jack Love,Australia,656
Szabolcs Szántai,Hungary,656
Erlend Ektvedt Fredriksen,Norway,655
Jonas Di Dier,Belgium,654
Shrijan Pal,India,653
Ben Lemkin,USA,653
Roman Strakhov,Russia,653
Carter Kucala,USA,653
Tiffany Soh (蘇明珠),Malaysia,653
Erik Tjong Kim Sang,Netherlands,652
Johnathan Starkey,Australia,652
Grigorii Alekseev,Russia,651
Fletcher Berry,USA,650
Igor Brazhnikov (Игорь Бражников),Russia,647
Jason Harley,United Kingdom,647
Conan Mo,Australia,647
Bowen Xiao (肖博文),China,646
Feliks Zemdegs,Australia,645
Will Belote,USA,645
Santino Maiorino,USA,645
Sukesh Kumar,India,643
James Quinn,USA,643
Alexey Kislovskiy,Russia,642
Leia Jiang,USA,642
Keiichiro Taira (平佳一郎),Japan,642
Dylan Swarts,South Africa,640
Georgiy Titov (Георгій Тітов),Ukraine,640
James McCambridge,Ireland,640
Walker Welch,USA,640
Aedan Bryant,USA,639
Bradley Sampson,USA,639
Gabriel Lincon Souza,Brazil,638
Mateusz Mączka,Poland,638
Ethan Honest,Canada,638
Ryan Pilat,USA,638
Abhi Majumdar,USA,637
Arsène Laffarre,France,635
Ehikhuemen Paul,Nigeria,634
Tom Nelson,New Zealand,634
Jacob Ambrose,USA,633
Helmer Ewert,Sweden,632
Aoden Teo Masa Toshi,Singapore,632
Dmitrii Saukov (Дмитрий Сауков),Russia,631
Diego Brizuela Crespo,Mexico,627
James Moore,New Zealand,627
Sean Moran,United Kingdom,627
Keenan Johnson,USA,627
Zachary Zurawski,USA,626
Dattatreya Chodavarapu,India,625
Abhijat Sahu,India,625
Kit Clement,USA,625
Lim Chun Yik,Malaysia,624
Igor Aipkin,Uzbekistan,624
Luiz Fellipe Oliuza Leal Silva,Brazil,624
Syougo Kamo (加茂翔吾),Japan,624
Jose Javier Melendez Maldonado,Guatemala,623
Giovanni Tanaka (陈华安),Indonesia,622
Israel Fraga da Silva,Brazil,621
Nabeel Mahmood,United Kingdom,620
Martin Brath,Germany,620
Pedro Lobeto Miyamoto,Brazil,620
Konstantin Jaehne,Germany,619
Joey Mait,USA,619
Ákos Dél,Hungary,619
Corey Sakowski,USA,618
Elvin Thorsen,Sweden,618
Davis Pogor,USA,618
Zak Kenny,Australia,617
Michael Alexander,Australia,617
Sanjay Jacob,India,615
Ainesh Sevellaraja,Malaysia,613
Pedro Trujillo García,Mexico,613
Hyeok Yang (양혁),Korea,612
Zamir Pantoja,Peru,612
Riley Woo,USA,611
