name,country,777
Ciarán Beahan,Ireland,1120
János Bereczki,Romania,1116
Tymon Kolasiński,Poland,1100
Michał Halczuk,Poland,1078
Max Park,USA,1073
Martin Vædele Egdal,Denmark,1071
Zixuan Liu (刘子瑄),China,1036
Zhangshuai Zhou (周章率),China,1033
Magnus Søndergaard Byrne,Denmark,1029
Kerem Eroğlu,Turkey,1026
Weiqin Yang (杨伟钦),China,1015
Ping-Yueh Huang (黃品越),Taiwan,1013
Ivan Torgashov (Иван Торгашов),Russia,1001
Paul Mahvi,USA,1001
Przemysław Kaleta,Poland,1000
Abdelhak Kaddour,France,996
Feliks Zemdegs,Australia,994
Mateusz Szulik,Poland,993
Yu Tang (唐语),China,990
Magnus Patrick Kanstrup,Denmark,989
Wong Kin Lok (黃健樂),Hong Kong,989
Kai-Wen Wang (王楷文),Taiwan,988
Jakob Gunnarsson,Sweden,981
Ivan Lew Yi Wen (刘义文),Malaysia,969
Bence Barát,Hungary,966
Bartłomiej Owczarek,Poland,965
Marek Majerik,Slovakia,963
Shih-Hao Wang (王士豪),Taiwan,963
Alexis Rodrigo Cazu Mendoza,Mexico,961
Junliang Huang (黄骏亮),China,961
Celine Tran,Norway,956
Seung Hyuk Nahm (남승혁),Korea,955
Ryan Driscoll,Australia,945
Tom Stanton-Barnett,New Zealand,943
Ahmet Çınar Ablak,Turkey,943
Yi-Fan Wu (吳亦凡),Taiwan,941
Adrien Schumacker,Belgium,941
Xin Luo (罗鑫),China,939
Jiayang Zhang (张嘉阳),China,937
Karol Zakrzewski,Poland,935
Anyu Zhang (张安宇),China,927
Waldemar Sundin,Sweden,926
Łukasz Burliga,Poland,920
Walker Welch,USA,916
Daniel Vædele Egdal,Denmark,916
Bautista Bonazzola,Argentina,916
An Hu (胡安),China,915
He-Ping Zheng (鄭和平),Taiwan,915
Michał Mlostek,Poland,913
Xuming Wang (王旭明),China,912
Ben Kirby,New Zealand,912
Aleksandr Nedelko,Russia,911
Weifu Shen (沈为夫),China,909
Laura Holzhauer,Germany,907
Tristan Chua Yong,Singapore,907
Andy Gong,Australia,906
Zachary White,USA,906
Krystian Załuski,Poland,905
Igor Tarasov (Ігор Тарасов),Ukraine,905
Wenxuan Tang (唐文轩),China,904
Benjamin Wei,USA,904
Louis Fertier,France,900
Eli Jay,United Kingdom,900
Zhaoyang Hong (洪兆阳),China,898
Antonie Paterakis,Greece,895
Marco Vorländer,Germany,894
Ahmad Ayman,Egypt,894
Zabir Bin Moaj,Bangladesh,893
Andrew Sherman,Australia,891
Kuo-Hau Wu (吳國豪),Taiwan,891
Sean Hartman,USA,890
Zhao-Zhe Zhong (鍾肇哲),Taiwan,888
Alexander Botz,Germany,887
Axel Uriel Sánchez Zúñiga,Mexico,887
Adam Łyskawa,Poland,886
Wenjie Lan (兰文杰),China,886
Wong Chong Wen (黄崇文),Singapore,886
Étienne Aubry,France,885
William Jensen,Sweden,884
Umut Coşan,Turkey,883
Vicente Astroza,Chile,883
Bill Wang,Canada,881
Kevin Gerhardt,Germany,880
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,878
Samir Homsi,Turkey,878
Kai Su (苏锴),China,876
Amos Nordman,Finland,874
Iurii Chesnokov (Юрий Чесноков),Russia,874
Ying Lin (林颖),China,873
Bastián Palma Rodríguez,Chile,873
Malte Ihlefeld,Germany,873
Clément Cherblanc,France,872
Mattia Furlan,Italy,872
Wilhelm Kilders,Germany,872
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,871
Ray Zhang (张灏睿),Australia,871
Cole Campbell,New Zealand,871
Darcy Andrikonis,Australia,870
Jan Golec,Poland,870
Magdalena Pabisz,Poland,869
Yitao Hong (洪奕涛),China,867
Lee Hoween,Malaysia,867
Jasper Murray,New Zealand,866
Dwyane Ramos,New Zealand,864
Vladimir Semidyanov,Russia,864
Aston Culf,Australia,863
Diego Barrera,Chile,863
Alexey Zharikov,Russia,862
Cian-Jyun Yang (楊謙君),Taiwan,861
Max Xiong (熊锐明),China,860
Richmond Mico Rigor,Philippines,859
Henri Gerber,Germany,857
Pahul Singh,Canada,857
Jared Stinson,USA,856
Evan Liu,USA,854
Jiyi Wang (王吉怡),China,852
Robert Yau,United Kingdom,852
Livia Kleiner,USA,851
Mathias Søndergaard Byrne,Denmark,850
Alevio Hamizan Ersha,Indonesia,848
Elias Nordlund,Sweden,848
Firstian Fushada (符逢城),Indonesia,848
Denis Tsoy (Денис Цой),Russia,847
Aryan Kejriwal,USA,846
Heng Wu (吴恒),China,846
Bartłomiej Krokos,Poland,845
Yu Feng (冯煜),China,845
Angel Torres Perez,Mexico,844
Muhammed Pusat Özçelik,Turkey,843
Pedro Giuseppe Garcia Milla,Peru,843
Mark Ostrom,United Kingdom,842
Gustav Wälivaara,Sweden,841
Nikita Piialtcev,Russia,841
Anrui Cen (岑广瑞),China,840
Alex Asbery,New Zealand,840
Can Gücüyener,Turkey,839
Nguyễn Thành Thái,Vietnam,839
Li Xiaotian,China,838
Alwin Rölz,Switzerland,837
Stanley Chapel,USA,835
Joey Cavanagh,Australia,834
James Hildreth,USA,833
Jun-Po Ni (倪君寶),Taiwan,833
Mark Zimmermann,Germany,832
Tianze Xu (徐天泽),China,832
Jesser Armando Ramírez Diaz,Guatemala,832
Paris Dorn,Canada,831
Adrian Oon,Australia,831
Sheng Cao (曹晟),China,830
Hubert Kwasigroch,Poland,829
Mahmoud Salah El Deberky,Egypt,828
Daniel Evans,United Kingdom,827
Mats Valk,Netherlands,826
Isaac Vergara Castillo,Mexico,826
Tao Sun (孙涛),China,826
Ziyu Wu (吴子钰),China,824
Lucca Emmanuel Pineli Simões,Brazil,823
Adam Marcellus Kelly,USA,821
Richard Yiheng Tao,New Zealand,821
Kaloyan Galabinov,Bulgaria,821
Tomohiro Kobayashi (小林知広),Japan,819
Kanting Shi (史勘霆),China,819
Haijun Tan (谭海俊),China,818
Jaime Aguilera,Chile,818
Chris Deng,USA,817
Angel Armando Jaime Sánchez,Mexico,817
Sami Rahman,Bangladesh,817
Kim Roger Høyland Larsen,Norway,817
