name,country,clock
Yunhao Lou (娄云皓),China,1226
Wojciech Knott,Poland,1207
Hubert Hanusiak,Poland,1172
Daniel Wallin,Sweden,1139
Mateusz Kotwica,Poland,1116
Liam Wadek,New Zealand,1116
Przemysław Rogalski,Poland,1115
Hubert Firek,Poland,1110
Rasmus Händén,Sweden,1104
Yepeng Sun (孙叶芃),China,1102
Shao-Heng Hung (洪紹恆),Taiwan,1085
Karol Piskorek,Poland,1084
Elvin Thorsen,Sweden,1076
Dongzhe Li (李东哲),China,1075
Nachuan Sun (孙纳川),China,1074
Alex Taylor,New Zealand,1064
Shao-Hua Hu (胡少華),Taiwan,1063
Yueyang Hu (胡越洋),China,1058
Dmitry Gundin,Russia,1055
Siheng Chen (陈思衡),China,1053
Asbjørn Brummer Birkelund,Denmark,1053
Jakob Gunnarsson,Sweden,1050
Magdalena Pabisz,Poland,1047
Wei-Chen Hsieh (謝維宸),Taiwan,1045
Max Siauw,USA,1041
Hanwen Mao (毛翰文),China,1040
Marcel Nycz,Poland,1040
Zhouyao Zhu (朱洲瑶),China,1038
Wojciech Piórczyński,Poland,1034
Kacper Jędrzejuk,Poland,1027
Wei-Yu Zhen (詹惟宇),Taiwan,1027
Samuel Eklund-Hanna,Sweden,1025
Piotr Olszewski,Poland,1023
Ziyue Chen (陈子悦),China,1023
Young He (何嘉炀),China,1023
Joshua Hounslow,Australia,1020
Fyodor Borisov,Russia,1019
Chenwei Li (李琛炜),China,1018
Dawid Wójcik,Poland,1017
Zijia Feng (冯子甲),China,1016
Jakub Górzyński,Poland,1015
Jacob Turrubiartes,USA,1011
Szymon Kasprzycki,Poland,1011
Yingquan Xiang (向英权),China,1011
Jakub Majchrzak,Poland,1008
Shangze Li (李尚泽),China,1008
Chun-Yi Kao (高俊亦),Taiwan,1007
Michał Krasowski,Poland,1005
Luke Heath-Edwards,New Zealand,1004
Kacper Paweł Dworak,Poland,1001
Alexey Tsvetkov,Russia,1000
Matteo Dummar,Italy,1000
Daniel Fraser,New Zealand,1000
Alexis Le Merrer,France,1000
Xinan He (何栖楠),China,996
Jan Bentlage,Germany,996
Andrey Che,Russia,996
Michał Mlostek,Poland,996
Lev Golub (Лев Голуб),Ukraine,995
Lewis Garthwaite,USA,994
Jonathan Charlesworth,Australia,993
Kanting Shi (史勘霆),China,992
Chengyang Du (杜成洋),China,991
Qidong Jiao (焦启东),China,990
Krzysztof Boguszewski,Poland,990
Sirun Wu (吴思润),China,989
Laura Holzhauer,Germany,989
Kerry Creech,USA,989
Nathan Nairn,Australia,987
Yunke Zhang (张云柯),China,987
Zih-Siang Huang (黃子翔),Taiwan,985
Sam Shaw,United Kingdom,984
Jiate Xie (谢佳特),China,984
Yibo Wang (王奕博),China,983
Xianghua Zhao (赵祥华),China,983
Dwyane Ramos,New Zealand,981
Qiyu Hou (侯启予),China,981
Zuhan Zhang (张祖瀚),China,980
Daniil Samusev (Даниил Самусев),Russia,979
Tyler Williams,Australia,979
Ilya Nazarov,Russia,977
Yinhao Ding,Australia,977
Martin Vædele Egdal,Denmark,976
Paweł Duraj,Poland,976
William Jensen,Sweden,975
Niko Ronkainen,Finland,974
Patrycja Michalska,Poland,973
Richard Yiheng Tao,New Zealand,970
Wenjie Xu (徐文杰),China,969
Aston Culf,Australia,967
Karol Zakrzewski,Poland,966
Radosław Opoka,Poland,966
Luke Garrett,USA,966
Tommy Cherry,USA,962
Oliver Hoy,Australia,962
Lucas Nieuwland,Canada,961
Cian-Jyun Yang (楊謙君),Taiwan,961
Luis Kleinheinz,Germany,959
Adriano Pallares,Spain,958
Daniil Rublev (Даниил Рублёв),Russia,956
Zhe Wang (王哲),China,956
Vojtěch Kundera,Czech Republic,956
Brandon Harris,New Zealand,955
Lucas Jacobs,Canada,952
Linxiao Xu (徐林霄),China,951
Haoran Ji (纪皓然),China,950
Evan Liu,USA,949
Maciek Skowroński,Poland,949
Matthew Prestwich,United Kingdom,948
Wuouran Liu (刘巫偶然),China,946
