name,country,minx
Jan Zych,Poland,1287
Martin Vædele Egdal,Denmark,1232
Magdalena Pabisz,Poland,1221
Alexander Vujcich,New Zealand,1194
Muhammad Saleh Imtiaz,Pakistan,1192
Bartłomiej Krokos,Poland,1174
Ziyu Wu (吴子钰),China,1172
Oscar Roth Andersen,Denmark,1169
James Macdiarmid,New Zealand,1144
Jakob Gunnarsson,Sweden,1144
Michał Krasowski,Poland,1129
Feliks Zemdegs,Australia,1125
Łukasz Burliga,Poland,1108
Sean Moran,United Kingdom,1107
Yun-Rui Chiang (江昀叡),Taiwan,1100
Joel Lundström,Sweden,1100
Andrey Che,Russia,1094
Daniel Vædele Egdal,Denmark,1087
Jasper Murray,New Zealand,1084
Jakub Grzybowski,Poland,1080
Kacper Rafalski,Poland,1080
Amos Nordman,Finland,1077
Juan Pablo Huanqui,Peru,1077
Jode Brewster,Australia,1074
Yunliang Zhang (张赟量),China,1072
James Holdsworth,Australia,1068
Ping-Yueh Huang (黃品越),Taiwan,1067
Igor Tarasov (Ігор Тарасов),Ukraine,1067
Shun-Hsin Chang (張舜欣),Taiwan,1064
Zayn Khanani,USA,1062
Karina Grandjean Beck,Denmark,1059
Katie Davies,United Kingdom,1059
Riley Dexter,Australia,1050
Lucas O'Connell,New Zealand,1049
Juliette Sébastien,France,1048
Victor Wijsman,France,1043
Bartłomiej Owczarek,Poland,1043
Max Siauw,USA,1043
Dawid Wójcik,Poland,1042
Alan Ma,Australia,1042
Adrian Walkowiak,Poland,1040
Dongzhe Li (李东哲),China,1039
Ethan Davis,USA,1038
Daniel Wallin,Sweden,1036
Benjamin Bucksmith,New Zealand,1036
Yu Tang (唐语),China,1036
Nicolas Naing,USA,1034
Gáspár Árvai,Hungary,1033
Jonathan Charlesworth,Australia,1030
Kai-Wen Wang (王楷文),Taiwan,1028
Brandon Harris,New Zealand,1027
Dwyane Ramos,New Zealand,1027
Ray Zhang (张灏睿),Australia,1022
Karol Zakrzewski,Poland,1021
Pavel Mesyatsev,Russia,1021
Jiazhou Li (李佳洲),China,1020
Magnus Søndergaard Byrne,Denmark,1020
Gergely Novotni,Hungary,1020
Andy Gong,Australia,1020
Maxim Onushkin,Russia,1019
Brian Hambeck,Uruguay,1013
Maksymilian Majcher,Poland,1011
Phillip Lewicki,USA,1010
Clément Cherblanc,France,1010
Shih-Hao Wang (王士豪),Taiwan,1009
José Leonardo Chaparro Prieto,Colombia,1007
Ivan Lew Yi Wen (刘义文),Malaysia,1006
William Jensen,Sweden,1006
Eli Jay,United Kingdom,1006
Stephen Waller,United Kingdom,1005
Chris Mills,United Kingdom,1003
Yibo Wang (王奕博),China,1002
Shang Liu (刘尚),China,1002
Maksim Demchenko (Максим Демченко),Russia,1001
Samir Homsi,Turkey,999
Darcy Way,Australia,997
Luke Tycksen,USA,996
Xingkai Yin (尹星凯),China,995
Alexei Sinyavin,USA,994
Kevin Gerhardt,Germany,993
Shangtong Fu (傅上桐),China,993
Joshua Hounslow,Australia,993
Manuel Bühler,Switzerland,991
Edward Rust,Australia,991
Fanny Pousset,France,990
Oleksandr Seniuk (Олександр Сенюк),Ukraine,988
Zac Graham,Australia,987
Cormac Farrell,United Kingdom,987
Nikita Malykhin (Никита Малыхин),Russia,985
Yi-Ho Hsueh (薛以和),Taiwan,985
Callum Goodyear,United Kingdom,985
Will Gurnett,Australia,984
Reinier Schippers,Netherlands,984
Robert Yau,United Kingdom,979
Francisco Hamlin,Argentina,978
Taine Cassar,Australia,978
Patrick Ponce,USA,977
Sofiya Bondarenko,Ukraine,977
Darren Siew Ee Yaang (蕭奕暘),Malaysia,976
Víctor Gálvez,Uruguay,975
Renxin Tang (汤任欣),China,975
Stephen Griggs,USA,974
Michael Muething,USA,973
Nikhil Soares,India,971
Wojciech Piórczyński,Poland,970
Waldemar Sundin,Sweden,970
AJ Kamal,USA,969
Adam Chodyniecki,Poland,967
Adrien Auvray Matyn,New Zealand,967
Bill Wang,Canada,967
David Epstein,Australia,966
Sebastian Outh-Aut,Australia,965
Alex Van Vugt,Australia,965
Marquez Phan,Australia,964
Tristan Chua Yong,Singapore,964
