name,country,skewb
Zayn Khanani,USA,1309
Daniel Vædele Egdal,Denmark,1302
Marcus Moberg,Sweden,1257
Łukasz Burliga,Poland,1252
Martin Vædele Egdal,Denmark,1247
Michał Krasowski,Poland,1243
Daniel Wallin,Sweden,1232
Johan Mørkbak Bertelsen,Denmark,1228
Cezary Mach,Poland,1215
Jakob Gunnarsson,Sweden,1210
Aniket Das,India,1209
Brayden Wroten,USA,1209
Dwyane Ramos,New Zealand,1203
Magdalena Pabisz,Poland,1202
Phoenix Patterson,Australia,1195
Vojtěch Kundera,Czech Republic,1193
Luke Garrett,USA,1191
Alexander Tosting,Sweden,1191
Ryan Pilat,USA,1176
Hassan Khanani,USA,1172
Jonathan Charlesworth,Australia,1171
Max Siauw,USA,1167
Alexey Tsvetkov,Russia,1166
Anthony Lafourcade,France,1158
Rasmus Stub Detlefsen,Denmark,1157
Gunnar Ivarsson,Sweden,1153
Isaac Latta,New Zealand,1152
Ianis Costin Chele,Romania,1150
Urho Kinnunen,Finland,1149
Canyon Pettitt,USA,1147
Nicolas Køster Christensen,Denmark,1143
Zongyang Li (李宗阳),China,1138
Mateusz Szulik,Poland,1138
Elias Malomgré,Belgium,1136
Henri Gerber,Germany,1135
Leo Lindqvist,Sweden,1134
Elijah Brown,USA,1131
Benjamin Thunbo Jonassen,Denmark,1130
Riley Dexter,Australia,1130
George Scholey,United Kingdom,1128
Samir Homsi,Turkey,1125
Annika Stein,Germany,1120
Sebastian Outh-Aut,Australia,1120
Kevin Gerhardt,Germany,1119
Chris Mills,United Kingdom,1118
Jode Brewster,Australia,1118
Bartłomiej Owczarek,Poland,1117
Dylan Johnston,Australia,1116
Elvin Thorsen,Sweden,1113
Mattheo de Wit,Netherlands,1111
Jakub Grzybowski,Poland,1109
Yihao Zhao (赵羿皓),China,1109
Noah Kraft,Germany,1107
Xinjie Shi (施鑫杰),China,1107
Bryan Eng,Australia,1106
Shangtong Fu (傅上桐),China,1104
Benjamin Warry,Australia,1104
Daniel Tidsey,United Kingdom,1104
Tyler Williams,Australia,1104
Harry Savage,United Kingdom,1103
Estevan Lujan,USA,1102
Ole Meindersma,Netherlands,1102
Mingze Yang (杨明泽),China,1101
Oscar Watson,Australia,1100
Timothy Castle,USA,1098
Jack Bellomy,USA,1097
Ben Wakelin,Australia,1095
Zhiyuan Ma (马之元),China,1093
Christopher Chi,USA,1092
Antonie Paterakis,Greece,1091
Johannes Knudsen,Sweden,1090
Rick Hamburger,Netherlands,1089
Leo Millar,Australia,1089
Leo Min-Bedford,Canada,1088
Krystian Załuski,Poland,1087
Daniel Heberg Jørgensen,Denmark,1086
Carter Kucala,USA,1086
Noriyuki Okada (岡田典之),Japan,1085
Vladislav Kozhin,Russia,1085
Wilhelm Kilders,Germany,1085
Eli Jay,United Kingdom,1084
Xiang Meng (孟响),China,1084
Paul Mahvi,USA,1083
Magnus Søndergaard Byrne,Denmark,1083
Cian-Jyun Yang (楊謙君),Taiwan,1082
Fabio Schwandt,United Kingdom,1080
Will Gurnett,Australia,1077
Linus Laurén,Finland,1077
Daniel Rose-Levine,USA,1077
Lance Aguilar,Australia,1077
Zhenyu Wang (王振宇),China,1075
Christian Beemelmann,Germany,1075
Junqi Feng (冯骏骐),China,1073
Joe Davis,Australia,1073
Jasper Murray,New Zealand,1073
Qijun Miao (缪其隽),China,1070
Lennon Hughes,Australia,1069
Alex Walker,USA,1068
Alvaro Haidar Ersha,Indonesia,1068
Feliks Zemdegs,Australia,1067
Ziran An (安子然),China,1067
Yuxin Cai (蔡羽欣),China,1067
Jayden McNeill,Australia,1067
Qi Zhou (周祺),China,1067
Brad Hoffman,USA,1066
Liangrong Ma (马良戎),China,1066
Ilya Nazarov,Russia,1065
Yanchen Zhu (朱彦臣),China,1065
Jan Bentlage,Germany,1064
Victor Wijsman,France,1063
Adam Marcellus Kelly,USA,1063
Zong-Xing Yang (楊宗興),Taiwan,1062
Kacper Paweł Dworak,Poland,1062
Naglis Peciulis,Lithuania,1061
