name,country,sq1
Michał Krasowski,Poland,1279
Hassan Khanani,USA,1195
Oliver Sherlock,Poland,1185
Adam Kędziorski,Poland,1183
Max Siauw,USA,1182
Tim Xie,New Zealand,1171
Waldemar Sundin,Sweden,1163
Martin Vædele Egdal,Denmark,1158
Witold Sołtysik,Poland,1158
Rasmus Stub Detlefsen,Denmark,1145
David Epstein,Australia,1144
Magdalena Pabisz,Poland,1143
Alexander Tosting,Sweden,1139
Daniel Karnaukh,USA,1123
Zayn Khanani,USA,1116
Jakub Hamkało,Poland,1115
Maksymilian Misiak,Poland,1114
Calvin Nielson,USA,1112
Timothy Castle,USA,1102
Alessandro Ricci,Italy,1093
Jakob Gunnarsson,Sweden,1091
Łukasz Dubicki,Poland,1083
Lucas O'Connell,New Zealand,1066
William Jensen,Sweden,1065
Szymon Grodzki,Poland,1062
Daniel Vædele Egdal,Denmark,1059
Dwyane Ramos,New Zealand,1056
Ryan Pilat,USA,1055
Mateusz Szulik,Poland,1051
Lucas Déglise,France,1048
Yi-Ho Hsueh (薛以和),Taiwan,1047
Adrien Auvray Matyn,New Zealand,1045
Ethan Erez,Canada,1039
Elvin Thorsen,Sweden,1037
Tijmen van der Ree,Netherlands,1036
Szymon Brzana,Poland,1033
Benjamin Gottschalk,USA,1031
Daniel Forejtek,Czech Republic,1030
Aiden Bartlett,USA,1029
Cade Beck,USA,1027
Jiazhou Li (李佳洲),China,1026
Clément Cherblanc,France,1025
Jonathan Charlesworth,Australia,1023
Thomas Sonnenberg Jarner,Denmark,1022
Shih-Hao Wang (王士豪),Taiwan,1022
Patrick Ponce,USA,1022
Jode Brewster,Australia,1021
Xuechao Zhang (张学超),China,1018
Matteo Dummar,Italy,1014
Brian Johnson,USA,1013
Dawid Wójcik,Poland,1012
Andy Gong,Australia,1010
Hannes Müller,Germany,1009
Carter Kucala,USA,1008
Daniel Wallin,Sweden,1006
Jakub Bojanowski,Poland,1006
Antonie Paterakis,Greece,1006
Makoto Takaoka (高岡誠),Japan,1004
Damiano Albini,Switzerland,1003
Simon Kellum,USA,999
Tang-Kai Huang (黃堂愷),Taiwan,998
Christopher Chi,USA,995
Ryszard Kiszka,Poland,995
Brian Kan,Canada,994
Eva Kato,USA,988
Brayden Wroten,USA,987
Nolan Yiu,USA,987
Zhenyu Wang (王振宇),China,986
Zhiquan Li (李志权),China,985
Szabolcs Szántai,Hungary,984
Ng Jia Quan (黄佳铨),Malaysia,984
Marcus Siu,United Kingdom,983
Lee Stanton-Barnett,New Zealand,980
Jackey Zheng,USA,979
Vincent Chan,Netherlands,979
An Li (李安),China,978
Firstian Fushada (符逢城),Indonesia,978
Sameer Aggarwal,USA,977
Charlie Stark,United Kingdom,976
Linus Laurén,Finland,976
Noah Swor,USA,976
Mikołaj Tyra,Poland,975
Cian-Jyun Yang (楊謙君),Taiwan,975
Stepan Makarenko,Russia,975
Will Gurnett,Australia,974
Manuel Malvárez,Uruguay,974
Blake Thompson,USA,974
Brandon Lin,USA,974
Karol Piskorek,Poland,973
Chan Hui Tung (陳許瞳),Hong Kong,972
Aneurin Hunt,New Zealand,972
Jakub Grzybowski,Poland,970
Joel Lundström,Sweden,969
Calix Tang,USA,969
Remo Pihel,Estonia,969
Ashley Foster,New Zealand,968
Joshua Hounslow,Australia,967
Braden Richards,USA,966
Rafał Sądek,Poland,965
Chris Mills,United Kingdom,965
Jack Bellomy,USA,962
Malte Ihlefeld,Germany,962
Lorenzo Mauro,Italy,961
Hector David Martinez Argaez,Colombia,960
Tristan Chua Yong,Singapore,960
Lev Golub (Лев Голуб),Ukraine,960
Anthony Lafourcade,France,960
Jack McDougall,New Zealand,958
Marco Rota,Italy,957
Víctor Gálvez,Uruguay,956
Maciej Spirydowicz,Poland,954
Daniel Tidsey,United Kingdom,954
Cory Yurkovic,USA,952
Tommy Cherry,USA,952
Angeline Wijaya (黃千儀),Indonesia,952
Zhibo Xuan (禤志博),China,951
Luke Garrett,USA,950
Jonathan O'Neill,Australia,950
Michael Young,USA,950
Samuel Fang,USA,950
Marquez Phan,Australia,949
Rafael Chowindra,Indonesia,948
Vladimir Tikhonenko (Владимир Тихоненко),Russia,946
Feliks Zemdegs,Australia,946
Ian Southa,USA,946
Sora Sato,Australia,945
Zeke Mackay,USA,944
Tatsuya Kusanagi (草彅達也),Japan,942
Naglis Peciulis,Lithuania,942
Michał Halczuk,Poland,941
Tommy Szeliga,USA,940
Tommy Kiprillis,Australia,940
Noah Wilde,Canada,939
James Quinn,USA,938
Paul Mahvi,USA,938
Yepeng Sun (孙叶芃),China,938
Zachary Ochs,USA,937
Reid James Sungy,USA,937
Nahuel Cantero,Uruguay,937
Jan Zych,Poland,936
Oliver Castledine,United Kingdom,935
Livia Kleiner,USA,932
Ho Hsieh (謝合),Taiwan,932
Kajetan Opach,Poland,931
Sergey Nepushkin (Сергей Непушкин),Russia,930
Joel Cetra,Germany,929
Jack Stewart,USA,928
Maximilian Elsener,Switzerland,928
Magnus Søndergaard Byrne,Denmark,928
Ethan Rusnak,Canada,927
Rui-Jun Liu (劉睿鈞),Taiwan,927
Łukasz Stępień,Poland,927
Michael Alexander,Australia,926
Kacper Paweł Dworak,Poland,925
Fryderyk Janiak,Poland,924
Rick Hamburger,Netherlands,923
Benjamin Grzesiak,United Kingdom,922
Oskar Hanuszkiewicz,Poland,922
Josephine Siburian,Australia,921
Alexander Vujcich,New Zealand,921
Bartłomiej Owczarek,Poland,921
Simone Canova,Italy,921
Christopher Yen,USA,921
Addison Dean,USA,921
Alexander Helbok,Austria,920
Vincent Chen,USA,920
Flavio Rimi,Italy,919
Brandon Harris,New Zealand,919
Holden Johnson,USA,918
Muhammad Saleh Imtiaz,Pakistan,917
Wang Ma (马旺),China,917
Nicholas Daneshvari,USA,917
Bartosz Kobyliński,Poland,917
Edward Rust,Australia,917
Yunhao Lou (娄云皓),China,917
Gerard McGinley,Australia,916
Kevin Gerhardt,Germany,915
Piotr Olszewski,Poland,913
Parker Trager,USA,913
Kyeongmin Choi,Korea,912
Ryan Yasinko,Canada,912
Ainesh Sevellaraja,Malaysia,910
Ilya Nazarov,Russia,910
Darren Siew Ee Yaang (蕭奕暘),Malaysia,910
Caleb Clark,Australia,910
Hazel Moises Ruiz Gutierrez,Mexico,908
Joe Labas,Australia,908
Andrey Che,Russia,908
Abhay Cheemalapati,USA,907
Grigoriy Barashkin,Russia,907
Milo Black,USA,907
Jack Pfeifer,USA,907
Boris Lont,Netherlands,907
Theo Skoog,Sweden,907
Eli Parker,USA,906
Fabio Schwandt,United Kingdom,906
Leo Hock-Morris,Australia,906
Ethan Stevens,Australia,906
Wojciech Knott,Poland,905
Stone Amsbaugh,USA,905
Leone Misitano,Italy,905
Matthew Lee,Canada,905
Bence Kiácz,Hungary,905
János Bereczki,Romania,904
Cale Schoon,USA,903
Nicolas Harper,USA,903
Wei-Chen Hsieh (謝維宸),Taiwan,902
Camerone Chin,New Zealand,900
Alexander Bashutkin,Russia,899
Kerry Creech,USA,899
AJ Kamal,USA,897
Stephen Griggs,USA,896
Łukasz Burliga,Poland,896
Krish Shah-Nathwani,USA,895
Po-Hsien Ou (歐柏賢),Taiwan,894
Krzysztof Boguszewski,Poland,894
Elias Malomgré,Belgium,893
Marcel Niedl,Austria,892
Mathias Søndergaard Byrne,Denmark,891
Charlie Harrison,United Kingdom,891
James Bui,Australia,890
Canyon Pettitt,USA,890
Graham Siggins,USA,890
Sebastian Outh-Aut,Australia,890
Alexander Botz,Germany,890
Vladislav Shurshilin,Russia,889
Ricardo Zapata Cruz,Venezuela,889
Matthew Cook,Australia,889
Alexis Rodrigo Cazu Mendoza,Mexico,888
Leo Blyberg,Sweden,888
Andrew Sherman,Australia,888
Tam Quan,Australia,888
Ray Bai,USA,888
Diego Brizuela Crespo,Mexico,888
Remo Decio,Switzerland,887
Lev Aronov,Russia,887
Tyler Howlett,USA,886
Dominic Lumsden,United Kingdom,885
Urho Kinnunen,Finland,885
Jakub Dłużak,Poland,884
Tyler Robinson,USA,884
Peri Le Dain,USA,883
Mikołaj Salamon,Poland,882
Riley Dexter,Australia,882
Phạm Anh Quân,Vietnam,882
Ahmet Çınar Ablak,Turkey,882
Serdar Özdemir,Turkey,881
Oliver Leigh,Australia,880
Leonid Shcherbakov (Леонид Щербаков),Russia,879
Alexander Persaud,USA,879
Vicenzo Guerino Cecchini,Brazil,879
Ishaan Lal,USA,878
Jason Lee,USA,878
Amy Smith,Australia,878
Jinseo Hong,Korea,878
Maxim Ilin,Russia,877
