Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Ilya Tsiareshka,3486,8.77,4,11,47,195,833,1786,609,1
Shubhayan Kabir,3059,8.75,3,7,46,174,721,1622,484,2
Vasily Stasyev,1862,8.75,3,5,27,117,452,923,334,1
Gaurav Taneja,1148,8.76,2,3,12,61,277,607,185,1
José Leonardo Chaparro Prieto,1169,8.73,2,3,12,93,276,585,196,2
Shelley Chang,1029,8.75,2,5,9,62,240,550,160,1
Lorenzo Vigani Poli,2051,8.77,2,5,28,120,460,1089,347,0
Areli Rubí Gordillo Martínez,1912,8.76,2,2,26,110,478,964,328,2
Matthew Dickman,896,8.7,2,5,14,64,202,474,135,0
Chia-Leo Lin (林珈樂),1792,8.74,2,8,24,101,434,934,288,1
Liam Orovec,588,8.76,2,0,12,31,140,298,105,0
Matteo Provasi,1820,8.78,2,4,27,106,407,955,319,0
Dave Campbell,2114,8.74,2,9,31,129,506,1080,356,1
Grzegorz Łuczyna,1428,8.78,2,1,16,79,329,765,236,0
Michael Young,1694,8.8,2,4,24,88,373,906,293,4
Andrey Robota,819,8.76,2,1,10,57,194,403,152,0
Ray Li,784,8.74,2,2,13,46,184,409,128,0
Abdullah Gulab,147,8.61,2,0,2,13,36,74,19,1
Stepan Dzhurylo (Степан Джурило),686,8.76,2,4,8,39,158,357,116,2
Jeremy Fleischman,721,8.7,2,0,7,71,168,352,119,2
Rui-Jun Liu (劉睿鈞),987,8.76,2,3,12,55,227,532,155,1
Shresth Shah,385,8.74,2,0,4,27,89,200,63,0
Marlon de V. Marques,462,8.8,2,0,7,25,103,234,91,0
Adrián Ramírez,2233,8.78,2,10,18,133,517,1169,381,3
Adam Polkowski,2919,8.76,2,4,41,180,709,1462,518,3
Nathan Dwyer,294,8.75,2,1,4,17,65,154,51,0
Mihai Căpăţinescu,1204,8.73,2,3,14,72,308,616,189,0
Kit Clement,2408,8.76,2,6,26,163,557,1228,423,3
Chris Tran,1190,8.79,2,2,12,74,274,602,224,0
Felix Lee,378,8.74,2,0,4,19,102,186,65,0
Serhii Koksharov (Сергій Кокшаров),1092,8.74,1,4,17,66,263,554,186,1
Nikolay Masson (Николай Массон),1127,8.8,1,1,14,64,256,584,206,1
Tobias Peter,791,8.78,1,1,7,58,172,407,144,1
Oscar Alberto Ceballos Contreras,1078,8.76,1,2,11,84,232,564,184,0
Keaton Ellis,1057,8.75,1,4,18,69,239,543,183,0
Daniel Wallin,1225,8.77,1,2,13,67,304,625,213,0
Ulrik Bredland,1148,8.76,1,2,16,71,271,590,196,1
Borislav Marchovski,105,8.8,1,0,4,3,21,53,23,0
Ujjawal Pabreja,1015,8.81,1,0,11,59,219,541,184,0
Piotr Trząski,987,8.74,1,0,15,66,237,501,167,0
Diego Alejandro Casas Jimenez,1036,8.75,1,4,11,59,257,531,173,0
İskender Aznavur,952,8.82,1,2,9,56,197,513,173,1
Niko Ronkainen,1008,8.75,1,2,11,67,236,533,157,1
Roman Ostapenko (Роман Остапенко),957,8.72,1,4,10,63,243,484,150,2
Reto Bubendorf,980,8.69,1,3,12,74,264,467,159,0
Calvin Nielson,1204,8.71,1,2,16,74,320,607,183,1
Bob Burton,756,8.72,1,4,10,61,160,397,123,0
Akula Pavan Kumar,4998,8.75,1,8,65,324,1188,2575,836,1
Piotr Kózka,714,8.81,1,3,6,29,174,370,131,0
João Gabriel de Aguiar Milani,504,8.79,1,2,3,26,133,240,99,0
Cristian Ezequiel Vega,328,8.7,1,0,5,24,86,158,53,1
Angelo Giovanni Licetti León,308,8.82,1,0,5,14,74,147,67,0
Chan Tak Chuen (陳德泉),343,8.63,1,0,9,32,81,171,49,0
Artem Kuminov,294,8.81,1,0,4,17,62,152,58,0
Kārlis Iskrovs,378,8.72,1,1,2,22,100,198,54,0
Jason White,252,8.69,1,1,3,15,60,143,29,0
Vladislav Pyatnitsa (Владислав Пятница),413,8.7,1,2,9,20,104,216,61,0
Alexander Katyukov (Александр Катюков),448,8.73,1,1,7,30,95,248,66,0
Ming Zheng (郑鸣),4476,8.74,1,16,58,283,1077,2311,726,4
Leandro Vasconcellos Alleoni,476,8.76,1,3,5,28,115,234,89,1
Nathan Seeto,504,8.7,1,0,9,40,123,248,83,0
Stefano Bevacqua,210,8.74,1,1,1,11,51,114,31,0
Anders Larsson,140,8.7,1,1,2,8,37,65,26,0
Andreas Pung,560,8.71,1,5,5,32,153,272,92,0
James Hamory,189,8.79,1,0,3,8,45,97,35,0
Lester Santos,553,8.75,1,3,8,42,113,287,98,1
Alberto Masó Molina,567,8.71,1,1,5,54,128,283,94,1
David Woner,567,8.81,1,1,7,27,133,290,105,3
Lauren Clement,168,8.68,1,0,1,13,41,91,21,0
Cady Shields,658,8.74,1,1,11,42,156,340,106,1
Artem Melikian (Артем Мелікян),656,8.7,1,1,9,48,161,341,95,0
Kerrie Jarman,658,8.75,1,0,12,50,143,335,117,0
Sarah Strong,658,8.74,1,1,12,33,162,347,102,0
Matteo Colombo,672,8.82,1,0,5,37,145,364,120,0
Donovan Hale,602,8.81,1,0,3,44,132,304,118,0
Cristian Franco Terrazas Flores,854,8.73,1,3,17,50,204,440,139,0
Przemysław Rogalski,1274,8.8,1,0,19,72,304,628,248,2
James Hildreth,2135,8.76,1,7,32,135,500,1085,372,3
Laura Ohrndorf,1778,8.75,1,7,20,104,444,905,296,1
