Event,Single,Average,AverageProp%,Single%,Average%
333,148389,144161,97.15,96.05,93.31
222,94514,91018,96.3,61.18,58.91
pyram,62483,59089,94.57,40.44,38.25
444,44440,29713,66.86,28.77,19.23
333oh,39438,31410,79.64,25.53,20.33
skewb,34564,32624,94.39,22.37,21.12
555,21583,14397,66.71,13.97,9.32
minx,15970,9895,61.96,10.34,6.4
sq1,12257,9199,75.05,7.93,5.95
clock,8503,6410,75.39,5.5,4.15
666,8197,5976,72.9,5.31,3.87
333bf,7047,1923,27.29,4.56,1.24
333fm,6875,2766,40.23,4.45,1.79
777,6769,4752,70.2,4.38,3.08
magic,4928,4641,94.18,3.19,3.0
333ft,3268,2386,73.01,2.12,1.54
333mbf,2413,0,0.0,1.56,0.0
mmagic,2076,2039,98.22,1.34,1.32
444bf,1042,169,16.22,0.67,0.11
555bf,537,59,10.99,0.35,0.04
333mbo,139,0,0.0,0.09,0.0
