Rank,Name,Country,Single
1,Max Park,USA,227.54
2,Tymon Kolasiński,Poland,249.73
3,Feliks Zemdegs,Australia,252.68
4,Ciarán Beahan,Ireland,256.8
5,Kevin Hays,USA,262.03
6,János Bereczki,Romania,273.99
7,Seung Hyuk Nahm (남승혁),Korea,274.97
8,Aryan Kejriwal,USA,280.82
9,Abdelhak Kaddour,France,287.77
10,Sebastian Weyer,Germany,289.02
11,Michał Halczuk,Poland,290.52
12,Xuming Wang (王旭明),China,291.64
13,Ping-Yueh Huang (黃品越),Taiwan,293.69
14,Anyu Zhang (张安宇),China,294.51
15,Mahith Bandi,USA,294.66
16,Mattia Furlan,Italy,295.27
17,Brandon Nunez,USA,295.95
18,Bill Wang,Canada,296.47
19,Wong Kin Lok (黃健樂),Hong Kong,296.49
20,Yi-Fan Wu (吳亦凡),Taiwan,299.31
21,Pedro Alejandro Condo Tellez,Peru,300.32
22,Alexey Zharikov,Russia,300.77
23,Max Xiong (熊锐明),China,302.65
24,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,303.62
25,Benjamin Wei,USA,305.2
26,Martin Vædele Egdal,Denmark,305.99
27,Zixuan Liu (刘子瑄),China,306.1
28,Luke Tycksen,USA,308.22
29,Patrick Ponce,USA,308.3
30,Firstian Fushada (符逢城),Indonesia,309.71
31,Paul Mahvi,USA,310.81
32,Zhangshuai Zhou (周章率),China,312.91
33,Mats Valk,Netherlands,312.94
34,Lucas Wesche,Germany,313.23
35,Ivan Li Ka Leong (李嘉亮),Hong Kong,313.82
36,Eli Jay,United Kingdom,313.85
37,Cian-Jyun Yang (楊謙君),Taiwan,313.91
38,Kai-Wen Wang (王楷文),Taiwan,314.64
39,DongSoo Park (박동수),Korea,314.74
40,Sean Hartman,USA,315.22
41,Celine Tran,Norway,315.6
42,Matty Hiroto Inaba,USA,315.64
43,Max Siauw,USA,316.14
44,Gabriel Santiago Velez Gonzalez,Colombia,316.74
45,Yu Tang (唐语),China,317.09
46,Simon Stannek,Germany,317.24
47,Sei Sugama (洲鎌星),Japan,317.28
48,Kuo-Hau Wu (吳國豪),Taiwan,317.68
49,Ivan Lew Yi Wen (刘义文),Malaysia,317.85
50,Shih-Hao Wang (王士豪),Taiwan,318.01
51,Przemysław Kaleta,Poland,318.95
52,Bautista Bonazzola,Argentina,319.03
53,Richard Delacoste,Switzerland,319.62
54,Matěj Grohmann,Czech Republic,319.65
55,Kai Su (苏锴),China,320.79
56,Kevin Gerhardt,Germany,321.15
57,Ryan Wu,Canada,321.26
58,Evan Liu,USA,321.67
59,Fung Hoi Yin (馮凱賢),Hong Kong,322.1
