name,avgs,bpas,ratio
Sébastien Auroux,303,50,1.045
Bence Barát,291,41,1.045
Eric Zhao,203,38,1.048
Wojciech Szatanowski,241,37,1.05
Reto Bubendorf,221,36,1.046
Cornelius Dieckmann,222,35,1.048
Jiayu Wang (王佳宇),213,34,1.042
Wojciech Knott,193,34,1.033
Jeremy Fleischman,214,34,1.04
Rafael Werneck Cinoto,194,34,1.041
Fabio Bini Graciose,220,33,1.055
Jan Bentlage,286,33,1.047
Tobias Peter,244,32,1.045
Keaton Ellis,176,31,1.045
Devin Corr-Robinett,200,31,1.043
Feliks Zemdegs,248,31,1.05
Daniel Wallin,187,31,1.048
Niko Ronkainen,189,30,1.047
Ming Zheng (郑鸣),188,30,1.042
Ryan Jew,203,30,1.051
Michał Pleskowicz,224,30,1.047
Callum Hales-Jepp,190,30,1.049
Philipp Weyer,233,30,1.045
Eric Limeback,124,28,1.042
Dave Campbell,199,28,1.048
Mats Valk,228,28,1.05
Michael Young,160,27,1.037
Rowe Hessler,178,27,1.048
Finn Ickler,185,26,1.047
Jules Desjardin,165,26,1.047
Patrick Ponce,152,25,1.045
Michał Halczuk,157,25,1.047
Jayden McNeill,186,25,1.044
Dániel Varga,236,25,1.044
Henrik Buus Aagaard,157,25,1.038
Alberto Pérez de Rada Fiol,133,25,1.043
Akula Pavan Kumar,103,23,1.045
Pedro Santos Guimarães,98,23,1.032
Ron van Bruchem,140,23,1.06
Valentin Hoffmann,144,23,1.049
Corey Sakowski,179,23,1.061
Arnaud van Galen,133,23,1.046
Rodrigo Ugarte,113,22,1.036
James Hildreth,180,22,1.049
James Molloy,162,22,1.049
Martin Vædele Egdal,111,22,1.049
Edward Lin,144,22,1.044
Thompson Clarke,141,22,1.048
Alwin Rölz,132,22,1.049
Joshua Feran,134,22,1.042
Ruohan Qiu (邱若寒),156,22,1.044
Juliette Sébastien,191,22,1.048
Jacob Ambrose,125,21,1.052
Konstantin Jaehne,133,21,1.05
Przemysław Kaleta,152,21,1.042
Walker Welch,150,21,1.047
Björn Korbanka,89,21,1.04
Clément Cherblanc,162,21,1.051
Bhargav Narasimhan,171,21,1.044
Ilya Tsiareshka,99,21,1.072
Tim Reynolds,157,21,1.053
Lucas Garron,116,21,1.053
Jakub Kipa,131,21,1.049
Anthony Brooks,156,21,1.043
Blake Thompson,142,21,1.045
Erik Akkersdijk,216,21,1.052
Marcin Jakubowski,134,21,1.042
Mykyta Tytar (Микита Титарь),101,20,1.049
Mitchell Lane,109,20,1.048
Vijay Kishore,103,20,1.042
Zach Goldman,107,20,1.045
Max Park,156,20,1.041
Henry Savich,103,20,1.038
Weston Mizumoto,130,20,1.048
François Courtès,158,20,1.055
Łukasz Burliga,143,20,1.048
Carlos Méndez García-Barroso,120,20,1.048
Marcin Stachura,110,20,1.044
Theo Mayer,126,19,1.05
Leon Schmidtchen,202,19,1.048
Hippolyte Moreau,128,19,1.049
Christopher Olson,131,19,1.039
Victor Colin,136,19,1.042
Phil Yu,136,19,1.048
Robert Yau,177,19,1.057
Justin Mallari,163,19,1.044
Diego Meneghetti,97,19,1.041
Tomasz Żołnowski,99,19,1.037
Olivér Perge,143,19,1.05
Alexander Olleta del Molino,150,19,1.062
José Leonardo Chaparro Prieto,89,19,1.035
Clément Gallet,150,19,1.047
Phillip Lewicki,111,19,1.043
Shivam Bansal,110,19,1.049
Cendy Cahyo Rahmat,119,18,1.044
Jorge Martín Espinosa,65,18,1.045
Juan Pablo Huanqui,85,18,1.039
Xuming Wang (王旭明),88,18,1.048
Nicolas Gertner,145,18,1.051
Sameer Aggarwal,57,18,1.039
Lauren Phung,78,18,1.048
