name,avgs,bpas,ratio
Sébastien Auroux,272,43,1.023
Jan Bentlage,262,40,1.023
Philipp Weyer,209,35,1.024
Erik Akkersdijk,219,35,1.024
Bence Barát,278,34,1.024
Sebastian Weyer,226,34,1.022
Cornelius Dieckmann,201,33,1.024
Finn Ickler,226,30,1.025
Wojciech Knott,135,29,1.021
Callum Hales-Jepp,193,29,1.025
Leon Schmidtchen,189,29,1.024
Yueh-Lin Tsai (蔡岳霖),161,29,1.024
Tobias Peter,201,27,1.025
Laura Ohrndorf,141,27,1.024
Breandan Vallance,205,27,1.027
Yi-Fan Wu (吳亦凡),153,26,1.022
James Molloy,181,26,1.025
Dániel Varga,186,26,1.024
Reto Bubendorf,147,26,1.025
Feliks Zemdegs,164,25,1.026
Lorenzo Vigani Poli,149,25,1.022
Robert Yau,200,24,1.027
Takayuki Ookusa (大艸尊之),134,24,1.023
Daniel Sheppard,182,23,1.023
Michał Halczuk,209,23,1.027
Eric Zhao,138,23,1.025
Mats Valk,217,23,1.027
Philippe Virouleau,140,23,1.021
Wilhelm Kilders,128,22,1.024
Kevin Hays,134,22,1.023
Michael Röhrer,100,22,1.021
Ron van Bruchem,183,21,1.027
Niko Ronkainen,132,20,1.028
Kuo-Hau Wu (吳國豪),109,20,1.028
Theo Mayer,124,20,1.026
Daniel Wallin,126,20,1.024
Michał Pleskowicz,92,20,1.025
James Hildreth,123,20,1.026
Joey Gouly,168,19,1.028
Ilya Tsiareshka,79,19,1.023
Ming Zheng (郑鸣),104,19,1.019
Łukasz Burliga,91,18,1.024
Arnaud van Galen,144,18,1.025
Anyu Zhang (张安宇),86,18,1.021
Malte Ihlefeld,104,17,1.025
Zhao-Zhe Zhong (鍾肇哲),124,17,1.024
Christopher Olson,97,17,1.023
Andreas Pohl,101,17,1.028
Corey Sakowski,102,17,1.027
Rafael Werneck Cinoto,63,17,1.023
Reinier Schippers,96,17,1.027
Jacob Ambrose,112,17,1.027
Chia-Leo Lin (林珈樂),101,17,1.03
Oliver Fritz,85,16,1.021
Ihor Bilchenko (Ігор Більченко),74,16,1.025
Ciarán Beahan,117,16,1.026
Nevins Chan Pak Hoong (陈百鸿),106,16,1.025
Karol Zakrzewski,108,16,1.026
Tim Reynolds,136,16,1.023
Zoé de Moffarts,99,16,1.028
Walker Welch,127,16,1.023
Matic Omulec,96,16,1.022
François Courtès,129,16,1.022
Er-Sheng Kuo (郭爾陞),69,16,1.026
Björn Korbanka,110,15,1.027
Jr-Wei Jang (張智瑋),124,15,1.024
Ping-Yueh Huang (黃品越),106,15,1.033
Keaton Ellis,89,15,1.025
Hassan Khanani,35,15,1.012
José Leonardo Chaparro Prieto,73,15,1.022
Yu Sajima (佐島優),92,15,1.025
Clément Cherblanc,131,15,1.026
Ernesto Gutiérrez Cuba,58,15,1.023
Wojciech Szatanowski,114,15,1.026
Ryan Jew,90,14,1.03
Fabio Bini Graciose,95,14,1.03
Clément Gallet,95,14,1.026
Laura Holzhauer,83,14,1.025
Max Park,101,14,1.023
Evan Liu,139,14,1.025
Kevin Gerhardt,96,14,1.023
Moritz Karl,60,14,1.023
Katie Hull,115,14,1.022
Zachary White,108,14,1.025
Weixing Zhang (张炜星),84,14,1.025
Antonie Paterakis,105,14,1.03
Paul Mahvi,104,14,1.023
Tomasz Żołnowski,124,14,1.026
Xuming Wang (王旭明),91,14,1.027
Manfred Siew Ee Sheng (蕭奕晟),63,14,1.019
Callum James Goodyear,97,13,1.033
Joshua Feran,119,13,1.029
Antoine Cantin,87,13,1.023
Abdelhak Kaddour,96,13,1.023
Dene Beardsley,61,13,1.023
Dana Yi,79,13,1.022
Olivér Perge,133,13,1.029
Bhargav Narasimhan,63,13,1.023
Joseph Daniel Blas Sanchez,72,13,1.027
James Macdiarmid,70,13,1.024
Daniël Kassab,67,13,1.026
Gregor Billing,72,13,1.026
Juliette Sébastien,107,13,1.024
Przemysław Kaleta,111,13,1.026
Alwin Rölz,101,13,1.023
Patrick Ponce,88,12,1.025
Sei Sugama (洲鎌星),62,12,1.022
Will Russo,38,12,1.018
Jiayu Wang (王佳宇),70,12,1.029
Tijmen van der Ree,57,12,1.024
Kian Barry,57,12,1.024
