name,avgs,bpas,ratio
Sébastien Auroux,174,30,1.043
Laura Ohrndorf,123,22,1.037
Przemysław Rogalski,139,19,1.049
Jacob Ambrose,155,19,1.064
Fabio Bini Graciose,88,18,1.052
Carson Claud,76,18,1.05
Jesús Masanet García,107,17,1.049
Walker Welch,133,17,1.068
Katie Hull,125,17,1.049
Ilya Tsiareshka,116,16,1.064
Jan Bentlage,150,16,1.049
Wojciech Knott,101,16,1.055
Kit Clement,92,15,1.043
Evan Liu,111,15,1.061
Rachel Feran,77,14,1.057
Dániel Varga,79,14,1.052
Olivér Perge,115,13,1.065
Tobias Peter,58,13,1.042
Joshua Feran,127,13,1.052
Alwin Rölz,47,12,1.053
Javier Tirado Ortiz,92,12,1.066
Robert Yau,83,11,1.064
Lev Golub (Лев Голуб),54,11,1.053
Clément Gallet,60,11,1.061
James Molloy,121,11,1.053
Bence Barát,120,11,1.044
Nathaniel Berg,71,10,1.064
Tim Reynolds,60,10,1.036
Daniel Sheppard,109,10,1.055
Daniel Mullen,86,10,1.057
AJ Nicholls,45,10,1.084
James Hildreth,62,10,1.06
Wilhelm Kilders,61,10,1.047
Niko Ronkainen,114,10,1.052
Chenwei Li (李琛炜),73,10,1.057
Callum James Goodyear,52,10,1.046
Zijia Feng (冯子甲),84,10,1.056
Marcin Jakubowski,84,10,1.046
Vincent Hartanto Utomo,32,9,1.036
Eason Siew Ee Son (蕭奕晨),38,9,1.046
Dennis Rosero,39,9,1.04
Sanio Kasumovic,46,9,1.051
Finn Ickler,25,9,1.036
Tomi Ronkainen,51,9,1.063
Radosław Opoka,31,9,1.058
Clément Cherblanc,49,9,1.046
Daniel Wallin,106,9,1.069
Yinghao Wang (王鹰豪),48,9,1.058
Pau Vela García,56,9,1.067
Michael Kristel,54,9,1.048
Hunor Bózsing,55,9,1.048
Callum Hales-Jepp,110,9,1.066
Hippolyte Moreau,30,8,1.06
Simon Westlund,34,8,1.052
Dmitry Kryuzban,57,8,1.056
Raymond Goslow,68,8,1.047
Shivam Bansal,44,8,1.07
François Courtès,66,8,1.108
Mok Man Kit (莫文傑),38,8,1.045
Pablo Nicolás Oshiro Mondoñedo,31,8,1.041
Jernej Omulec,27,8,1.046
Brandon Mikel,55,8,1.074
Zachary Ochs,55,8,1.058
Charlie Stark,61,8,1.06
Michał Halczuk,37,8,1.055
Young He (何嘉炀),50,8,1.068
Jacob Chambers,38,8,1.065
Nikita Loika,41,8,1.038
Blake Thompson,27,8,1.054
Chan Tak Chuen (陳德泉),47,8,1.056
Fabio Schwandt,45,7,1.059
Magdalena Pabisz,34,7,1.056
Simone Ohler,37,7,1.038
Tairan Zhong (钟泰然),63,7,1.059
Niki Placskó,90,7,1.051
Łukasz Burliga,30,7,1.068
Erik Akkersdijk,51,7,1.064
Joonas Silvennoinen,54,7,1.073
Alberto Pérez de Rada Fiol,40,7,1.037
Nancy Hartman,28,7,1.025
Mateusz Kotwica,37,7,1.067
Lim Hung (林弘),35,7,1.075
Carter Kucala,61,7,1.075
Michael Röhrer,45,7,1.035
Laura Holzhauer,28,7,1.064
Martin Vædele Egdal,46,7,1.051
Emil Mickein,46,7,1.043
Piotr Olszewski,45,7,1.074
Thomas Schmidt,47,6,1.046
Matteo Dummar,23,6,1.046
Shao-Heng Hung (洪紹恆),53,6,1.045
Gaël Dusser,37,6,1.056
Carsten Matheus,19,6,1.041
Daniel Wannamaker,35,6,1.053
Gábor Szabó,26,6,1.045
Hubert Hanusiak,51,6,1.045
Conor Cronin,29,6,1.049
Brian Johnson,30,6,1.055
Wojciech Szatanowski,80,6,1.049
Luis J. Iáñez,36,6,1.044
Michael Conard,24,6,1.042
Bob Burton,44,6,1.043
John Brechon,48,6,1.199
Chris Martin,32,6,1.058
Sean Hartman,49,6,1.064
Daniel Ramsden,23,6,1.025
Jonatan Kłosko,22,6,1.033
Zachary White,25,6,1.064
Akash Rupela,19,6,1.066
Corey Sakowski,40,6,1.068
Patrycja Michalska,43,6,1.063
Juho Arjanne,40,6,1.062
Stanley Chapel,56,6,1.061
Maxim Ilin,22,6,1.03
Yuxuan Wang (王宇轩),12,6,1.029
Eric Zhao,26,6,1.037
Tianping Ding (丁天平),24,6,1.061
Alrimar Dias Rocha Sobrinho,21,6,1.037
Yu-Kai Chen (陳宇楷),22,6,1.034
Chris Wall,27,6,1.059
Silas Starling,54,6,1.06
Henri Gerber,44,6,1.076
Ryan Jew,45,6,1.058
Juuso Suutari,12,6,1.017
Dmitry Gundin,37,6,1.082
Ryan DeLine,64,6,1.058
Somya Srivastava,31,6,1.084
Kacper Paweł Dworak,35,6,1.046
Tommy Cherry,33,6,1.084
Ben Zoller,19,6,1.039
Kalina Brzezińska,30,6,1.022
Paweł Kowol,34,6,1.039
CJ Sheng,25,5,1.102
Chen Kang (亢晨),17,5,1.049
Zachary Garber,32,5,1.093
Maarten Smit,31,5,1.067
Vladislav Kaminskiy,22,5,1.09
Siew Hann Wen (蕭漢文),34,5,1.048
Nathan Dwyer,37,5,1.049
Pedro Santos Guimarães,32,5,1.048
Elvin Thorsen,36,5,1.069
Mateusz Szwugier,26,5,1.075
Oleg Gritsenko,32,5,1.069
Henrik Buus Aagaard,35,5,1.047
Anders Berggren,37,5,1.07
Marcel Nycz,30,5,1.065
Aedan Bryant,38,5,1.056
Ryuji Hamano (浜野竜二),28,5,1.064
David Beugnon,39,5,1.06
Hannah Minas,34,5,1.057
Clay Moore,32,5,1.057
Yan Zheng (郑岩),19,5,1.056
Ihor Bilchenko (Ігор Більченко),38,5,1.055
Marco Rota,17,5,1.055
Hung Lo (羅鴻),36,5,1.055
David Woner,26,5,1.055
Diego Alejandro Casas Jimenez,18,5,1.055
Daniel Vædele Egdal,51,5,1.054
Nestor Sokhan,25,5,1.053
Jared Stinson,31,5,1.06
Volodymyr Korol (Володимир Король),22,5,1.061
José Garrido,15,5,1.05
Alexis Rodrigo Cazu Mendoza,22,5,1.061
Zhiyuan Ma (马之元),16,5,1.061
Nikita Kovalchuk (Нікіта Ковальчук),23,5,1.061
Dongzhe Li (李东哲),20,5,1.052
Lars Vandenbergh,48,5,1.062
Piotr Tokarski,51,5,1.063
Sam Shaw,39,5,1.056
Konstantin Solovev (Константин Соловьёв),30,5,1.051
Manfred Siew Ee Sheng (蕭奕晟),47,5,1.064
Kerry Creech,44,5,1.064
Gonzalo Orellana Barrasa,18,5,1.051
Geert Bicler,24,5,1.046
Arnaud van Galen,62,5,1.057
Nathan Azaria,21,5,1.035
Will Cerne,16,5,1.023
Eduard Esteban García Domínguez,22,5,1.039
David Lim,24,5,1.035
Vasily Stasyev,28,5,1.045
Ilkyoo Choi (최일규),34,5,1.04
Thompson Clarke,22,5,1.045
Billy Jeffs,12,5,1.022
Paweł Duraj,19,5,1.044
Noriyuki Okada (岡田典之),17,5,1.031
Zongyang Li (李宗阳),25,5,1.037
Przemysław Kruczek,29,5,1.033
Rasmus Händén,22,5,1.042
Ben Whitmore,20,5,1.037
Andrey Kurochkin,11,5,1.027
David Burany,11,5,1.03
Anant Pingle,15,4,1.054
Ronald Mansveld,18,4,1.065
