name,avgs,bpas,ratio
Bence Barát,156,20,1.025
Fabio Bini Graciose,111,19,1.026
Oscar Roth Andersen,133,19,1.025
Jan Bentlage,142,19,1.029
Feliks Zemdegs,87,19,1.027
Jacob Ambrose,94,18,1.025
Tobias Peter,111,17,1.03
Jayden McNeill,56,17,1.025
Juliette Sébastien,91,17,1.024
Alexander Olleta del Molino,80,16,1.027
Reto Bubendorf,86,16,1.027
Roy Lee,83,16,1.026
Martin Vædele Egdal,91,16,1.032
Blake Thompson,84,16,1.025
Daniel Wallin,128,15,1.03
Erik Akkersdijk,84,15,1.027
Robert Yau,114,15,1.035
Jan Zych,107,15,1.027
Clément Cherblanc,102,15,1.026
Eduard Esteban García Domínguez,98,15,1.034
Hippolyte Moreau,79,15,1.032
Corey Sakowski,73,15,1.029
Andy Denney,65,15,1.026
Maksymilian Majcher,125,15,1.026
Evan Liu,84,14,1.023
Lorenzo Vigani Poli,87,14,1.025
Matic Omulec,85,14,1.03
Zachary White,50,14,1.027
Callum Hales-Jepp,119,14,1.032
Juan Pablo Huanqui,99,13,1.027
James Macdiarmid,82,13,1.027
Phillip Lewicki,57,13,1.025
Walker Welch,94,13,1.029
Stanley Chapel,63,13,1.028
Michał Halczuk,135,13,1.033
James Hildreth,66,13,1.027
Wilhelm Kilders,61,13,1.024
Rodrigo Ugarte,56,13,1.027
Kit Clement,58,13,1.031
James Molloy,100,13,1.032
Daniel Vædele Egdal,89,12,1.03
Karina Grandjean Beck,74,12,1.022
Fabian Löhle,58,12,1.03
Wilfrid Py,50,12,1.031
Łukasz Burliga,97,12,1.032
Antoine Cantin,67,12,1.025
José Leonardo Chaparro Prieto,88,12,1.028
Malte Ihlefeld,53,12,1.027
Bhargav Narasimhan,66,12,1.028
Daniel Sheppard,98,11,1.023
Darren Siew Ee Yaang (蕭奕暘),59,11,1.022
Allyson Dias de Lima,40,11,1.026
Zoé de Moffarts,100,11,1.026
Akash Rupela,66,11,1.026
Dániel Varga,100,11,1.029
Joshua Feran,91,11,1.025
Ronan Felipe Jorge,60,11,1.033
Katie Hull,83,11,1.029
Fabio Schwandt,59,10,1.028
Szymon Malinowski,42,10,1.021
Simon Westlund,58,10,1.024
Bill Hammill,39,10,1.031
Jared Stinson,46,10,1.031
Ernesto Gutiérrez Cuba,49,10,1.027
Przemysław Rogalski,67,10,1.027
Ping-Yueh Huang (黃品越),56,10,1.031
François Courtès,75,10,1.024
Benjamin Gottschalk,54,10,1.029
Magdalena Pabisz,51,10,1.027
Thompson Clarke,38,10,1.027
Dana Yi,57,10,1.022
Diego Alejandro Casas Jimenez,51,10,1.028
Shun-Hsin Chang (張舜欣),59,10,1.025
Linus Frész,63,10,1.029
Livia Kleiner,48,10,1.034
Callum James Goodyear,95,10,1.036
Yi Wang (王旖),63,10,1.032
Michael Röhrer,65,9,1.03
Chris Wall,37,9,1.018
Rafael Werneck Cinoto,66,9,1.033
Patrick Ponce,51,9,1.031
Marco Rota,68,9,1.031
Zhao-Zhe Zhong (鍾肇哲),60,9,1.024
Eason Siew Ee Son (蕭奕晨),42,9,1.029
Akula Pavan Kumar,41,9,1.027
Nikhil Soares,49,9,1.028
Dennis Rosero,46,9,1.03
Karol Zakrzewski,60,9,1.03
Maksym Yeli (Максим Єлі),32,9,1.037
Rafał Waryszak,53,9,1.028
Henri Gerber,53,9,1.03
Will Callan,43,9,1.026
Viktor Kalmar,35,9,1.031
Jonathan Charlesworth,31,9,1.021
Elvin Thorsen,40,9,1.032
Stephen Griggs,52,9,1.028
Sébastien Auroux,78,9,1.025
Renxin Tang (汤任欣),66,8,1.025
Paul Mahvi,57,8,1.037
Kevin Gerhardt,53,8,1.032
Joseph Daniel Blas Sanchez,48,8,1.034
Toni Beljo,29,8,1.026
Lauri Korhonen,18,8,1.015
Hari Anirudh,53,8,1.023
Wojciech Knott,80,8,1.03
Kacper Rafalski,36,8,1.026
Giovanny Coronado,39,8,1.025
Daniel Grabski,37,8,1.022
Carlos Méndez García-Barroso,40,8,1.022
Max Siauw,54,8,1.03
Reinier Schippers,42,8,1.027
Wojciech Szatanowski,59,8,1.029
Rasmus Stub Detlefsen,56,8,1.039
Michał Mlostek,54,8,1.027
Charlie Stark,59,8,1.035
Georgiy Titov (Георгій Тітов),37,8,1.023
Daniel Guardado Cabral,21,8,1.026
Alexey Yarygin,31,8,1.028
Yunqi Ouyang (欧阳韵奇),66,8,1.028
Laura Holzhauer,42,8,1.027
John Brechon,47,8,1.026
Jacky Koo Chun Ki (顧俊祺),39,8,1.026
Jhon Edinson Arias Parra,38,7,1.035
Luke Tycksen,46,7,1.029
Michael Andres Castillo Lemus,46,7,1.029
Cary Huang,22,7,1.027
