name,avgs,bpas,ratio
Sébastien Auroux,2522,359,1.058
Bence Barát,2451,339,1.049
Jan Bentlage,2505,330,1.057
Tobias Peter,1808,278,1.053
Fabio Bini Graciose,1775,246,1.062
Wojciech Szatanowski,1713,244,1.06
Reto Bubendorf,1620,241,1.059
Callum Hales-Jepp,1670,238,1.064
Robert Yau,1534,230,1.057
Feliks Zemdegs,1547,225,1.06
François Courtès,1617,224,1.057
Daniel Wallin,1603,224,1.066
Dániel Varga,1705,223,1.053
Erik Akkersdijk,1681,222,1.06
Michał Halczuk,1514,218,1.051
Katie Hull,1446,215,1.049
Finn Ickler,1385,210,1.05
Laura Ohrndorf,1309,209,1.055
Walker Welch,1513,204,1.064
Mats Valk,1655,202,1.058
Cornelius Dieckmann,1249,197,1.051
Wojciech Knott,1354,193,1.046
Jacob Ambrose,1454,193,1.058
Clément Cherblanc,1458,191,1.062
James Molloy,1375,190,1.057
Ron van Bruchem,1354,189,1.059
Łukasz Burliga,1239,187,1.066
James Hildreth,1261,186,1.053
Joshua Feran,1346,186,1.055
Jules Desjardin,1359,185,1.062
Leon Schmidtchen,1336,184,1.048
Jayden McNeill,1193,183,1.058
Daniel Sheppard,1343,182,1.052
Joey Gouly,1188,180,1.053
Rafael Werneck Cinoto,1166,179,1.054
Blake Thompson,1261,178,1.067
Ilya Tsiareshka,1147,178,1.056
Niko Ronkainen,1311,177,1.066
Ming Zheng (郑鸣),1273,177,1.054
Antoine Cantin,1123,175,1.059
Corey Sakowski,1313,175,1.06
Tim Reynolds,1344,174,1.055
Lorenzo Vigani Poli,1190,171,1.054
Eric Zhao,1104,168,1.052
Philippe Virouleau,1163,167,1.055
Jiayu Wang (王佳宇),1117,167,1.053
Sebastian Weyer,1083,166,1.041
Przemysław Rogalski,1469,166,1.066
Akash Rupela,1062,165,1.053
Michał Pleskowicz,1233,165,1.063
Callum James Goodyear,1043,165,1.055
Olivér Perge,1237,162,1.058
Henrik Buus Aagaard,1031,162,1.056
Arnaud van Galen,1108,159,1.052
Martin Vædele Egdal,1046,158,1.064
Kit Clement,1055,158,1.056
Ryan Jew,1159,156,1.058
Evan Liu,1234,155,1.056
Alwin Rölz,982,154,1.058
Wilhelm Kilders,1101,153,1.056
Yi-Fan Wu (吳亦凡),996,152,1.044
Theo Mayer,1013,152,1.059
Christopher Olson,1040,152,1.059
Matic Omulec,961,149,1.049
Hippolyte Moreau,983,148,1.056
Juliette Sébastien,1167,147,1.056
Eduard Esteban García Domínguez,1062,145,1.055
Antonie Paterakis,1006,145,1.068
Philipp Weyer,1094,143,1.041
Yinghao Wang (王鹰豪),1055,142,1.067
Rowe Hessler,1050,141,1.058
Alberto Pérez de Rada Fiol,1039,140,1.057
Zhao-Zhe Zhong (鍾肇哲),978,139,1.055
Antoine Piau,1069,139,1.058
Rafał Waryszak,978,138,1.067
Bhargav Narasimhan,945,138,1.059
Marcin Jakubowski,1066,137,1.054
Jan Zych,1008,134,1.064
Raymond Goslow,897,134,1.049
Lars Vandenbergh,823,133,1.054
Shivam Bansal,932,133,1.068
Valentin Hoffmann,968,132,1.051
Livia Kleiner,890,132,1.059
Hunor Bózsing,997,131,1.054
Karol Zakrzewski,999,131,1.055
Keaton Ellis,944,130,1.057
Linus Frész,979,129,1.055
Tomasz Żołnowski,876,129,1.043
Ting Sheng Bao Yang,991,129,1.056
Ihor Bilchenko (Ігор Більченко),933,129,1.055
Paul Mahvi,1049,129,1.056
Andreas Pohl,859,127,1.063
Alexander Olleta del Molino,1069,127,1.069
Piotr Tokarski,1216,127,1.073
Daniel Vædele Egdal,1004,127,1.058
Nicolas Gertner,949,126,1.063
Michael Young,914,126,1.053
Simone Cantarelli,889,125,1.056
Phillip Lewicki,790,124,1.051
Michał Rzewuski,968,124,1.07
Mitchell Lane,832,123,1.054
José Leonardo Chaparro Prieto,930,123,1.052
Zachary White,815,123,1.053
Rodrigo Ugarte,803,123,1.045
Przemysław Kaleta,837,122,1.05
Zoé de Moffarts,815,122,1.053
Patrick Ponce,854,122,1.052
Matteo Provasi,923,122,1.056
Carlos Méndez García-Barroso,833,122,1.06
Marcin Stachura,758,122,1.049
Yunqi Ouyang (欧阳韵奇),858,121,1.055
Dmitry Kryuzban,749,120,1.059
Rafael Rodriguez Santana,764,119,1.062
Maciej Czapiewski,714,119,1.07
Javier Tirado Ortiz,875,119,1.07
Zijia Feng (冯子甲),889,119,1.055
Marco Rota,906,118,1.063
Clément Gallet,875,117,1.054
Maksym Yeli (Максим Єлі),565,115,1.054
Joseph Daniel Blas Sanchez,694,115,1.048
Fabio Schwandt,781,114,1.056
Michael Röhrer,718,114,1.05
John Brechon,808,113,1.063
Oleg Gritsenko,806,113,1.063
Charlie Stark,838,113,1.06
Tommy Szeliga,859,112,1.057
Wilfrid Py,817,112,1.06
Nathan Dwyer,826,112,1.056
Baiqiang Dong (董百强),925,112,1.062
Lev Golub (Лев Голуб),811,112,1.059
Sinpei Araki (荒木慎平),689,111,1.064
Daniel Rose-Levine,936,111,1.069
Tymon Kolasiński,887,110,1.07
Kevin Gerhardt,808,110,1.062
Fabian Löhle,891,110,1.054
Ciarán Beahan,751,110,1.05
Luke Garrett,844,110,1.062
Jonatan Kłosko,722,109,1.065
Kailong Li (李开隆),703,109,1.049
Jakub Kipa,929,109,1.062
Andy Denney,748,108,1.055
Daniel Karnaukh,873,108,1.062
Benjamin Gottschalk,752,108,1.059
Oscar Roth Andersen,909,108,1.059
Zach Goldman,706,107,1.053
Michał Krasowski,804,107,1.063
Pau Vela García,782,106,1.058
Ivan Torgashov (Иван Торгашов),854,106,1.051
Dennis Rosero,812,106,1.058
Lucas Déglise,693,106,1.051
Malte Ihlefeld,813,106,1.052
Ping-Yueh Huang (黃品越),681,105,1.059
Nathaniel Berg,838,105,1.055
Max Park,734,105,1.036
Reinier Schippers,805,105,1.057
Diego Alejandro Casas Jimenez,754,104,1.058
Sameer Aggarwal,645,104,1.061
Jeremy Fleischman,709,104,1.046
Anthony Lafourcade,865,103,1.056
Konstantin Jaehne,791,103,1.057
Breandan Vallance,832,103,1.041
Thompson Clarke,741,103,1.058
Max Siauw,792,103,1.059
Piotr Kózka,695,101,1.053
Oliver Fritz,680,101,1.058
Daniel Mullen,657,101,1.054
Viktor Kalmar,555,100,1.051
Daniel Gracia Ortiz,806,99,1.068
Ulrik Bredland,679,99,1.06
Dan Selzer,733,99,1.055
Henry Savich,598,99,1.05
Elvin Thorsen,672,99,1.07
Daniël Kassab,624,98,1.06
Carter Kucala,863,98,1.071
Piotr Olszewski,784,98,1.072
Christopher Chi,794,98,1.073
Ivan Lew Yi Wen (刘义文),690,98,1.052
Ernesto Gutiérrez Cuba,663,98,1.051
Yuhei Takagi (高木佑平),687,98,1.047
Abdelhak Kaddour,794,98,1.052
Björn Korbanka,643,98,1.054
Akula Pavan Kumar,650,97,1.051
Will Callan,718,97,1.057
Alexandre Carlier,785,97,1.063
Simon Westlund,668,97,1.053
Vincent Hartanto Utomo,623,96,1.053
Manuel Prieto de Antón,757,96,1.068
Chris Mills,755,96,1.059
Sheng Cao (曹晟),678,96,1.053
Dana Yi,667,96,1.045
Manuel Bühler,651,96,1.053
Anders Berggren,781,96,1.061
Gunnar Krig,699,96,1.053
Dmitry Dobrjakov,680,96,1.054
Bartłomiej Owczarek,727,96,1.065
Riley Woo,757,96,1.057
Rasmus Stub Detlefsen,700,95,1.076
Eva Kato,619,95,1.06
Edward Lin,676,95,1.053
Ton Dennenbroek,720,95,1.057
Cendy Cahyo Rahmat,694,94,1.056
Henri Gerber,716,94,1.063
Rui-Jun Liu (劉睿鈞),732,94,1.052
Jared Stinson,683,94,1.064
Anthony Brooks,751,94,1.061
Mulun Yin (阴目仑),735,94,1.057
Vicenzo Guerino Cecchini,604,93,1.067
Jr-Wei Jang (張智瑋),729,93,1.048
Eli Jay,731,93,1.065
Justin Mallari,677,93,1.043
Devin Corr-Robinett,717,92,1.057
Ruohan Qiu (邱若寒),524,92,1.056
Pedro Santos Guimarães,565,92,1.05
Weixing Zhang (张炜星),668,92,1.051
Calvin Nielson,661,91,1.071
Patrick Hetco,639,91,1.05
Bo Wang (王擘),673,91,1.057
Alexis Rodrigo Cazu Mendoza,593,90,1.053
Kevin Hays,667,90,1.045
Michael Kristel,619,90,1.056
Ivan Zabrodin,713,90,1.054
Oscar Alberto Ceballos Contreras,625,90,1.065
Nikhil Soares,659,90,1.064
Filippo Brancaleoni,730,89,1.061
Harry Savage,666,89,1.066
Stanley Chapel,801,89,1.063
Adam Polkowski,628,89,1.045
José Antonio Navarro Sánchez,636,89,1.064
Artem Melikian (Артем Мелікян),565,89,1.053
Zayn Khanani,568,88,1.064
Laura Holzhauer,630,88,1.053
Zachary Garber,589,88,1.058
Kari Hyttinen,558,87,1.062
Kian Barry,658,87,1.048
Dmitry Dergunov,626,87,1.049
Mason Langenderfer,608,87,1.057
Michał Mlostek,662,86,1.061
Dylan Miller,632,86,1.059
Ethan Pride,565,86,1.054
Hassan Khanani,538,86,1.068
Jernej Omulec,512,85,1.05
Nobuaki Suga (菅信昭),618,85,1.049
Stephen Griggs,636,85,1.05
Kuo-Hau Wu (吳國豪),581,85,1.05
