name,avgs,bpas,ratio
Jan Bentlage,191,26,1.07
Bence Barát,173,21,1.067
Takao Hashimoto (橋本貴夫),127,20,1.056
Sébastien Auroux,138,19,1.072
Ming Zheng (郑鸣),152,19,1.068
Dániel Varga,105,19,1.072
Daniel Wallin,146,19,1.077
Rui-Jun Liu (劉睿鈞),86,19,1.062
Fabio Bini Graciose,137,19,1.06
Zhao-Zhe Zhong (鍾肇哲),89,18,1.075
François Courtès,145,18,1.072
Robert Yau,109,18,1.076
Max Siauw,105,18,1.062
Benjamin Gottschalk,105,17,1.07
Zijia Feng (冯子甲),84,17,1.069
Michał Halczuk,140,16,1.079
Joshua Feran,63,16,1.093
Kou Oobatake (大畠功),72,16,1.055
Calvin Nielson,103,15,1.086
Reto Bubendorf,97,15,1.065
Roy Lee,86,15,1.054
Nathan Dwyer,73,15,1.057
Michał Krasowski,99,15,1.061
Tommy Szeliga,97,15,1.08
Callum Hales-Jepp,108,15,1.067
Antoine Piau,86,14,1.063
Daniel Sheppard,81,14,1.056
Tzu-Han Hung (洪梓菡),84,14,1.062
Dmitry Kryuzban,55,14,1.053
Akash Rupela,58,14,1.064
Eva Kato,62,14,1.044
Daniel Vædele Egdal,84,14,1.064
Katie Hull,95,14,1.075
Linus Frész,59,14,1.063
Martin Vædele Egdal,87,14,1.065
Michael Röhrer,55,14,1.065
Ryan Jew,98,13,1.077
Clément Cherblanc,111,13,1.079
Jayden McNeill,77,13,1.058
Mats Valk,102,13,1.073
Livia Kleiner,73,13,1.083
Kevin Gerhardt,66,13,1.077
Elvin Thorsen,69,13,1.072
Aiden Bartlett,87,13,1.066
Tobias Peter,97,12,1.074
Jacob Ambrose,93,12,1.082
Rowe Hessler,72,12,1.081
Patrick Ponce,72,12,1.073
Luke Garrett,63,12,1.061
Blake Thompson,84,12,1.083
Michał Mlostek,50,11,1.052
Vicenzo Guerino Cecchini,62,11,1.045
Malte Ihlefeld,75,11,1.061
Eli Jay,53,11,1.058
Alwin Rölz,69,11,1.069
Walker Welch,107,11,1.08
Lucas Déglise,58,11,1.06
Rafał Waryszak,52,11,1.073
Carter Kucala,81,11,1.087
James Molloy,99,10,1.069
Keenan Johnson,38,10,1.05
Gabriel Ignacio Fernández Albarracin,21,10,1.056
Cale Schoon,42,10,1.063
Łukasz Burliga,64,10,1.076
Michał Pleskowicz,65,10,1.062
Fabio Schwandt,53,10,1.07
Felipe Medel,51,10,1.055
Daniel Rose-Levine,77,10,1.081
Daniel Karnaukh,97,10,1.075
Philippe Virouleau,77,10,1.066
Pedro Santos Guimarães,42,10,1.061
Rasmus Stub Detlefsen,65,10,1.066
Corey Sakowski,92,10,1.089
Evan Liu,80,10,1.07
Kit Clement,76,10,1.081
Sameer Aggarwal,74,10,1.074
Nikita Kovalchuk (Нікіта Ковальчук),43,10,1.053
David Epstein,41,10,1.042
Marco Rota,62,10,1.071
Wilhelm Kilders,81,10,1.064
Wojciech Knott,52,10,1.064
Christopher Chi,88,9,1.064
Derek White,22,9,1.044
Daniel Guardado Cabral,34,9,1.054
Manuel Bühler,25,9,1.056
Hannah Minas,40,9,1.079
Lars Vandenbergh,58,9,1.069
Charlie Stark,76,9,1.062
Aedan Bryant,33,9,1.047
Jan Zych,78,9,1.07
Oleg Gritsenko,47,9,1.094
Yunqi Ouyang (欧阳韵奇),70,9,1.081
Hassan Khanani,51,9,1.076
Simon Westlund,44,9,1.069
Matic Omulec,69,9,1.076
Jack Pfeifer,35,9,1.057
Grégoire Gsell,28,9,1.069
Ting Sheng Bao Yang,52,9,1.07
Piotr Michał Padlewski,65,9,1.064
Lucas Ichiro Yunomae,36,9,1.053
Feliks Zemdegs,71,9,1.071
Nicolas Gertner,51,9,1.102
Joonas Silvennoinen,51,9,1.059
James Quinn,38,9,1.062
Przemysław Rogalski,74,9,1.064
Mason Langenderfer,38,9,1.058
Sebastian Alanen,50,9,1.08
Helmer Ewert,67,9,1.074
Luigi Soriano,57,9,1.071
Henrik Buus Aagaard,61,8,1.092
Amelie Dieterich,41,8,1.054
Daniël Kassab,41,8,1.107
Igor Tarasov,48,8,1.071
Vasily Stasyev,56,8,1.063
Michael Young,109,8,1.062
Simone Cantarelli,56,8,1.089
Andrey Che,27,8,1.038
Oliver Fritz,48,8,1.079
John Brechon,52,8,1.061
David Vujasić,24,8,1.061
Alaik Bhatia,39,8,1.085
Brady Metherall,30,8,1.077
Felipe Cardim,43,8,1.061
Marcus Moberg,48,8,1.078
Jules Desjardin,91,8,1.078
Olivér Perge,60,8,1.088
Krish Shah-Nathwani,44,8,1.073
Raymond Goslow,54,8,1.072
Dennis Rosero,60,8,1.057
Rafael Werneck Cinoto,70,8,1.082
Santeri Laine,35,8,1.056
Jode Brewster,27,8,1.069
Chia-Liang Tai (戴嘉良),60,8,1.073
Nick Young,30,8,1.053
Volodymyr Korol (Володимир Король),34,8,1.06
Oscar Nieto,38,8,1.098
Ben Yu,26,8,1.095
Nejc Ian Čurman,29,8,1.079
Baiqiang Dong (董百强),49,8,1.074
Riley Norrid,28,8,1.051
Antoine Cantin,42,8,1.079
Dylan Hughlett,22,8,1.063
Antonie Paterakis,55,8,1.08
Henri Gerber,61,8,1.074
Daniel Gracia Ortiz,57,8,1.074
Ben Whitmore,35,7,1.069
Mateusz Szulik,63,7,1.073
Isaac Myers,34,7,1.113
Enzo Mattos,31,7,1.068
Sean Hartman,43,7,1.079
Marcos Ameijeiras Moreno,53,7,1.072
Jason White,50,7,1.062
Joey Gouly,94,7,1.078
Piotr Olszewski,63,7,1.073
Jared Stinson,48,7,1.076
Rémi Esturoune,35,7,1.085
Lucas O'Connell,31,7,1.062
Alejandro Riveiro Rodríguez,30,7,1.082
Ciarán Beahan,36,7,1.087
Daniel James,39,7,1.064
Andrew Coghill,36,7,1.087
Tomas Kristiansson,50,7,1.053
Peter Preston,33,7,1.057
Lim Hung (林弘),43,7,1.079
Riley Woo,37,7,1.087
Stanley Chapel,69,7,1.094
David Beugnon,29,7,1.059
Juho Arjanne,44,7,1.06
Alexis Rodrigo Cazu Mendoza,42,7,1.046
Sheng Cao (曹晟),27,7,1.032
Christian König,35,7,1.067
Shivam Bansal,68,7,1.066
Henry Savich,37,7,1.077
Josh Bloch,39,7,1.062
Hector David Martinez Argaez,43,7,1.067
Allyson Dias de Lima,36,7,1.091
Waldemar Sundin,29,7,1.052
James Hildreth,44,7,1.06
Manfred Siew Ee Sheng (蕭奕晟),31,7,1.071
Brandon Lin,54,6,1.059
Chris Mills,48,6,1.067
Magdalena Pabisz,55,6,1.068
Priyanshu Kumar,25,6,1.063
Witold Sołtysik,23,6,1.05
Kari Hyttinen,43,6,1.074
John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),33,6,1.063
Ryan DeLine,39,6,1.122
Daan Baartmans,39,6,1.06
Callum James Goodyear,33,6,1.083
Lev Golub (Лев Голуб),58,6,1.081
Ruzhen Ye (叶儒臻),49,6,1.06
Laura Ohrndorf,48,6,1.097
