name,avgs,bpas,ratio
Jaden Lim,12,4,1.014
Jostin Alvarez,11,6,1.015
Beom San Kim (김범산),14,6,1.016
Bryan Kevin Jimenez Cruz,11,4,1.017
Theo Skoog,16,6,1.017
Nanda Bhayu Hariyanto,13,4,1.018
Luiz Henrique dos Santos Pereira,17,4,1.019
Alex Walker,20,5,1.019
Ng Jun Jie,11,2,1.019
Diego Alonso Tapia Mera,14,6,1.019
Jun Ma (马军),12,6,1.019
Ignacy Buczek,17,7,1.019
Jeffrey Li,11,4,1.02
Anthony Lauro,13,4,1.021
Benjin Chen (陈本锦),12,1,1.021
Jack Engledow,13,4,1.022
Zhen Tang (唐镇),15,4,1.022
Giorgio Zonta,21,6,1.023
Frieder Klein,15,4,1.023
Robin Geiser,18,4,1.023
Abylai Orazalin (Абылай Оразалин),18,3,1.023
Juan de Dios Noriega Sánchez,11,4,1.023
Danilo Toro Nieto,11,2,1.024
Grzegorz Łucki,12,2,1.024
Tongxiong Mao (茅同雄),11,1,1.024
Jakub Janusz,12,0,1.024
Scott McKenzie,13,1,1.024
Enol Matilla,12,3,1.024
Jhoan Andrade,14,2,1.024
Lachlan O'Gorman,12,5,1.024
Matej Marčok,15,4,1.024
Sam Mehmani (سام مهمانی),11,1,1.024
Brian Acuña,14,4,1.024
Sayee Rakshith,12,3,1.024
Christian Baier,17,4,1.025
Egor Dubrovskiy,12,5,1.025
Gabriel Pereira Campanha,33,9,1.025
Stanley Wang,16,4,1.025
Rik Ganguli Biswas,18,5,1.025
Dušan Zakelšek,17,4,1.025
Richard Henry Figueroa Guitz,16,4,1.025
Anuar Miguel Abib Onofre,13,3,1.025
Bryan Andres Campaña Sanchez,12,4,1.025
Jose Polorhenzo Aquino,16,4,1.026
Ramiro Mendez,11,1,1.026
Platon Dranchuk (Платон Дранчук),13,3,1.026
Gabriel Bucsan,13,2,1.026
Henry Lange,12,3,1.026
Lihuan Pan (潘礼环),14,4,1.026
Matthew Sheerin,11,3,1.026
Hyo-Min Seo (서효민),17,3,1.026
Łukasz Stępień,13,4,1.026
Stefan Pochmann,35,9,1.026
Tom Stanton-Barnett,28,7,1.026
Yu Tang (唐语),15,3,1.026
Nanbin Zhang (张楠彬),25,6,1.026
Ágoston Demény,14,2,1.026
Syota Arai (新井翔大),11,3,1.026
Megh Deshmukh,12,5,1.026
Marco Belotti,12,1,1.027
Lorenzo Escobar Kraskouskaya,15,4,1.027
Johannes Rueben,14,3,1.027
Matthew Harris,21,5,1.027
Michael Kevin Astudillo Muñoz,14,1,1.027
Raghav Reddy,15,4,1.027
Daniel Tabares Pavas,11,2,1.027
Luca Istrate,12,2,1.027
Jichen Zha (查吉辰),12,5,1.027
Brendan Blackwell,11,3,1.027
Willian Dias,19,4,1.027
Lorenzo Layug,13,3,1.027
Adrian Jorghy,20,1,1.028
Mats Kollbrink,12,3,1.028
Dmitry Patrikeev,18,4,1.028
Max Sun,11,1,1.028
Guang Zhao (赵广),15,5,1.028
Mantas Urbanavičius,11,3,1.028
Niclas Mach,18,3,1.028
Anastasia Gubanova,18,4,1.028
Wen-chung Tien (田文中),11,1,1.028
David Fang,11,4,1.028
Gustavo Andre Taipe Gratelly,13,4,1.028
Zhihong Huang (黄志鸿),16,6,1.028
Debanjan Poddar,17,3,1.028
Ustsin Vashchanka,13,3,1.028
Willian Fidêncio,13,1,1.028
Tristan Yoo,19,5,1.028
Matthew Elizalde,11,2,1.028
Ruzhen Ye (叶儒臻),12,1,1.028
Pranay Sampat,15,4,1.029
Ray Zhang (张灏睿),14,5,1.029
Irene Pinto,20,3,1.029
Huixuan Shi (施慧轩),15,1,1.029
Jomar Menor,17,5,1.029
Valerii Kolesnichenko (Валерій Колесніченко),12,2,1.029
Tejas Parse,13,3,1.029
Guillaume David,14,2,1.029
Richard Jiankun Peng (彭健坤),20,4,1.029
Tiago Akihiro Fujita,13,1,1.029
Henrique Fonsêca Coelho Lima,13,3,1.029
Pascal So (蘇柏熙),15,0,1.029
Junjie Huang (黄俊杰),20,5,1.029
Muhammed Enes Ertaş,20,1,1.029
Juan Manuel Bedoya Pimienta,13,4,1.029
Kostiantyn Koptiev (Костянтин Коптєв),15,2,1.029
Anay Shrikar,26,6,1.029
Daniel Chudecki,40,9,1.029
Parham Saeed Nia (پرهام سعیدنیا),25,7,1.029
Leonardo José Hilario Cori,15,5,1.03
Lijiaqi Zhang (张李佳琦),12,2,1.03
Maya Maghiar,11,4,1.03
Liam Wadek,16,4,1.03
Slater Metz,17,2,1.03
Ignacio Soto Bustos,12,3,1.03
Gagan Prasad,11,3,1.03
Tsang Hon Pong (曾漢邦),17,4,1.03
Diwen Xu (许帝文),44,11,1.03
Dan Tran,19,4,1.03
Andrea Lo Sardo,21,5,1.03
Jeferson Alexandre Queiroz Santana,12,1,1.03
Qijun Li (李奇骏),23,4,1.03
Maya Engel,23,6,1.03
Luiz Fellipe Oliuza Leal Silva,25,7,1.03
Yu Gu (谷雨),34,11,1.03
Martin Lédl,12,4,1.03
Dartagnan Mullins,11,2,1.03
Pranav Maneriker,12,2,1.03
Luka Jankovic,16,6,1.03
Geng Xie (谢耿),20,3,1.03
Asbjørn Brummer Birkelund,13,3,1.03
Radityo Yunus Utomo Wicaksono,16,7,1.03
Yngwie Onodera,13,3,1.03
Jeann Valdez,11,2,1.03
John Coon,12,2,1.03
Yuzhe Gan (甘宇喆),14,4,1.03
Prabal Khare,11,2,1.03
Mihajlo Sremac,11,2,1.03
Jimin Byeon (변지민),13,4,1.03
Alejandro Collantes,11,2,1.03
Luiggi Giovanucci,14,4,1.03
Christian de Sena Fortunato,25,4,1.03
Benjamin Lippsmeier,21,5,1.03
Ben Chin,13,1,1.03
Rodrigo Aguilar,18,4,1.031
Yi Seung-Woo (이승우),14,5,1.031
Jeff Chiu,14,2,1.031
Yee Wen Foo,12,2,1.031
Robbi Atsmara Haqqi,14,6,1.031
Espen Hansen Høijord,11,2,1.031
Sebastián Enrique Zaragoza Mendoza,11,1,1.031
Gerardo Villavicencio Gutierrez,11,2,1.031
Sucheth Seethalla,11,4,1.031
John Paul Custodio,22,2,1.031
Yannick Richter,19,3,1.031
Kaijun Lin (林恺俊),35,7,1.031
Lucas Nieuwland,13,2,1.031
Pratyush Manocha,12,3,1.031
Camilo Andres Cobos Alvarado,21,4,1.031
Xiaofeng Zheng (郑晓锋),12,2,1.031
Henrique Luiz Souza de Oliveira,13,2,1.031
Zhaoyu Tang,15,3,1.031
Guanbo Wang (王冠博),17,2,1.031
Riccardo Simone,58,14,1.031
Sebastián Pulgarín Manrique,19,5,1.031
Spondon Nath,16,5,1.031
Eliott Crancée,11,1,1.032
Nguyễn Khang Minh,23,5,1.032
Cenan Kanik,30,4,1.032
Konrad Przetacznik,13,2,1.032
Koh Youngjin (고영진),21,4,1.032
Justin Barker,26,7,1.032
Brendan James Gray,13,3,1.032
Gilson Sousa da Silva,45,9,1.032
Carlo Nicolai Abana,30,7,1.032
Sikan Li,18,3,1.032
Philip Khursevich,14,3,1.032
Anton Bedrichenko,12,2,1.032
Reynaldo Mape Jr.,20,6,1.032
Yi Hou (侯夷),15,3,1.032
Zelin Chen (陈泽霖),12,2,1.032
Teo Kai Xiang,21,4,1.032
Wei Wei (韦薇),20,4,1.032
Matias Rasmussen,13,4,1.032
Yang Qi (祁洋),11,2,1.032
Brenton Angelo Lo Wong,24,7,1.032
Piotr Koska,16,2,1.032
Yun-Rong Chiang (江昀容),18,3,1.032
Nico Wrodarczyk,15,3,1.032
Ardianto Satriawan,13,3,1.032
Sören Jaan Handschuch,11,3,1.032
Ziheng Ma (马子恒),22,7,1.032
Pedro Santos Guimarães,98,23,1.032
Yuhao Deng (邓宇豪),62,11,1.032
John Linder,11,2,1.032
Rahul Kulkarni,25,3,1.032
Daniel Chan,64,13,1.032
Eduardo José Poveda Rojas,14,3,1.032
Aldair Coronel Ruíz,26,7,1.032
Congjian Zhang (张丛健),23,5,1.032
Thomas Imada,13,4,1.032
David Ludwig,20,5,1.032
Mikhail Ivashechkin,13,5,1.032
Liam Chen,30,9,1.032
Sumeet Agarwal,32,5,1.033
Luke Van Laningham,26,6,1.033
Changshuo Zhang (张畅铄),15,4,1.033
Hiroto Fujita (藤田浩斗),24,6,1.033
Magne Njå,32,4,1.033
Péter Róka,18,3,1.033
Ivan Kravchenko (Іван Кравченко),19,6,1.033
Matthew Sieredzinski,12,2,1.033
Celine Tran,44,7,1.033
Declan Wilhelm,23,3,1.033
Rodrigo Kenji Asato Kobayashi,14,2,1.033
Jonathan Lööv,14,4,1.033
Aakash Josh,16,2,1.033
