name,avgs,bpas,ratio
Benjamin Walker,11,0,1.01
Chun-Hsien Wu (吳俊賢),14,5,1.011
Chris Foster,14,7,1.012
Raúl Sánchez Vara,15,2,1.013
Szymon Moroń,16,5,1.014
Alexander Yu,11,3,1.014
Jesus Emmanuel Vergara Ayarza,13,4,1.014
Tiago Oliveira Vidal,18,7,1.014
Liping Jia (贾立平),18,7,1.014
Dereck Estrada,12,3,1.015
Kentaro Nishi (西賢太郎),16,5,1.015
Wen-Pin Chen (陳文聘),12,3,1.015
Marcos Ferreira Semolini,13,4,1.015
Ngan Tran,13,3,1.015
Yerko Matias Serrano Cabezas,14,4,1.015
José Manuel Toledo Betancor,12,2,1.015
Om Joshi,24,7,1.016
Sukesh Subaharan,26,7,1.016
Adrian Freund,11,3,1.016
Alan Zhao,16,6,1.016
Bartłomiej Zięba,12,5,1.016
Kirill Shalashov,22,10,1.016
Hongyuan Tang (唐鸿远),18,4,1.016
Ryan Eckersley,12,3,1.016
Fernando Daniel Hernández Sánchez,18,5,1.017
Michael Edmonds,19,3,1.017
Sebastian Miranda,11,3,1.017
Erik Červek Roškarič,14,3,1.017
Szabolcs Szántai,31,10,1.017
Wouter Komduur,14,5,1.017
Zhanaidar Uzakov (Жанайдар Узаков),11,5,1.017
Wenshun Zhou (周文舜),11,1,1.017
Mathias Tomazelli,12,4,1.017
Ben MacGregor,12,2,1.017
Cameron Soulagnet,22,3,1.018
Kartik Gupta,14,4,1.018
Manuel Navarro López,12,1,1.018
Charlie Harrison,13,2,1.018
Denniel M. Santos,20,5,1.018
Riley Thurm,12,3,1.018
Cyrus Colah,11,1,1.018
Victor Hugo Mattio,11,3,1.018
Reynaldo Mape Jr.,13,2,1.018
Ziang Yan (晏子昂),16,6,1.018
Mantas Urbanavičius,14,1,1.018
Igor Aipkin,23,4,1.018
Ben White,19,2,1.018
Han-Wei Huang (黃漢威),13,4,1.018
Yaroslav Ivanashev,11,2,1.018
Anne Huber,17,2,1.018
Holden Moritz,11,4,1.018
Christian Houghton,11,1,1.019
Andrey Lopez Rodríguez,14,3,1.019
Katelyn Hinkley,14,4,1.019
Zhi Li (李志),17,5,1.019
César Cornejo Soldevilla,14,4,1.019
Jang Seok Won (장석원),14,4,1.019
Mateusz Andrzejewski,13,2,1.019
Samuel Crisan Córdoba,11,3,1.019
Jason Zheng,14,4,1.019
Alexandre Richard,16,2,1.019
Aidan Lee,15,6,1.019
SeungWoon Lee (이승운),11,5,1.019
Joshua Santiago Monterrosa Herrera,11,1,1.019
Alejandro Cisneros Bracho,12,2,1.019
Rodson Lingad,17,5,1.019
Nanda Bhayu Hariyanto,16,3,1.019
