name,avgs,bpas,ratio
Dmitriy Rogozhnikov (Дмитрий Рогожников),11,2,1.016
Juuso Suutari,12,6,1.017
Ryohei Yoshioka (吉岡亮平),11,4,1.017
Peter Weyers,13,4,1.018
Jānis Zirnis,11,1,1.02
Billy Jeffs,12,5,1.022
Kalina Brzezińska,30,6,1.022
Marcos Masini,11,2,1.023
Will Cerne,16,5,1.023
Jakub Pacewicz,14,4,1.024
Anders Larsson,12,2,1.024
Ari Randers-Pehrson,11,3,1.024
Ilham Fikriya Darmawan,14,2,1.025
Daniel Ramsden,23,6,1.025
Nancy Hartman,28,7,1.025
Caio Hideaki Sato,13,0,1.026
Fabian Settelen,11,3,1.026
Mitchell Hum,12,2,1.027
Andrey Kurochkin,11,5,1.027
Iván Guerrero Juárez,14,3,1.027
Konstantin Ushakov,17,2,1.029
Malte Oliver Bøgh Kjøller,15,1,1.029
Jens Diewald,14,1,1.029
José Miguel Lorente Pérez,14,2,1.029
Yuxuan Wang (王宇轩),12,6,1.029
Maxim Ilin,22,6,1.03
David Burany,11,5,1.03
Yining Yao (姚祎宁),11,3,1.031
Tom Savage,11,2,1.031
Noriyuki Okada (岡田典之),17,5,1.031
Viktor Ejlertsson,13,4,1.031
Nanda Bhayu Hariyanto,13,2,1.031
Xiaobin Rui (芮晓彬),16,1,1.032
Seth Talbot,13,1,1.032
Renato Stopic,12,2,1.032
Przemysław Kruczek,29,5,1.033
Jonatan Kłosko,22,6,1.033
Santhosh Sabarinathan,12,3,1.033
Jack Johnston,11,2,1.033
William Jensen,13,1,1.033
Jhon Edinson Arias Parra,11,2,1.034
Klaus Andersen,17,4,1.034
Yu-Kai Chen (陳宇楷),22,6,1.034
Henry Savich,17,2,1.035
Nickalaus Chaney,12,4,1.035
Michael Röhrer,45,7,1.035
Shengliang Cai (蔡盛梁),25,3,1.035
David Lim,24,5,1.035
Luiz Fellipe Oliuza Leal Silva,11,3,1.035
Nathan Azaria,21,5,1.035
Keenan Johnson,22,4,1.035
Nikolay Golovenko,13,4,1.035
Sean Cutshaw,11,3,1.035
Artem Kuminov,13,2,1.035
Denys Shyshliannykov (Денис Шишлянников),12,3,1.035
Adithyaa Anand,11,3,1.035
Samuel Baird,11,3,1.035
Vincent Hartanto Utomo,32,9,1.036
Yuxuan Chen (陈雨璇),27,4,1.036
Artem Melikian (Артем Мелікян),22,4,1.036
Finn Ickler,25,9,1.036
Jiahao Deng (邓家豪),23,3,1.036
Tim Reynolds,60,10,1.036
Daniel Porter,15,3,1.036
Zongyang Li (李宗阳),25,5,1.037
Gilberto Caracciolo Morelli,14,3,1.037
Knut Skaug Haraldsen,11,3,1.037
Fabian Löhle,25,3,1.037
Antoine Perdereau,17,3,1.037
Eric Zhao,26,6,1.037
Philippe Lucien,13,2,1.037
Laura Ohrndorf,123,22,1.037
Darja Makurina,20,2,1.037
Ben Whitmore,20,5,1.037
Alberto Pérez de Rada Fiol,40,7,1.037
Alrimar Dias Rocha Sobrinho,21,6,1.037
Akihiro Ishida (石田朗大),12,1,1.037
Anthony Lafourcade,25,0,1.037
Ivan Krueger,15,3,1.037
Ernesto Fernández Regueira,21,2,1.038
Alex Thielemier,15,3,1.038
Bhargav Narasimhan,19,2,1.038
Simone Ohler,37,7,1.038
Piotr Michał Padlewski,41,4,1.038
Nikita Loika,41,8,1.038
Jacob Oliver Bruun,11,2,1.039
Andres Rodriguez,11,3,1.039
Mark Boyanowski,13,1,1.039
Ben Zoller,19,6,1.039
Paweł Kowol,34,6,1.039
Eduard Esteban García Domínguez,22,5,1.039
Michał Krasowski,28,3,1.039
Mykhailo Lagoida (Михайло Лагойда),12,3,1.039
Dominik Fürer,11,2,1.039
Amaia de Pablo,11,2,1.04
Rok Glinšek,17,4,1.04
Sergey Novik,19,1,1.04
Ilkyoo Choi (최일규),34,5,1.04
Rahul Kulkarni,16,2,1.04
Yunho Nam (남윤호),12,3,1.04
Dennis Rosero,39,9,1.04
Shao-Hua Hu (胡少華),12,3,1.041
Ben Stokes,23,3,1.041
Yikuan Kan (阚亦宽),14,2,1.041
Joel Cetra,14,1,1.041
Lennon Hughes,12,2,1.041
Pablo Nicolás Oshiro Mondoñedo,31,8,1.041
Carsten Matheus,19,6,1.041
Harry Taylor,12,2,1.041
Albin Sten,18,0,1.041
Rasmus Händén,22,5,1.042
Siddharth Shah,13,3,1.042
Jayden McNeill,31,3,1.042
Kamil Zieliński,22,3,1.042
Javier López Fernández,13,2,1.042
Tobias Peter,58,13,1.042
Fyodor Borisov,20,4,1.042
Cendy Cahyo Rahmat,13,1,1.042
Noah Paredes,16,3,1.042
Jessica Lohe,14,3,1.042
Christopher Cabrera,14,2,1.042
Linus Frész,21,4,1.042
Serhii Koksharov (Сергій Кокшаров),12,3,1.042
Michael Conard,24,6,1.042
Rami Sbahi,11,0,1.043
Aneurin Hunt,12,2,1.043
Renan da Cunha Santos,15,4,1.043
Kit Clement,92,15,1.043
Emil Mickein,46,7,1.043
Tommy Szeliga,29,4,1.043
Bob Burton,44,6,1.043
Axel Flordal,16,2,1.043
Theo Proferes,18,2,1.043
Kevin Gerhardt,20,0,1.043
Chun-Chen Chu (朱峻辰),13,0,1.043
Sébastien Auroux,174,30,1.043
Szabolcs Balázsi,17,2,1.044
Artem Yashkov,13,2,1.044
Liam Wadek,13,2,1.044
Luis J. Iáñez,36,6,1.044
Kirill Shalashov,15,1,1.044
Markus Pirzer,20,4,1.044
Bence Barát,120,11,1.044
William Gan Wei Ren (颜伟仁),17,4,1.044
Mykola Trotsenko (Микола Троценко),15,2,1.044
Nikolay Vasilyev,11,1,1.044
Malte Ihlefeld,30,3,1.044
Shenjie Zhu (朱申杰),24,3,1.044
Christopher Olson,18,4,1.044
Diego Iglesias Godoy,17,1,1.044
Kevin Guillaumond,13,4,1.044
Paweł Duraj,19,5,1.044
Vasily Stasyev,28,5,1.045
Aldo José Gramajo de León,14,2,1.045
Sheldon Rego,21,2,1.045
Lauren Phung,15,1,1.045
Hubert Hanusiak,51,6,1.045
Tzu-Han Hung (洪梓菡),11,1,1.045
Marcin Stachura,25,3,1.045
Gunnar Krig,26,2,1.045
Thompson Clarke,22,5,1.045
Ng Jia Quan (黄佳铨),18,3,1.045
Lisa Kucala,16,3,1.045
Gábor Szabó,26,6,1.045
Vladimir Korovin,12,2,1.045
Mok Man Kit (莫文傑),38,8,1.045
Hampus Hellqvist,16,1,1.045
Lucas Nieuwland,26,4,1.045
Jules Desjardin,14,3,1.045
Antoine Cantin,24,4,1.045
Dawid Wójcik,12,1,1.045
Shao-Heng Hung (洪紹恆),53,6,1.045
Jason White,19,3,1.045
Matthew Prestwich,39,4,1.045
Oleksandr Lutsiuk (Олександр Луцюк),12,0,1.045
Tibor Jerry Praas,12,2,1.045
Kacper Paweł Dworak,35,6,1.046
Kristin Wiley,20,3,1.046
Geert Bicler,24,5,1.046
Eason Siew Ee Son (蕭奕晨),38,9,1.046
Charlie Cooper,15,4,1.046
Petra Vogrinec,13,0,1.046
Liudi Sun (孙柳笛),40,3,1.046
Anish Rajesh,15,4,1.046
Callum James Goodyear,52,10,1.046
Amelie Dieterich,22,1,1.046
Rafał Studnicki,31,4,1.046
Matteo Dummar,23,6,1.046
Marcin Jakubowski,84,10,1.046
Thomas Schmidt,47,6,1.046
Clément Cherblanc,49,9,1.046
Elijah Brown,17,2,1.046
Federico da Fonseca,16,2,1.046
AJ Blair,20,3,1.046
Jernej Omulec,27,8,1.046
Yu Sajima (佐島優),23,2,1.046
Pedro Luis Muñoz Yañez,11,3,1.046
Bertie Longden,18,1,1.046
Wojciech Włodarczyk,25,1,1.047
Hubert Firek,25,3,1.047
Quentin Lefebvre,18,1,1.047
Sandeep Rajaram,11,3,1.047
Raymond Goslow,68,8,1.047
Jonathan Collins,11,1,1.047
Andy Denney,12,3,1.047
Henrik Buus Aagaard,35,5,1.047
Darren Siew Ee Yaang (蕭奕暘),43,4,1.047
Peter Preston,12,3,1.047
Fedor Abaev,18,2,1.047
Wilhelm Kilders,61,10,1.047
Daniel Gracia Ortiz,26,4,1.047
Jacob Fanikos,21,4,1.047
Szymon Malinowski,11,1,1.048
Yuji Yoshida,19,3,1.048
Viktor Zenk,21,2,1.048
Michael Kristel,54,9,1.048
Brendan Bakker,11,1,1.048
Govend Avgerinos Djangoi,24,3,1.048
Danylo Harbar (Данило Гарбар),11,1,1.048
Alexey Gundin (Алексей Гундин),21,3,1.048
Daniil Starodubtsev (Даніїл Стародубцев),18,3,1.048
Matic Omulec,30,3,1.048
Viktor Kalmar,12,1,1.048
Philippe Virouleau,12,1,1.048
Hunor Bózsing,55,9,1.048
Siew Hann Wen (蕭漢文),34,5,1.048
Nicolas Perez,12,2,1.048
Ernest Eh Zhong Yu,14,3,1.048
Keunsoo Heo (허근수),13,2,1.048
Jaime Botello García,13,1,1.048
Pedro Santos Guimarães,32,5,1.048
Nathan Dwyer,37,5,1.049
Xingkai Yin (尹星凯),16,1,1.049
Conor Cronin,29,6,1.049
Przemysław Rogalski,139,19,1.049
Wojciech Szatanowski,80,6,1.049
Kian Barry,16,3,1.049
James Golding,12,1,1.049
Takuma Shirahase (白波瀬拓磨),12,2,1.049
Lucas Déglise,14,4,1.049
Alexander Karlov,11,2,1.049
Chen Kang (亢晨),17,5,1.049
Georgiy Titov (Георгій Тітов),21,1,1.049
Rémi Esturoune,16,3,1.049
Fabian Auroux,17,2,1.049
Kate Grahame,11,3,1.049
Jan Bentlage,150,16,1.049
Jakob Kogler,22,4,1.049
John Albright,24,4,1.049
Tyler Robinson,12,1,1.049
Bill Hammill,36,3,1.049
Oliver Fritz,15,2,1.049
Mike Hughey,22,2,1.049
Katie Hull,125,17,1.049
Jesús Masanet García,107,17,1.049
Saransh Tandon,21,2,1.049
Raúl Serrano Martínez,11,3,1.05
Jacky Koo Chun Ki (顧俊祺),16,3,1.05
Carson Claud,76,18,1.05
Juan David Carmona Vásquez,21,4,1.05
Kyra Joiner,39,3,1.05
Fumiki Koseki (古関章記),18,3,1.05
Stefan Pochmann,19,2,1.05
Mariia Mazel (Марія Мазел),15,2,1.05
Maksymilian Majcher,20,2,1.05
Paul Galioto,16,3,1.05
Habin Kim (김하빈),12,1,1.05
Aniket Das,20,3,1.05
José Garrido,15,5,1.05
Felipe Cardim,15,2,1.05
Theo Goluboff,17,3,1.05
Chan Hay Yin (陳希言),12,1,1.05
José Leonardo Chaparro Prieto,27,3,1.05
Alexander Katyukov (Александр Катюков),43,4,1.051
Junru Wang (王珺儒),27,4,1.051
Gonzalo Orellana Barrasa,18,5,1.051
Daniel Guardado Cabral,23,1,1.051
Aharon Campoli Tono,16,3,1.051
Yepeng Sun (孙叶芃),26,4,1.051
Sanio Kasumovic,46,9,1.051
Niki Placskó,90,7,1.051
Jinhao Zheng (郑金昊),14,2,1.051
Konstantin Solovev (Константин Соловьёв),30,5,1.051
Branko Kobal,12,2,1.051
Firstian Fushada (符逢城),16,2,1.051
Karol Zakrzewski,35,3,1.051
Muhammad Syahmi,24,2,1.051
Jaume Martínez Vanaclocha,11,1,1.051
Gabriel Lincon Souza,17,3,1.051
Simone Santarsiero,32,4,1.051
Martin Vædele Egdal,46,7,1.051
Kush Girap,14,2,1.051
Sergi Sabat,15,3,1.052
Raffael Ort,11,1,1.052
Eli Parker,19,3,1.052
Hanwen Mao (毛翰文),30,4,1.052
Fabio Bini Graciose,88,18,1.052
Simon Kelly,11,0,1.052
Simon Westlund,34,8,1.052
Joey Stahl,12,0,1.052
Dongzhe Li (李东哲),20,5,1.052
Dániel Varga,79,14,1.052
Matěj Mužátko,30,2,1.052
Jiankun Shi (石建坤),17,4,1.052
Paul Mahvi,20,2,1.052
Joshua Feran,127,13,1.052
Szymon Grodzki,18,4,1.052
Abhimanyu Singhal,21,4,1.052
Niko Ronkainen,114,10,1.052
Jakub Hibszer,13,1,1.053
Josias Milan Sirpa Pinto,11,1,1.053
Vladislav Kozhin,23,4,1.053
Sukant Koul,18,2,1.053
Christian Smedegaard,13,1,1.053
Lev Golub (Лев Голуб),54,11,1.053
Logan McGraw,30,3,1.053
Vilius Ribinskas,26,2,1.053
Daniel Wannamaker,35,6,1.053
Alwin Rölz,47,12,1.053
Wang Junwen (王俊文),25,3,1.053
Ting Sheng Bao Yang,53,4,1.053
Braden Richards,19,4,1.053
Stepan Tsarev,15,1,1.053
Radomił Baran,25,3,1.053
James Molloy,121,11,1.053
Nestor Sokhan,25,5,1.053
Marcus Kamen,26,2,1.053
Anant Pingle,15,4,1.054
Blake Thompson,27,8,1.054
Chung Tze Yang (鍾志扬),13,1,1.054
Daniel Vædele Egdal,51,5,1.054
Luis Kleinheinz,21,1,1.054
Jesús Lindo García,21,1,1.054
Joshua Marriott,14,0,1.055
