name,avgs,bpas,ratio
Oscar Sánchez Najarro,11,6,1.011
Thomas Schmidt,25,3,1.011
Dmitry Shelomencev,14,4,1.012
Alejandro Isaza,13,2,1.012
Pedro Santos Guimarães,28,5,1.013
Michael Gottlieb,15,5,1.013
Will Belote,11,3,1.013
Brandon Harris,12,6,1.013
Xu Wang (王旭),11,4,1.014
Freddy Fernández Córdova,12,3,1.014
Jorge Rafael Castañeda Sánchez,19,4,1.014
Kaito Mori (森海斗),15,6,1.014
Valentin Havlovec,11,1,1.015
Jorge Adrian Hernández Dionicio,11,2,1.015
Chongshun Li (李崇顺),12,4,1.015
Lauri Korhonen,18,8,1.015
Vito Kosasih (高耀梁),17,3,1.016
Rami Sbahi,31,5,1.016
Gustavo Silva Sousa,11,3,1.016
Yongtao Sun (孙永涛),12,4,1.016
Abhimanyu Singhal,12,3,1.016
Anderson Ortegón Gómez,12,4,1.017
Andrey Lopez Rodríguez,12,3,1.017
Juan Andres Ruiz Polo,25,5,1.017
Emily Wang,13,3,1.017
Abril Andrea Arizaca Benique,11,4,1.017
Chenxi Shan (单晨曦),12,3,1.017
Travis Burkett,12,4,1.017
Martin Kraut,16,3,1.017
Edoardo Disarò,20,7,1.017
Maxim Onushkin,26,4,1.017
Yu Nakajima (中島悠),12,3,1.017
Christoph Prasch,12,2,1.017
Kate Grahame,21,5,1.017
Bingliang Li (李炳良),14,3,1.018
Mikołaj Dorosiński,12,4,1.018
Chris Wall,37,9,1.018
Constantin Lüske,16,2,1.018
Ragavan Ravi,11,1,1.018
Taine Cassar,11,2,1.018
Sandeep Rajaram,12,4,1.018
Muhammad Ammar Aufa B. Rosman,13,3,1.018
Michael Kristel,15,5,1.018
Noah Kraft,19,5,1.018
András Szigeti,11,3,1.018
Christian Schiøtt,11,2,1.018
Eddy Deturche,20,3,1.018
Daniel Waldir Rodrigues Rosa,12,2,1.018
Alyssa Belle Yu,11,0,1.018
Amiel Engel,17,4,1.018
Jose Polorhenzo Aquino,12,6,1.018
Daniel Ortega Pastor,16,2,1.019
Justin Gou,17,4,1.019
Maciej Lyer,23,4,1.019
Max Day,12,1,1.019
Yun-Rui Chiang (江昀叡),23,6,1.019
Vicente Astroza,14,5,1.019
Enzo Mattos,19,5,1.019
Maddie Clemmons,13,2,1.019
Darko Zakelšek,18,4,1.019
Kyle McDonald Trejos,12,2,1.019
Taras Voitovych (Тарас Войтович),11,3,1.019
Richard Espinosa,20,7,1.019
Dagne Poveda,13,4,1.019
Leonardo José Hilario Cori,11,2,1.019
Jakob Fiechter,12,1,1.019
Arvid Sandström,14,3,1.019
Yannick Balsiger,15,1,1.019
Mohammad Ibnu Sabilillah,17,3,1.019
Andrea Lo Sardo,12,5,1.019
Vincent Colin,11,3,1.019
Felipe Cardim,12,2,1.019
Oliver Wheat,12,3,1.019
Michael Muething,15,2,1.019
Konstantin Jaehne,15,3,1.02
Adrián Martínez Macías,20,0,1.02
Haowei Fan (樊浩玮),16,6,1.02
Luboš Bartík,15,3,1.02
Carsten Matheus,18,4,1.02
Henry Helmuth,23,5,1.02
Dominik Vidaković,27,6,1.02
Damián Campos,26,4,1.02
Hubert Kwasigroch,14,2,1.02
Gerson Marcelo Nuñez Huanuiri,13,3,1.02
Chenghao Guo (国成浩),13,4,1.02
Yanfeng Zhu (朱艳枫),13,2,1.02
Stefan Pochmann,14,4,1.02
Francisco Thales Rocha Sousa,15,5,1.02
Dalton Padgett,17,1,1.02
David Woner,17,2,1.02
Michael (謝富亦),19,4,1.021
Stefania Petcu,20,4,1.021
Jonathan Charlesworth,31,9,1.021
Roan Paone,21,4,1.021
Melwin Andersson,13,1,1.021
Emric Månsson,15,4,1.021
Daniel Mullen,38,7,1.021
Jode Brewster,18,4,1.021
Celine Tran,15,3,1.021
Alex Walker,12,1,1.021
Georgy Vershinin,11,2,1.021
Marie Vincent,28,6,1.021
Szymon Malinowski,42,10,1.021
Velidi Venkata Jagan Mohana Murali Krishna,26,3,1.021
Alexandru Constantin Stoica,14,2,1.021
Vladislavs Baranovs,14,2,1.021
Asier González Santocildes,11,2,1.021
Wataru Hashimura (端村航),30,5,1.021
Cale Schoon,21,4,1.021
Victor Rafael Ortiz Villaseñor,22,4,1.021
Juan Pablo Silvera Prieto,11,2,1.021
Genaro Sahib Leguizamon,14,2,1.021
Roberts Dreijers,14,2,1.021
Simone Ohler,33,6,1.021
Mark Ostrom,17,3,1.021
Jonathan Tan Wei Xiat,25,3,1.021
James Gonsalves,22,3,1.021
Pingdong Liang (梁平东),14,2,1.021
Josué Esteban Bacilio Chicoma,22,2,1.021
Andres Flügel,11,2,1.021
Thomas Valles,15,3,1.021
Jack Manzo,19,4,1.021
Jacob Chambers,30,6,1.021
Joshua Santiago Monterrosa Herrera,15,1,1.021
Andreas Wagner,15,2,1.021
Augusto Rosa Esteves,16,2,1.021
Hua-Ting Lee (李華庭),32,5,1.021
Alexander Montoya,12,2,1.021
Andrey da Conceição Santos,15,2,1.022
Grégoire Gsell,15,4,1.022
Karen Tu,17,2,1.022
Thibaud Ou,12,5,1.022
William Jensen,24,5,1.022
Chun-Ting Liu (劉淳庭),12,1,1.022
Ronald Fernando Remuzgo Salazar,11,2,1.022
Kristiāns Pietkuns,15,3,1.022
Seyyed Mohammad Hossein Fatemi (سید محمد حسین فاطمی),11,3,1.022
Kuo-Hau Wu (吳國豪),15,3,1.022
Chetan Roger Dhanjal,31,6,1.022
Can Gücüyener,13,3,1.022
Dana Yi,57,10,1.022
Henrik Buus Aagaard,18,5,1.022
Karina Grandjean Beck,74,12,1.022
Darren Siew Ee Yaang (蕭奕暘),59,11,1.022
Dylan Raymond,11,1,1.022
Manuel Aleandro Chang Pérez,14,2,1.022
José David Castiblanco Marin,17,2,1.022
Leon Achata,20,3,1.022
David Ruscalleda Gómez,14,2,1.022
Alaik Bhatia,22,6,1.022
Daniel Grabski,37,8,1.022
Carlos Méndez García-Barroso,40,8,1.022
Lucas Ichiro Yunomae,28,5,1.022
Daniel Hayes,19,2,1.022
Ari Randers-Pehrson,11,3,1.022
Xinrui Li (李昕蕊),24,5,1.022
Bart Sekulski,21,6,1.022
Xiaobin Rui (芮晓彬),16,3,1.022
Firstian Fushada (符逢城),27,3,1.022
Yuxuan Chen (陈雨璇),24,5,1.022
Jose Antonio Campero Morales,13,1,1.022
Vishal Mohanraju,12,1,1.022
Dhruv Suresh,13,3,1.022
Steve Greer,13,2,1.022
Jorge Miguel Trigo,12,2,1.022
Leo Högh,14,4,1.022
Aolin Tang (唐奥林),15,4,1.023
Zhiyuan Liao (廖智远),17,5,1.023
Jernej Omulec,35,6,1.023
Lucas Wesche,31,6,1.023
Riley Woo,38,6,1.023
Egdar Castillo,17,5,1.023
Manuel Popayán,24,3,1.023
Mia Sponseller,28,2,1.023
Piero Gerardo Kaqui Aspajo,12,3,1.023
Simon Blanchard,27,5,1.023
Adrian Walkowiak,30,4,1.023
William Gan Wei Ren (颜伟仁),29,3,1.023
Leonard Wetzel,23,6,1.023
Ianis Costin Chele,14,2,1.023
Tomáš Szyszkowicz,18,1,1.023
Fubo Wang (王富博),12,2,1.023
Mitchell Lane,38,6,1.023
Lucas Déglise,44,6,1.023
Oleg Sechko,17,4,1.023
Ethan Davis,51,3,1.023
Jordi Sebastian Solar Chavez,15,5,1.023
Hari Anirudh,53,8,1.023
Teh Keng Foo (郑庆富),11,2,1.023
Angel Anampa,23,6,1.023
Don Angelo Joson,13,3,1.023
Daniel Sheppard,98,11,1.023
Laurids Abelsen Holm,11,3,1.023
Zhenyu Wang (王振宇),11,1,1.023
Frederico Canal Gomes,12,4,1.023
Sergey Chirin,15,1,1.023
Dylan Baumbach,12,4,1.023
Ramses Amaya,31,3,1.023
Yuuki Kobayashi (古林祐輝),26,5,1.023
Angel Ruano,12,3,1.023
Evan Liu,84,14,1.023
Oscar Watson,13,2,1.023
Walter Felix,19,3,1.023
Edson Bryan Béjar Román,15,3,1.023
Georgiy Titov (Георгій Тітов),37,8,1.023
David Stiven Benitez Guerra,19,3,1.023
Ilona Ansel,26,7,1.023
Dan Pastushkov,11,1,1.023
Chunhao Liu (柳春浩),21,5,1.023
Jorge Castillo Matas,21,5,1.023
Gonzalo Orellana Barrasa,12,1,1.023
Jan Erik Soosaar,12,2,1.023
Juliette Sébastien,91,17,1.024
Peder Steen Henriksen,11,3,1.024
Vladyslav Zhyhailo (Владислав Жигайло),13,2,1.024
Marcos Jacome,11,1,1.024
Robbie Villarica,14,3,1.024
Danny SungIn Park,27,5,1.024
Daniel Yang,14,2,1.024
Rey-Ann Constantino,21,4,1.024
Kevin Matthews,27,4,1.024
