name,avgs,bpas,ratio
Keita Nomura (野村啓太),118,20,1.029
Alfonso Esteban Cepeda Cádiz,96,17,1.03
Ryo Ito (伊藤崚),157,23,1.031
Edson Bryan Béjar Román,102,17,1.032
Lee Poon Kit (李本杰),93,18,1.034
Haixu Zhang (张海旭),92,13,1.034
Meng-Jia Li (李孟家),91,16,1.034
Ziheng Ma (马子恒),111,17,1.035
Frank Morris,98,13,1.035
Soichi Akamatsu (赤松聡一),150,19,1.036
Nevins Chan Pak Hoong (陈百鸿),333,51,1.036
Casey Tharpe,114,13,1.036
Sukesh Subaharan,116,22,1.036
Max Park,734,105,1.036
Xinrui Li (李昕蕊),91,19,1.036
Cristian Antoniu Leana,98,14,1.036
Dharmesh Shahu,266,39,1.037
Dawei Xu (徐大卫),121,12,1.037
Jialong Liu (刘嘉龙),95,19,1.037
Michael Wittwer,253,43,1.037
Tatsuya Ookubo (大久保達也),232,29,1.037
Aníbal Araya,131,19,1.037
Yohei Suzuki (鈴木洋平),160,19,1.037
Jing Chen (陈憬),98,13,1.037
Timur Frolov,170,24,1.037
Yu Da-Hyun (유다현),130,13,1.037
Beixian Guo (郭倍先),100,17,1.037
Chun-Ting Liu (劉淳庭),111,13,1.038
Ken Lin Pak Kin (練柏健),91,14,1.038
Miranda Manning,93,18,1.038
Vinny Vecchio,141,20,1.038
Tristan Yoo,98,13,1.038
Hua-Ting Lee (李華庭),348,49,1.038
Nanbin Zhang (张楠彬),138,16,1.038
Zhiyuan Liao (廖智远),112,23,1.039
Yuhao Sun (孙雨昊),140,25,1.039
Diego Alonso Tapia Mera,93,22,1.039
Shuang Chen (陈霜),118,16,1.039
Lee Hoween,111,19,1.039
Jingzheng Wang (王景正),227,32,1.039
Yu-Ying Li (李昱穎),167,33,1.039
Om Joshi,132,22,1.039
Steven Xu,166,36,1.039
Xiaojie Jiang (蒋孝杰),263,35,1.04
Marcin Kowalczyk,183,24,1.04
Mohammad Sadegh Majidi (محمد صادق مجیدی),110,12,1.04
Kalina Brzezińska,579,64,1.04
Yuji Suse (巣瀬雄史),211,23,1.04
Irene Pinto,96,17,1.04
Armin Soleimani (آرمین سلیمانی),169,24,1.04
Toshiya Hirohata (廣畑俊哉),91,15,1.04
Diego Garrido,95,22,1.04
Andy Tsao,232,36,1.04
Agustín Díaz Morón,138,20,1.04
Jibo Zhao (赵吉波),144,22,1.04
Ryouga Hayashi (林竜河),171,21,1.04
Igor Aipkin,126,24,1.04
Yongting You (尤永庭),317,47,1.04
Stefan Stoiber,143,27,1.04
Hui Hing Ho (許鑫豪),214,33,1.04
Sergey Shitov,177,25,1.04
Stanley Wang,95,19,1.041
Edoardo Disarò,253,35,1.041
Naoya Inahara (稲原直哉),127,17,1.041
Yu Sajima (佐島優),543,73,1.041
Daniel Tarifa,99,21,1.041
Breandan Vallance,832,103,1.041
Philipp Weyer,1094,143,1.041
Weisheng Chen (陈伟胜),223,29,1.041
Tiffany Chien,264,38,1.041
Marjorie Marbly Miranda Nunes,113,22,1.041
Márton Vancsa,178,26,1.041
Li Wang (王礼),94,18,1.041
Andrii Chernichko (Андрій Черничко),198,36,1.041
Julien Rochette,104,11,1.041
Xu Wang (王旭),105,19,1.041
Stefan Pochmann,226,45,1.041
