name,avgs,bpas,ratio
Erik Silingi,12,6,1.019
Kailong Li (李开隆),11,5,1.024
Sujai Shakthivel,12,5,1.025
Baden Forster,12,3,1.027
Alina Palinchuk (Аліна Палінчук),14,5,1.028
Simon Kelly,12,4,1.031
Esra Mehmedova,11,0,1.031
Oleksandr Savchenko (Олександр Савченко),13,5,1.032
Ville Seppänen,11,4,1.033
Vividh Sriram,11,5,1.033
Qingze Li (李庆泽),19,5,1.033
Ilie Nagrineac,13,6,1.033
Aaron Lester,13,3,1.034
Juan Andres Ruiz Polo,12,3,1.035
Ming Jin Low,13,5,1.035
Yupeng Weng (翁玉鹏),12,3,1.036
Matei Mălin Niţă,11,3,1.036
Loic Chiang,12,6,1.036
Diogo Ribeiro de Almeida,13,2,1.036
Ignat Voroshchuk,11,3,1.036
Clancy Caster,16,6,1.037
Alexander Kupfer,13,4,1.037
Semen Artyukhov,14,5,1.038
Robin Geiser,15,4,1.038
Maksym B. Tsymbaliuk (Максим Б. Цимбалюк),14,2,1.038
Lei He (贺雷),13,3,1.038
Jack Gerring,13,2,1.039
Raíssa Mendes de Arruda Rodrigues,11,2,1.039
Tae-Oh Kim (김태오),12,2,1.04
Andrea Marconato,16,3,1.04
Oliver Feuer,13,3,1.04
Bojia Zhao (赵舶伽),11,3,1.04
Simon Page,11,3,1.041
Yerkin Assylbek,14,1,1.041
Christoph Jadan,12,3,1.041
Eli Disbrow,14,2,1.041
Ilia Tretiakov,11,3,1.042
Paolo Jose Panganiban,13,5,1.043
Miranda Manning,12,3,1.043
Koen Arens,12,2,1.043
Andrii Doroshenko (Андрій Дорошенко),18,5,1.043
Saman Parvizi (سامان پرویزی),13,2,1.043
Sergey Shitov,12,4,1.043
Gaël Dusser,11,4,1.043
Gaojian Pan (潘高健),11,3,1.043
Kenneth Gustavsson,11,3,1.044
Adrian Stromski,13,2,1.044
Dale Stephen M. Palmares,12,2,1.044
Tair Zhansultanov,12,4,1.044
Shanglin Ye,14,5,1.044
Zhi Geng (耿智),12,4,1.044
Deepshika Narasimhan,11,2,1.044
Florian Harrer,12,2,1.045
Zihan Mu (穆子晗),18,4,1.045
Victhor Bellido Camacho,15,7,1.045
Andrew Fitzgerald,12,5,1.046
Wiktor Kowalski,11,3,1.046
Angel Omar Montiel Clavel,13,2,1.046
Siddhartha Modi,13,2,1.046
Kevin Wilson,17,6,1.046
Sergey Churilov,12,4,1.046
Claudio Andre Gomez Villca,23,3,1.046
Hao Xu (徐豪),19,6,1.046
Noé Apffel,13,1,1.046
Victor Tilgner,11,2,1.046
Yuxuan Chen (陈雨璇),36,11,1.046
Anthony Rochester,12,4,1.046
Janko Gašić,17,4,1.046
Cody Miller,12,4,1.046
Marcel Grüner,11,2,1.047
Zerong Zheng (郑泽荣),13,3,1.047
Chris Krueger,13,5,1.047
Lianghai Sui (眭亮海),13,5,1.047
Omkar Kibe,24,5,1.047
Krizia Mile Joy Yu,11,2,1.047
Dorian Péglion,11,0,1.047
Richmond Mico Rigor,18,3,1.047
Andreas Gröbmayr,34,6,1.047
Jingqi Zhang,12,5,1.048
Creston Brooks,18,6,1.048
Bryan Melao,13,3,1.048
Anish Sanjay Badithe,11,3,1.048
Shreevatsh Rajkumar,12,4,1.048
Eliott Crancée,11,3,1.048
Bimo Aryo Tyasono,14,4,1.048
Huérllen Vicente Lemos e Silva,14,1,1.048
Alan Natanael Orozco Hernandez,11,3,1.049
Adam Polkowski,19,3,1.049
Yu Gu (谷雨),27,4,1.049
Christian de Sena Fortunato,15,4,1.049
Cole Breuer,15,3,1.049
Piero Stefano Menéndez Jaramillo,11,1,1.049
Borna Sudar,13,1,1.049
Ostap Skakun (Остап Скакун),12,4,1.049
Yaroslav Mikhaylov,15,4,1.049
Jerlyn Alvar Manginlaud,13,4,1.049
Hugo Adams,23,6,1.049
Eduardo Costa de Carvalho,15,2,1.05
Emil Schwarz,18,3,1.05
Beatriz de Araujo Mourão,12,2,1.05
Shuailong Chen (陈帅龙),11,3,1.05
Oleg Eminov,11,1,1.05
Yuxuan Song (宋宇轩),12,2,1.05
Mutlu Özçelebi,11,3,1.05
Didier Batista Ferreira,13,3,1.05
Spencer Andersen,19,4,1.05
Guangda Liu (刘广达),15,2,1.05
Anton Savushkin,19,3,1.051
Bianca-Maria Morgociu,15,5,1.051
Jesús Julián De Niz Hernandez,12,3,1.051
Elizaveta Ermolkina,21,4,1.051
Boris Monakhov,15,3,1.051
Agustín Diano,14,5,1.051
Shikai Jiang (江侍锴),21,4,1.051
Mikhail Glazov (Михаил Глазов),14,1,1.051
Jannis Grob,21,5,1.051
Yulin Sun (孙玉麟),15,4,1.051
Jiming Ran (冉济铭),20,5,1.051
Marques de Campos Sperb,12,3,1.051
Mathieu Preston,21,6,1.051
Martin Bláha,12,2,1.051
Manuel Malvárez,12,4,1.051
Adam Tedesco,11,3,1.052
Bence János Csuti,27,5,1.052
Titas Karvelis,15,3,1.052
Joe Labas,16,3,1.052
Felipe Mapelli,12,2,1.052
Rafael Torres,11,0,1.052
Xiaoyang Lu (陆潇扬),14,2,1.052
Zachary Friedman,17,3,1.052
Maksymilian Piskorowski,12,3,1.052
Mohammad Almoumen,14,4,1.052
Dmitriy Martyshev (Дмитрий Ма́ртышев),17,4,1.052
Weibin Liu (刘伟斌),16,1,1.052
Axel Hernández Flores,16,3,1.052
David Schult,12,1,1.052
Andrey Che,46,8,1.053
Julian Galliano,16,5,1.053
Jay Blechman,12,4,1.053
Rostislav Votinsev,21,3,1.053
Sucheth Seethalla,12,2,1.053
Ben Madison,11,1,1.053
Ishmam Mirza,13,3,1.053
Tim Xie,36,9,1.053
Moreno van Rooijen,17,2,1.053
Cyrez Ronquillo,20,4,1.053
Laura Freitas Martín,31,8,1.053
Pranaov Srikanth,11,2,1.053
Xingyan Ding (丁醒炎),12,3,1.053
Emil Jung,11,4,1.053
Anatole Volongo,20,5,1.053
Rory Dasher,14,3,1.053
Kai-Wen Wang (王楷文),31,6,1.053
Hannah Collins,12,2,1.053
Subhankar Panda,35,5,1.053
Ang Chin Zhen (洪靖程),15,3,1.053
Paul N. van de Geest,15,5,1.054
Kai Ma (马开),18,3,1.054
Kenneth Svendson,20,2,1.054
Yuhao Sun (孙雨昊),14,3,1.054
Albert Böhm,13,2,1.054
Naufal Shidqi,32,9,1.054
Mario Rodríguez Fernández,11,2,1.054
Lauren Klemz,59,4,1.054
Gautam Korigeri,18,4,1.054
Lalith Sashank,15,2,1.054
Pavel Černý,11,4,1.054
Jose Daniel Solano Rodríguez,18,6,1.055
Lee Stanton-Barnett,31,7,1.055
James Donahue,17,5,1.055
Jon Ander Iturburu,14,3,1.055
Marie Hughey,16,3,1.055
Joseph Tristan Subong,15,1,1.055
Gabriel,20,6,1.055
David Vujasić,49,8,1.055
Cristian Huamaní,18,4,1.055
Jakub Zarębski,17,3,1.055
Zach Amiridis,18,1,1.055
Muhammad Faeyza Koda,15,3,1.055
Nikola Dimitrovski,12,2,1.055
Lakshimi Rajaram,11,0,1.055
Kayshav Sharma,12,1,1.055
Ansh Arora,16,4,1.055
Ryan McIlhenny,26,5,1.055
Roman Strakhov,12,5,1.055
Dmitry Patrikeev,20,2,1.055
Niklas Aasen Eliasson,18,3,1.055
Dalton Padgett,11,2,1.055
Szymon Kowalski,24,6,1.055
Manuel Arjona Crespo,29,3,1.056
Volodymyr Hnidko (Володимир Гнідко),12,4,1.056
Kunchakuri Sahasra,13,3,1.056
Verena Hüttig,11,3,1.056
Diego Moraes,15,2,1.056
Daoming Ye (叶道明),16,7,1.056
Fengkai Zhang (张丰凯),11,3,1.056
Dilan Lautaro Almora Berlanga,27,5,1.056
Jefferson Fallas Rojas,15,3,1.056
Tyler Bitz,11,5,1.056
Roland Frisch,18,3,1.056
Irina Yarygina,22,5,1.056
Luis Alonso Inestroza Henriquez,18,4,1.056
Kit Bailey,11,3,1.056
