name,avgs,bpas,ratio
Roy Yue,11,3,1.028
Andre Febriato Jonathan,13,2,1.031
Tam Quan,19,5,1.032
Sheng Cao (曹晟),27,7,1.032
Christian Meyer,14,4,1.033
Aleksa Radovanović,12,2,1.034
Vladimir Tikhonenko (Владимир Тихоненко),11,4,1.034
Kristiāns Pietkuns,13,2,1.035
Volodymyr Petryk (Володимир Петрик),11,2,1.035
Canyon Pettitt,12,2,1.035
Natsuki Ishizawa (石澤夏希),11,4,1.036
Roberts Dreijers,15,3,1.036
Péter Trombitás,13,2,1.036
Cole Breuer,15,2,1.036
Fredrik Sollenberg,14,5,1.037
Daniel Tabares Pavas,11,2,1.037
Birk Bredland,12,3,1.038
Rok Glinšek,19,4,1.038
Maxim Brednev (Максим Бреднев),12,3,1.038
Parker Trager,19,3,1.038
Andrey Che,27,8,1.038
Jerry Yao,12,4,1.039
Alban Reynaud,11,2,1.039
Leonard Wetzel,12,3,1.04
Isaac Rajagopal,11,1,1.04
Noah Swor,15,2,1.04
Frank Dumont,17,4,1.04
Chan Hui Tung (陳許瞳),13,3,1.04
Josue Leiva,11,5,1.041
Luqman Hakim Bin Hairil Azli,11,4,1.041
Wouter Komduur,11,1,1.041
Deyang Wang (王德阳),18,3,1.041
Étienne Aubry,11,3,1.041
James Macdiarmid,18,5,1.042
Taku Yanai (矢内拓),12,4,1.042
Seth Talbot,26,5,1.042
David Epstein,41,10,1.042
Brennen Lin,17,6,1.043
Marie Vincent,24,4,1.043
Fryderyk Janiak,12,3,1.043
Machiel van Loon,11,2,1.043
Derek White,22,9,1.044
Eva Kato,62,14,1.044
Andrii Vasyliev (Андрій Васильєв),12,3,1.044
Jingbin Li (李晶斌),17,3,1.045
Lee Jia Yong (李伽榮),16,0,1.045
Ryota Aoki (青木涼太),24,3,1.045
Abhay Gupta,15,4,1.045
Vicenzo Guerino Cecchini,62,11,1.045
Chingizkhan Mukhametdinov,12,5,1.045
Ethan Rusnak,24,6,1.045
Adam Golus,12,2,1.045
Abraham Torres Ortíz Aguirre,12,0,1.046
Lakshay Modi,30,3,1.046
Jose Carlos García Vélez,13,4,1.046
Alexis Rodrigo Cazu Mendoza,42,7,1.046
Ustsin Vashchanka,17,3,1.047
Daniel Méndez,13,2,1.047
Luka Jankovic,16,3,1.047
Artem Yashkov,17,3,1.047
Myles Jarman,27,6,1.047
Aedan Bryant,33,9,1.047
Eli Parker,22,6,1.047
Thomas Valles,30,6,1.047
Andrea Moscatello,11,3,1.047
Berkay Yilmaz,17,4,1.047
Sam Nave,15,1,1.048
Fernando Lomazzi,21,6,1.048
Boxuan Huang (黄博暄),11,5,1.048
Marcos Ferreira Semolini,16,3,1.048
Luis J. Iáñez,28,6,1.048
William Klauer,18,3,1.048
Luke Van Laningham,11,2,1.048
Flavio Rimi,11,1,1.049
Giuliano Tumini,17,4,1.049
