name,country,comp,bpa,average
Max Park,USA,BayAreaSpeedcubin212019,20.2,21.11
Max Park,USA,Missoula2021,20.24,20.94
Max Park,USA,AnaheimA2022,20.29,21.19
Max Park,USA,FloridaSpringB2022,20.41,20.51
Feliks Zemdegs,Australia,AltonaAlgorithmsAttempt22021,20.55,21.57
Max Park,USA,Missoula2021,20.6,22.08
Sebastian Weyer,Germany,LondonOpen2019,20.63,23.3
Max Park,USA,BatonRougeWinter2022,20.68,20.68
Max Park,USA,WC2019,20.7,21.58
Max Park,USA,GrossmontFall2019,20.7,21.59
Max Park,USA,AsianChampionship2018,20.72,21.84
Sebastian Weyer,Germany,GermanOpen2018,20.85,22.27
Sebastian Weyer,Germany,ABHC2019,20.96,22.74
Sebastian Weyer,Germany,DanishOpen2019,20.99,23.59
Max Park,USA,CubingUSAWesternChampionship2021,21.02,21.02
Max Park,USA,SantaBarbaraFall2019,21.02,21.78
Sebastian Weyer,Germany,AthensSNFestivalCubing2019,21.03,21.46
Max Park,USA,UtahFall2021,21.06,21.5
Max Park,USA,WesternChampionship2019,21.1,22.42
Max Park,USA,BUWinter2019,21.11,22.65
