name,country,comp,bpa,average
Dmitry Gundin,Russia,UralWinter2022,3.5,3.95
Yunhao Lou (娄云皓),China,GuangzhouGoodAfternoon2020,3.78,3.86
Yunhao Lou (娄云皓),China,GuangdongOpen2021,3.79,5.0
Yunhao Lou (娄云皓),China,GuangdongOpen2021,3.86,4.39
Yunhao Lou (娄云皓),China,KunshanSideEvents2021,4.11,4.39
Dmitry Gundin,Russia,TyumenHappySaturday2021,4.24,4.66
Yunhao Lou (娄云皓),China,HangzhouAutumn2019,4.27,4.38
Tairan Zhong (钟泰然),China,ChinaChampionship2019,4.3,4.53
Yunhao Lou (娄云皓),China,WuhanOpen2019,4.31,4.43
Kerry Creech,USA,GACubersReturnB2021,4.32,4.62
Ryan Michael Breen,USA,PittsburghFall2021,4.32,4.87
Dmitry Gundin,Russia,CubingEkatOpen2021,4.34,4.78
Yunhao Lou (娄云皓),China,Shenzhen10thAnniversary2019,4.34,4.78
Jacob Chambers,United Kingdom,TuamSunday2021,4.39,4.41
Jacob Evarts,USA,GACubersCelebration2022,4.41,4.79
Suen Ming Chi (孫銘志),Hong Kong,GDSYOpen2019,4.41,5.04
Yunhao Lou (娄云皓),China,SpecialPuzzlesinGuangzhou2019,4.43,4.97
Kerry Creech,USA,GACubersCelebration2022,4.45,4.71
Jacob Chambers,United Kingdom,WakefieldOpen2022,4.45,4.95
Vishwa Sankar,USA,GACubersFebruaryB2022,4.46,5.4
