name,country,comp,bpa,average
Juan Pablo Huanqui,Peru,WuxiOpen2019,29.53,30.39
Yu Da-Hyun (유다현),Korea,CWRWinter2018,30.77,32.03
Juan Pablo Huanqui,Peru,AventuraCubicaVI2018,30.79,32.92
Juan Pablo Huanqui,Peru,ComasSpeedsolving2019,30.87,31.38
Leandro Martín López,Argentina,ArgentinaReOpen2021,30.94,31.99
Juan Pablo Huanqui,Peru,TCGSpring2019,31.17,32.47
Juan Pablo Huanqui,Peru,SpeedcuberPeruOtono2019,31.32,33.1
Amos Nordman,Finland,HelsinkiOpen2020,31.36,33.68
Amos Nordman,Finland,FinnishChampionship2021,31.54,33.0
Juan Pablo Huanqui,Peru,SpeedcubingAcademyXelaju2019,31.55,32.4
Juan Pablo Huanqui,Peru,CubingUSANationals2019,31.7,31.7
Amos Nordman,Finland,MinxCOpenhagen2020,31.74,32.48
Yu Da-Hyun (유다현),Korea,KoreanChampionship2019,31.75,32.24
Nicolas Naing,USA,MassachusettsChampionship2019,31.9,33.71
Yu Da-Hyun (유다현),Korea,KoreanChampionship2018,31.91,33.23
Juan Pablo Huanqui,Peru,WuxiOpen2019,32.13,33.05
Juan Pablo Huanqui,Peru,CubingUSANationals2018,32.19,32.84
Nicolas Naing,USA,CubingUSANationals2019,32.23,32.47
Juan Pablo Huanqui,Peru,SouthAmericanChampionship2018,32.28,33.76
Juan Pablo Huanqui,Peru,CubingUSANationals2019,32.28,33.77
