name,country,comp,bpa,average
Simon Kellum,USA,GemCity2022,1.5,1.79
Tymon Kolasiński,Poland,CubeFactoryCzestochowa2018,1.62,1.87
John Gaynor,USA,MichiganCubingClubDelta2019,1.64,2.18
Pavel Mesyatsev,Russia,UralAutumn2021,1.64,2.44
Dominik Górny,Poland,LLSIBelzyce2021,1.65,1.93
Diego Alfonso,France,RheinNeckarOpenA2021,1.68,1.97
Dominik Górny,Poland,SSTKielce2021,1.69,1.9
Tymon Kolasiński,Poland,GrudziadzOpen2019,1.71,1.86
Tymon Kolasiński,Poland,CubersEve2019,1.73,2.58
Tymon Kolasiński,Poland,LLSIBelzyce2021,1.73,2.12
Tymon Kolasiński,Poland,LLSIIBialaPodlaska2021,1.73,1.83
Tymon Kolasiński,Poland,LLSIBelzyce2021,1.75,2.54
Junqi Feng (冯骏骐),China,SJTUWinterOpen2018,1.76,2.12
Kerry Creech,USA,GACubersReturnB2021,1.77,2.15
Luke Van Laningham,USA,GarrettsvilleGMenClassic2020,1.77,1.88
Drew Brads,USA,CubingUSANationals2017,1.78,2.16
Mateusz Szwugier,Poland,SSTKielce2021,1.8,2.3
Luke Van Laningham,USA,GemCity2022,1.8,2.04
Marcus Kamen,USA,SiouxFallsWinter2021,1.81,1.98
Tymon Kolasiński,Poland,PolishChampionship2021,1.82,2.01
