name,country,comp,bpa,average
Łukasz Burliga,Poland,CFLSantaClausCubeRace2017,1.67,2.03
Carter Kucala,USA,CubetchaA2021,1.72,1.86
Zayn Khanani,USA,NorthStarCubingChallenge2022,1.76,2.01
Christopher Chi,USA,ConstitutionStateWinter2020,1.83,2.44
Carter Kucala,USA,SiouxFallsWinter2021,1.87,2.17
Zeyu Hu (胡泽宇),China,AsianChampionship2018,1.94,2.53
Carter Kucala,USA,CubingUSAWesternChampionship2021,1.98,2.06
Carter Kucala,USA,NorthStarCubingChallenge2022,1.99,1.99
Simon Kellum,USA,GemCity2022,2.0,2.53
Cian-Jyun Yang (楊謙君),Taiwan,TaiwanOpen2022,2.0,2.81
Zayn Khanani,USA,PittsburghFall2021,2.01,2.26
Jonatan Kłosko,Poland,KaliskaOpen2016,2.01,3.26
Michał Rzewuski,Poland,IIIMasovianOpen2019,2.01,2.13
Zayn Khanani,USA,NorthStarCubingChallenge2022,2.02,2.02
Daniel Vædele Egdal,Denmark,TarnbyCubeTraef2019,2.02,2.67
Jonatan Kłosko,Poland,CFLSantaClausCubeRace2017,2.02,2.62
Zayn Khanani,USA,RockyTop2021,2.03,2.34
Zayn Khanani,USA,FinnishChampionship2021,2.04,2.19
Michał Krasowski,Poland,LLSVI2018,2.05,2.23
Zayn Khanani,USA,GACubersGreetings2022,2.05,2.05
