name,country,comp,bpa,average
Sameer Aggarwal,USA,RichmondOpenB2021,5.48,6.06
Michał Krasowski,Poland,SSTWarszawa2021,5.75,6.77
David Epstein,Australia,MelbourneSummer2022,5.89,6.19
David Epstein,Australia,BrilliantBallarat2022,5.91,6.31
Max Siauw,USA,WelcomeBackTexas2021,5.92,6.43
Vicenzo Guerino Cecchini,Brazil,BernoFeetFriendship2019,6.1,6.54
Dylan Baumbach,USA,WelcomeBackTexas2021,6.11,6.67
Vicenzo Guerino Cecchini,Brazil,SchoolmarkOpen2018,6.11,6.73
Max Siauw,USA,WelcomeBackTexas2021,6.12,6.67
Max Siauw,USA,GoingFastinIdaho2022,6.14,6.14
Alessandro Ricci,Italy,PesaroOpen2022,6.18,7.01
Max Siauw,USA,IdahoSummerB2021,6.19,6.37
Rasmus Stub Detlefsen,Denmark,GreveGymnasium2020,6.19,6.67
Alessandro Ricci,Italy,ItalianChampionship2021,6.2,6.63
Sameer Aggarwal,USA,WelcomeBackTexas2021,6.21,6.21
David Epstein,Australia,SolvinginSale2021,6.22,6.34
Michał Krasowski,Poland,DragonCubing2020,6.24,6.74
Sameer Aggarwal,USA,CubingUSAWesternChampionship2021,6.24,6.53
Max Siauw,USA,BCCubingComebackA2021,6.29,6.74
Michał Krasowski,Poland,CubersEveLubartow2021,6.32,6.83
