country,continent,8/2003,10/2003,1/2004,4/2004,7/2004,8/2004,10/2004,11/2004,1/2005,3/2005,4/2005,5/2005,7/2005,8/2005,9/2005,10/2005,11/2005,12/2005,1/2006,3/2006,4/2006,5/2006,6/2006,7/2006,8/2006,9/2006,10/2006,11/2006,12/2006,1/2007,2/2007,3/2007,4/2007,5/2007,6/2007,7/2007,8/2007,9/2007,10/2007,11/2007,12/2007,1/2008,2/2008,3/2008,4/2008,5/2008,6/2008,7/2008,8/2008,9/2008,10/2008,11/2008,12/2008,1/2009,2/2009,3/2009,4/2009,5/2009,6/2009,7/2009,8/2009,9/2009,10/2009,11/2009,12/2009,1/2010,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022
USA,_North America,77.67,77.67,76.77,69.15,76.99,71.54,71.43,66.99,68.81,68.7,80.37,84.32,83.66,86.08,82.79,84.54,85.81,85.63,86.05,83.46,82.8,82.97,82.97,82.97,87.6,81.16,80.86,80.45,80.45,79.26,72.07,72.29,72.11,72.06,76.63,74.36,74.66,74.04,72.83,73.1,72.7,72.7,79.17,79.32,82.42,82.6,84.57,85.84,84.18,83.7,82.96,84.76,84.53,83.62,85.41,89.32,89.09,89.08,89.64,89.75,90.26,89.88,88.52,89.16,88.18,88.03,88.03,88.0,86.75,87.02,87.27,87.34,87.6,87.43,85.85,86.16,86.18,84.22,84.39,85.94,85.03,84.78,84.34,83.51,84.27,84.72,84.4,83.63,83.52,83.52,83.04,82.19,80.92,80.6,80.9,80.21,81.11,80.43,80.27,81.04,81.19,81.34,81.64,80.81,80.89,80.82,81.97,85.19,86.01,85.67,86.42,86.21,86.53,86.2,87.06,87.06,86.99,86.52,86.72,86.85,87.48,87.48,87.17,86.65,85.85,86.62,86.6,86.03,90.21,89.86,89.69,88.95,89.01,89.03,89.57,89.74,89.68,91.77,91.91,92.67,92.76,92.99,92.74,92.82,92.46,92.46,92.15,92.08,91.86,91.57,92.08,91.66,92.47,92.28,91.28,91.15,92.14,92.42,92.42,92.0,91.04,92.12,92.1,94.11,94.01,95.17,95.44,96.2,96.2,95.82,94.68,94.86,94.97,95.26,95.31,95.46,96.25,98.04,98.28,97.55,97.69,97.69,97.69,97.53,97.26,97.62,98.08,98.51,98.51,98.51,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,97.38,97.33,97.74,97.84,97.84,97.98,98.39,98.24,98.58
Netherlands,_Europe,66.2,66.2,65.41,60.71,58.8,59.82,62.36,58.48,58.29,58.22,60.6,60.28,60.18,57.59,57.63,61.12,65.37,65.37,65.37,63.75,71.33,75.33,74.52,74.52,70.71,72.05,73.63,72.74,72.74,71.0,65.7,65.1,72.04,72.05,71.81,71.22,70.51,70.14,73.26,74.13,75.07,75.01,74.12,75.71,76.47,75.64,75.2,75.61,75.09,75.78,76.33,77.09,76.7,76.17,77.31,76.9,77.22,77.03,77.03,76.78,75.5,75.71,75.88,76.24,75.5,75.34,75.21,74.85,76.59,76.99,76.71,76.55,75.66,75.11,74.9,74.0,73.99,73.27,73.27,73.22,73.84,73.42,73.3,72.09,71.41,71.38,72.08,71.41,71.17,71.17,71.56,71.75,71.41,71.09,71.09,70.84,70.91,70.65,70.82,70.9,70.84,70.75,70.99,70.57,70.38,70.38,69.82,70.05,69.28,69.0,69.27,68.87,68.87,65.82,67.27,67.19,66.55,66.2,65.92,65.88,65.08,65.35,64.89,64.8,64.64,64.64,64.62,64.9,63.79,63.69,63.47,62.62,62.57,62.46,63.01,62.56,62.53,62.53,62.53,64.7,64.74,64.61,64.35,65.6,65.25,66.53,66.76,66.41,65.9,66.94,69.37,69.28,69.11,68.78,67.88,67.61,67.67,68.46,68.16,68.11,67.28,67.3,67.36,67.81,67.57,66.79,66.62,66.0,66.29,66.11,65.78,65.85,65.43,65.58,65.77,66.15,65.52,67.76,68.66,68.31,67.88,67.93,67.77,67.27,66.9,67.86,68.05,68.05,68.05,68.05,67.62,67.62,67.62,67.36,67.36,67.36,67.36,67.36,67.2,67.15,67.03,67.03,67.03,67.03,66.69,65.97,65.81
Austria,_Europe,14.79,14.79,14.52,14.06,13.99,19.01,18.92,17.75,17.73,17.68,17.55,17.54,17.52,17.51,17.44,17.37,17.34,17.34,17.26,16.42,16.4,16.39,16.39,16.39,12.76,12.0,11.36,11.36,11.36,11.3,10.65,10.05,10.05,10.0,9.98,9.97,9.97,16.14,16.12,15.87,15.86,15.84,15.57,15.24,15.24,14.9,31.73,31.61,31.4,30.88,30.63,30.36,30.34,41.37,37.52,37.1,37.01,36.75,36.73,36.64,35.96,35.73,39.43,39.56,36.58,36.22,35.97,36.38,42.52,42.14,43.66,48.71,48.24,47.86,51.3,50.46,50.45,50.16,50.16,50.56,50.78,50.65,50.51,54.78,54.37,59.02,58.51,58.26,59.17,59.17,60.29,62.95,63.22,62.95,62.8,62.22,61.77,62.61,64.3,64.59,64.79,64.73,64.81,63.86,63.45,64.38,63.84,64.95,65.12,64.55,64.18,63.11,63.11,58.46,58.45,59.46,59.2,58.87,60.05,60.6,60.01,59.86,59.39,58.83,58.69,59.61,60.4,60.51,60.33,60.03,59.66,58.98,58.85,58.78,58.79,58.58,58.52,58.43,58.43,58.4,58.14,58.17,58.33,57.56,57.31,57.1,56.9,56.9,56.21,56.01,56.01,55.92,55.57,55.37,54.21,53.21,53.12,53.1,53.64,53.36,52.59,52.27,52.35,52.6,52.49,52.05,51.91,50.71,50.65,50.37,50.1,50.13,49.7,49.7,50.09,50.05,49.58,49.49,49.59,49.39,49.16,49.23,49.13,49.15,48.88,49.95,50.65,50.65,50.65,50.65,50.65,50.65,50.65,50.3,50.3,50.3,50.3,50.22,50.22,50.18,50.1,50.18,50.18,50.18,49.87,49.26,49.18
Poland,_Europe,18.98,18.98,18.26,17.13,17.05,33.23,33.16,31.11,31.04,30.99,30.55,30.24,30.19,29.53,54.91,53.96,53.42,53.32,53.1,52.21,52.16,52.13,51.42,51.42,46.77,52.64,51.32,51.16,51.16,50.28,46.65,46.02,45.95,45.56,45.46,52.23,52.23,64.89,77.2,76.08,75.47,75.42,76.73,75.77,75.79,77.89,79.01,82.1,82.31,86.48,85.49,85.06,84.26,84.36,87.29,86.02,86.16,86.53,86.57,86.27,85.23,86.46,85.57,85.58,83.38,82.43,82.58,82.42,81.63,81.84,81.52,81.21,81.9,83.47,85.5,84.76,84.75,82.07,82.81,83.12,83.31,82.84,82.49,81.85,81.89,82.27,81.74,80.66,80.6,80.6,80.11,79.41,80.65,82.48,83.32,81.91,82.22,81.94,83.48,83.59,84.43,84.34,84.29,83.69,83.54,83.83,85.1,86.36,85.91,86.85,86.23,87.29,87.76,87.42,88.28,88.59,88.39,89.71,90.53,90.48,90.27,90.42,90.28,89.89,89.95,90.03,90.27,91.05,90.15,90.63,90.51,90.12,90.0,90.28,91.12,90.75,90.75,90.62,90.77,91.59,91.59,91.22,91.54,91.12,91.07,90.74,90.6,89.67,89.89,89.62,89.56,88.85,87.9,87.05,85.7,84.31,84.36,84.67,85.39,84.57,85.45,85.38,85.36,85.24,84.55,83.85,83.87,82.86,83.7,84.65,85.37,84.51,84.58,85.0,85.5,85.24,85.03,84.84,84.6,83.68,83.87,84.04,84.41,84.38,83.28,83.18,83.18,83.18,83.18,83.95,84.14,84.14,84.14,84.05,84.05,84.05,84.05,83.88,83.37,83.32,86.26,86.64,86.86,87.08,87.52,86.81,87.18
Portugal,_Europe,15.68,15.68,15.32,14.71,14.64,19.58,19.48,18.28,18.26,18.21,18.08,18.07,18.05,18.04,17.97,17.88,17.86,17.86,17.75,16.91,16.89,16.88,16.88,16.88,13.22,12.43,11.79,22.06,22.06,24.94,23.5,22.79,25.71,25.29,25.28,25.05,25.16,25.16,25.14,24.64,24.5,24.93,24.5,23.96,23.76,23.45,23.32,23.25,23.12,22.78,22.56,25.07,24.92,26.3,23.95,23.74,23.66,23.39,23.39,23.13,22.81,22.61,26.99,32.46,29.27,28.86,28.7,28.63,31.51,31.14,31.14,30.8,30.19,29.81,34.25,33.43,33.43,33.3,33.3,33.23,33.96,33.89,34.98,34.7,34.25,34.23,34.03,35.81,35.52,35.52,36.69,36.53,36.49,37.1,37.08,36.28,36.18,35.82,35.78,35.78,35.87,35.82,36.72,36.41,37.1,37.1,36.86,35.97,35.66,36.26,35.9,36.11,36.11,30.08,32.28,32.23,32.23,32.05,33.78,33.78,33.26,33.24,32.77,33.51,33.05,33.05,33.04,33.28,32.83,32.81,32.58,37.97,37.97,38.3,38.19,38.07,38.04,38.04,38.04,38.6,38.44,38.33,38.14,43.63,43.42,43.61,43.43,42.99,42.62,42.5,42.5,42.42,42.27,41.97,41.06,40.34,40.2,40.09,39.89,39.68,39.25,38.95,38.68,39.63,41.28,41.03,40.97,40.52,40.46,40.28,39.65,39.65,39.51,39.51,39.51,40.43,40.03,39.96,40.11,40.0,41.03,41.02,40.93,40.56,40.39,41.44,41.44,41.44,41.44,41.44,41.36,41.36,41.36,41.14,41.14,41.14,41.14,41.09,41.09,41.06,41.0,40.85,40.85,40.7,40.5,40.83,40.73
Finland,_Europe,16.34,16.34,15.9,15.19,15.12,19.99,19.9,18.67,18.65,18.6,23.79,23.78,23.73,23.49,27.87,27.64,27.6,27.6,27.6,47.67,47.53,47.53,46.96,46.96,43.06,44.08,43.21,43.21,43.21,50.89,46.7,46.1,46.0,45.79,45.61,43.85,46.92,46.48,48.58,48.18,47.94,47.88,47.71,46.92,46.79,45.89,45.48,49.83,49.22,48.7,50.04,49.7,61.52,60.14,54.2,52.9,52.82,52.41,52.41,51.94,58.87,58.65,58.16,58.16,56.44,58.52,61.54,61.32,60.5,60.31,60.16,59.6,64.86,64.52,66.24,65.26,65.25,67.18,67.18,67.13,66.88,67.41,67.54,66.77,66.31,66.31,65.93,66.19,66.57,66.57,66.11,65.13,63.72,63.19,64.29,62.77,62.7,62.25,64.22,64.22,65.17,65.11,65.78,65.25,64.87,64.81,64.45,64.1,63.66,65.22,66.57,66.97,66.97,63.33,66.95,66.87,66.05,66.36,66.27,66.18,64.98,64.88,67.04,66.6,66.35,66.35,66.33,66.02,65.29,64.81,66.04,64.67,65.66,65.97,66.42,66.3,66.26,67.08,67.08,68.65,68.64,68.51,68.69,68.34,67.94,68.38,68.11,69.85,69.06,68.61,68.58,68.48,68.48,68.11,66.69,65.98,65.82,66.06,65.78,66.91,66.12,65.33,64.97,65.4,64.73,66.19,66.5,65.61,66.52,66.65,65.53,67.21,66.64,67.03,67.57,68.21,67.83,68.07,67.56,67.91,67.76,67.76,68.32,67.79,67.33,67.9,68.29,68.29,68.29,68.29,68.29,68.29,68.29,68.26,68.26,68.26,68.26,68.13,67.68,67.64,67.57,67.28,67.28,68.59,68.15,67.47,67.32
Germany,_Europe,16.41,16.41,15.97,45.51,44.67,50.39,57.59,54.01,53.79,53.75,56.29,55.99,55.28,54.66,54.27,60.89,69.07,69.0,69.0,66.8,68.27,68.03,68.03,68.03,64.16,67.05,66.0,65.89,65.89,63.81,57.7,56.98,61.73,61.15,62.45,59.94,61.16,61.04,62.57,62.23,61.58,61.58,67.67,67.68,69.28,68.56,68.02,70.12,70.56,69.96,70.3,72.51,71.92,70.27,69.12,68.3,69.35,68.72,69.97,69.18,65.96,66.68,67.63,69.42,67.78,68.78,69.15,70.19,69.65,69.3,70.6,71.52,71.28,72.59,73.13,72.96,72.96,74.83,74.83,76.24,77.72,77.42,77.56,78.17,77.68,77.68,77.27,76.58,77.79,77.79,78.01,77.61,78.08,77.69,77.84,77.96,77.67,76.98,77.49,78.42,78.38,78.29,78.29,77.21,76.7,76.63,76.56,77.37,76.88,76.52,76.14,75.02,75.31,75.26,74.02,74.41,76.94,76.52,77.71,77.95,77.16,77.87,77.87,78.5,78.54,79.11,79.85,79.66,79.88,79.68,79.75,80.29,80.32,80.16,79.01,79.73,79.88,80.1,80.1,79.86,79.91,80.09,79.84,80.2,79.88,79.56,80.85,80.84,79.9,79.72,79.68,79.83,79.25,79.6,78.56,78.81,78.83,79.54,79.42,79.73,79.49,79.3,79.3,79.05,78.67,78.41,78.27,77.77,77.68,77.7,76.78,77.65,77.13,77.13,77.37,78.18,77.77,77.75,77.17,76.59,77.31,77.31,77.22,77.73,76.65,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.62,75.5,74.94,74.89,74.83,74.48,74.48,74.14,74.11,73.44,73.29
Serbia,_Europe,16.49,16.49,16.04,15.31,15.23,20.09,20.0,18.77,18.74,18.69,18.56,18.55,18.53,18.53,18.45,18.35,18.32,18.32,18.19,17.35,17.33,17.32,17.32,17.32,13.63,12.82,12.18,12.18,12.18,12.12,11.42,10.82,10.82,10.73,10.72,10.7,10.7,10.69,14.41,14.24,14.23,14.23,14.15,13.84,13.84,13.54,13.48,13.47,13.46,13.33,25.36,25.13,25.11,26.51,24.19,23.97,23.89,23.75,24.5,24.28,24.13,23.96,25.0,25.08,21.94,21.62,21.62,21.62,21.58,21.35,21.29,21.11,20.65,20.34,20.86,20.35,20.35,20.12,20.12,20.12,20.05,19.71,19.6,19.32,19.22,19.21,18.98,18.93,18.78,18.78,18.76,18.59,18.12,21.95,21.78,25.19,25.11,24.82,24.82,24.82,24.8,24.76,25.66,31.05,31.05,31.05,30.81,29.88,29.78,29.73,29.43,29.04,29.04,26.46,26.42,26.39,26.37,26.2,26.07,27.25,26.76,27.09,27.54,27.35,27.31,27.31,28.25,28.22,27.74,33.66,33.25,32.96,32.96,32.91,32.66,32.41,32.39,32.35,32.35,32.22,32.14,33.42,33.32,32.78,32.65,32.58,32.42,32.0,31.88,31.72,31.72,31.54,31.46,31.35,30.86,30.2,30.12,30.62,30.46,30.22,29.78,29.58,29.42,29.23,30.53,30.25,30.21,29.52,29.47,29.3,31.18,31.17,31.12,30.98,33.26,35.22,35.1,35.75,35.51,35.41,36.15,36.14,36.92,36.93,36.7,37.33,37.61,37.61,37.61,37.61,37.6,37.6,37.6,37.59,37.59,37.59,37.59,37.51,37.35,37.31,39.37,39.59,39.59,39.59,40.44,39.96,39.84
Belgium,_Europe,41.5,41.5,40.71,47.25,46.61,49.81,54.67,51.28,51.06,51.01,50.3,50.19,49.96,49.06,48.73,49.52,51.83,51.77,51.77,50.27,58.64,63.71,63.42,64.91,60.98,63.71,68.18,68.05,68.05,67.09,64.47,63.72,63.62,62.92,63.52,60.37,60.13,59.56,60.23,59.07,58.65,58.59,58.09,57.49,57.03,55.78,55.35,54.38,53.78,54.01,54.57,54.24,53.86,54.99,56.81,56.3,56.11,55.72,56.25,55.4,54.61,54.34,53.74,53.66,52.79,52.25,51.93,51.58,51.13,50.78,50.6,50.39,49.71,48.98,49.0,48.29,48.29,47.67,47.67,47.67,47.53,46.92,46.71,45.91,45.46,45.85,45.57,46.71,46.62,46.62,47.04,47.1,47.17,46.9,46.82,45.96,45.78,45.65,45.88,45.96,45.92,45.87,47.29,47.09,47.09,47.09,46.79,45.82,46.0,45.85,45.93,45.75,45.75,44.01,45.87,47.06,48.02,47.94,47.78,48.85,48.64,48.6,48.14,49.04,48.77,51.32,51.33,51.84,51.45,51.63,51.28,51.04,51.75,51.78,52.45,52.21,52.16,52.16,52.16,52.35,52.2,52.2,52.09,52.17,52.2,52.24,52.44,52.19,51.94,51.83,52.18,51.64,51.47,51.01,50.06,49.73,50.06,50.22,49.99,49.6,49.12,48.55,49.17,48.95,48.75,49.08,48.68,47.92,48.46,48.45,47.64,47.64,47.47,47.49,48.11,48.11,47.89,49.17,48.9,48.6,48.42,49.65,50.16,49.76,49.46,50.18,50.25,50.25,50.25,50.25,50.19,50.19,50.19,50.16,50.16,50.16,50.16,50.09,49.8,49.77,49.73,49.54,49.54,49.35,50.1,49.33,49.29
Bulgaria,_Europe,14.95,14.95,14.66,14.17,14.1,19.11,19.02,17.85,17.82,17.77,17.64,17.63,17.61,17.6,17.53,17.45,17.43,17.43,17.35,16.5,16.49,16.47,16.47,16.47,12.84,12.07,11.43,11.43,11.43,11.37,10.72,10.12,10.12,10.06,10.05,10.04,10.03,10.03,9.99,9.8,9.79,9.79,9.72,9.44,9.44,9.2,9.2,9.0,8.99,8.98,8.97,8.97,8.95,9.46,9.05,8.93,8.92,8.92,8.92,8.91,8.9,8.9,8.87,8.86,6.28,6.27,6.26,6.26,5.9,5.9,5.9,5.94,5.56,5.54,5.53,5.48,5.48,5.42,5.42,5.42,5.41,5.3,5.24,5.0,4.99,4.99,4.98,4.98,4.9,13.1,13.09,12.93,12.66,17.0,16.85,16.52,16.44,16.32,16.32,16.32,16.24,16.21,16.9,22.18,22.82,23.22,23.08,22.15,22.08,22.02,21.79,21.35,21.35,18.7,21.45,21.43,21.35,21.19,21.19,21.19,20.85,23.9,23.58,23.24,23.21,23.21,23.2,23.17,23.09,23.75,23.58,23.43,23.43,23.38,23.3,23.29,23.29,23.36,26.63,27.67,28.7,28.95,28.84,28.6,28.43,29.74,29.65,29.59,29.43,29.21,29.59,29.58,29.54,29.45,28.63,28.04,28.42,28.65,28.51,28.29,28.41,28.32,28.8,28.88,28.81,29.78,30.82,30.65,30.86,31.61,31.51,31.55,31.56,31.56,33.35,33.99,34.39,34.33,35.55,36.48,38.76,38.71,40.91,40.69,41.13,41.65,41.85,41.85,41.85,41.85,41.85,42.2,42.2,42.2,42.2,42.2,42.2,42.12,41.78,41.74,41.69,41.52,41.52,41.35,41.13,40.55,40.44
