name,country,DNFs
Sarah Strong,Canada,542
Sebastián Pino Castillo,Chile,476
Erik Akkersdijk,Netherlands,415
Olivér Perge,Hungary,357
Dmitry Kryuzban,Russia,257
Breandan Vallance,United Kingdom,250
Sébastien Auroux,Germany,249
Daniel Wallin,Sweden,249
François Courtès,France,246
Ron van Bruchem,Netherlands,234
Markus Pirzer,Germany,232
Daniel Sheppard,United Kingdom,213
Javier Tirado Ortiz,Spain,212
Niko Ronkainen,Finland,208
Arnaud van Galen,Netherlands,207
Hippolyte Moreau,France,206
Laura Ohrndorf,Germany,203
Mike Kotch,USA,203
James Molloy,United Kingdom,202
Michał Rzewuski,Poland,198
Rowe Hessler,USA,196
Sanio Kasumovic,Austria,195
Ryan DeLine,USA,188
Noah Arthurs,USA,188
Oscar Roth Andersen,Denmark,185
James Hildreth,USA,184
Filippo Brancaleoni,Italy,184
Zachary Garber,USA,181
Joey Gouly,United Kingdom,181
Marcin Jakubowski,Poland,179
Ilya Tsiareshka,Belarus,178
Reto Bubendorf,Switzerland,177
Kit Clement,USA,169
Wojciech Knott,Poland,167
Yinghao Wang (王鹰豪),China,166
Chris Mills,United Kingdom,165
AJ Nicholls,United Kingdom,165
Wilhelm Kilders,Germany,164
Chris Martin,USA,163
Krzysztof Bober,Poland,159
Young He (何嘉炀),China,158
Nathan Dwyer,USA,158
Ting Sheng Bao Yang,Spain,157
Mats Valk,Netherlands,157
Nazar Lenyshyn (Назар Ленишин),Ukraine,157
Callum Hales-Jepp,United Kingdom,155
Łukasz Burliga,Poland,155
Ton Dennenbroek,Netherlands,155
Eric Zhao,USA,155
Przemysław Rogalski,Poland,154
Alexander Olleta del Molino,Spain,154
Dan Cohen,USA,153
Tobias Peter,Switzerland,153
Piotr Olszewski,Poland,151
Katie Hull,USA,150
Jakub Hamkało,Poland,150
Joshua Feran,USA,149
Nora Christ,Germany,148
Ryan Wu,Canada,147
Juliette Sébastien,France,147
Lauren Klemz,USA,146
Brandon Harnish,USA,146
Evan Liu,USA,145
Ihor Bilchenko (Ігор Більченко),Ukraine,145
Oleksandr Ivanchak (Олександр Іванчак),Ukraine,145
Jan Bentlage,Germany,144
Rachel Feran,USA,144
Igor Kowalczyk,Poland,143
Matteo Colombo,Italy,142
Fabian Auroux,Germany,142
Nathaniel Berg,Sweden,139
Corey Sakowski,USA,139
Dan Selzer,USA,139
Zhao-Zhe Zhong (鍾肇哲),Taiwan,139
Christopher Chi,USA,138
Jacob Ambrose,USA,138
Jonatan Kłosko,Poland,137
Lorenzo Vigani Poli,Italy,136
Dániel Varga,Hungary,136
Finn Ickler,Germany,135
Konstantin Jaehne,Germany,135
Marco Rota,Italy,135
Simone Santarsiero,Italy,134
Lars Vandenbergh,Belgium,134
Marcel Nycz,Poland,133
Walker Welch,USA,133
Bartłomiej Owczarek,Poland,132
Callum James Goodyear,United Kingdom,132
Antoine Cantin,Canada,131
Maria Oey,Indonesia,131
Tymon Kolasiński,Poland,131
Anders Berggren,Sweden,131
Michał Halczuk,Poland,131
Robert Yau,United Kingdom,130
Rasmus Stub Detlefsen,Denmark,129
Fabio Bini Graciose,Brazil,129
Deni Mintsaev (Дени Минцаев),Russia,129
Karol Zakrzewski,Poland,128
Eduard Esteban García Domínguez,Colombia,128
Blake Thompson,USA,127
Brúnó Bereczki,Hungary,127
Mateusz Cichoracki,Poland,127
Adam Polkowski,Poland,127
Luigi Soriano,USA,126
Yevhen Bondarenko (Євген Бондаренко),Ukraine,125
Clément Cherblanc,France,123
Bhargav Narasimhan,India,123
Matthew Dickman,USA,123
Michael Röhrer,Austria,123
Xinyun Chen (陈新运),China,121
Anish Rajesh,India,120
Mattias Uvesten,Sweden,120
Oscar Nieto,Colombia,120
Oscar Alberto Ceballos Contreras,Venezuela,119
Dennis Rosero,Colombia,119
Christopher Olson,USA,117
Elias Malomgré,Belgium,117
Livia Kleiner,USA,117
Wojciech Szatanowski,Poland,115
Marcin Zalewski,Poland,115
Cornelius Dieckmann,Germany,114
Andreas Pohl,Germany,113
Jules Desjardin,France,113
Hannah Minas,Switzerland,113
Jesús Masanet García,Spain,112
Dmitry Aniskin,Russia,112
Sebastian Weyer,Germany,112
Aneurin Hunt,New Zealand,111
Jakub Kipa,Poland,111
Szymon Jeziorski,Poland,111
Zijia Feng (冯子甲),China,111
Ilkyoo Choi (최일규),Korea,110
Juan Pablo Huanqui,Peru,110
Fabio Schwandt,United Kingdom,109
Dávid Balog,Hungary,108
Pessi Ansaranta,Finland,108
Jakob Gunnarsson,Sweden,107
Carter Kucala,USA,107
Ray Vince Ong,Canada,107
Shonathon Collins,USA,107
Brady Metherall,Canada,106
Will Cerne,USA,106
Leo Min-Bedford,Canada,106
Riley Dexter,Australia,106
Gaël Dusser,France,106
Simon Kellum,USA,106
Stanley Chapel,USA,106
Lim Hung (林弘),Malaysia,106
Yusheng Du (杜宇生),China,106
Hunor Bózsing,Hungary,105
Nobuaki Suga (菅信昭),Japan,105
Björn Korbanka,Germany,105
Parker Trager,USA,105
István Kocza,Hungary,104
Paolo Moriello,Italy,104
Matěj Mužátko,Czech Republic,103
Shivam Bansal,India,103
Emmet Hobbs,Australia,103
Rafał Waryszak,Poland,103
Mateusz Kotwica,Poland,103
Eva Kato,USA,103
Piotr Tokarski,Poland,103
