name,points,time
Shivam Bansal,48.0,59:48
Graham Siggins,42.0,54:52
Marcin Kowalczyk,41.0,54:14
Kamil Przybylski,37.0,58:37
Marcin Kowalczyk,35.0,55:00
DongJae Lee,33.0,58:01
Marcin Kowalczyk,32.0,55:36
Witali Bułatow,31.0,59:08
Kaijun Lin (林恺俊),30.0,54:11
Sukant Koul,29.0,53:02
Kaijun Lin (林恺俊),28.0,47:24
Witali Bułatow,27.0,56:50
Berta García Parra,26.0,56:27
Kamil Przybylski,25.0,50:47
Marcin Kowalczyk,24.0,33:58
Nikita Ovsyannikov (Никита Овсянников),23.0,55:28
Hongbin Chang (常宏彬),22.0,57:08
Martin Vædele Egdal,21.0,45:40
Stanley Chapel,20.0,40:34
Ainesh Sevellaraja,19.0,51:01
Oleg Gritsenko,18.0,53:00
Timothy Goh,17.0,39:48
Daniel Tidsey,16.0,50:23
Arthur Garcin,15.0,42:35
Ádám Barta,14.0,37:07
Callum Hales-Jepp,13.0,43:40
Grzegorz Jałocha,12.0,30:21
Stanley Chapel,11.0,23:58
Jan Bentlage,10.0,30:41
Neel Gore,9.0,13:20
Marcin Kowalczyk,8.0,9:32
Oleg Gritsenko,7.0,17:23
Guido Dipietro,6.0,10:18
Shivam Bansal,5.0,5:05
Shivam Bansal,4.0,5:51
Shivam Bansal,3.0,2:56
Kaijun Lin (林恺俊),2.0,0:47
