Name,Country,Streak,Type,Start Date,End Date
Feliks Zemdegs,Australia,2841,555 average,2010-09-04,2018-06-15
Marcin Kowalczyk,Poland,2093,333mbf single,2012-06-30,2018-03-24
Maciej Czapiewski,Poland,2088,222 single,2016-03-19,2021-12-06
Bingliang Li (李炳良),China,2029,sq1 average,2010-07-11,2016-01-30
Kevin Hays,USA,1834,666 single,2011-12-10,2016-12-17
Sebastian Weyer,Germany,1673,444 average,2012-06-23,2017-01-21
Juan Pablo Huanqui,Peru,1660,minx single,2017-05-21,2021-12-06
Chris Hardwick,USA,1589,555bf single,2006-03-11,2010-07-17
Tymon Kolasiński,Poland,1458,pyram average,2017-12-09,2021-12-06
Łukasz Burliga,Poland,1451,skewb average,2017-12-16,2021-12-06
Max Park,USA,1423,666 average,2018-01-13,2021-12-06
Jonatan Kłosko,Poland,1363,skewb single,2015-10-17,2019-07-11
Christian Kaserer,Italy,1302,222 single,2011-11-12,2015-06-06
Simon Westlund,Sweden,1294,minx single,2011-01-22,2014-08-08
Dominik Górny,Poland,1262,pyram single,2018-06-23,2021-12-06
Yunhao Lou (娄云皓),China,1234,clock average,2018-07-21,2021-12-06
Stanley Chapel,USA,1228,555bf single,2018-07-27,2021-12-06
Kaijun Lin (林恺俊),China,1201,444bf average,2016-03-27,2019-07-11
Stefan Pochmann,Germany,1176,clock single,2004-04-24,2007-07-14
Sam Zhixiao Wang (王志骁),China,1156,clock single,2011-12-24,2015-02-22
Nathaniel Berg,Sweden,1127,clock single,2015-06-20,2018-07-21
Mirek Goljan,Czech Republic,1120,333fm single,2003-08-23,2006-09-16
Yusheng Du (杜宇生),China,1108,333 single,2018-11-24,2021-12-06
Tomoaki Okayama (岡山友昭),Japan,1092,333fm single,2012-07-13,2015-07-10
Dror Vomberg,Israel,1077,444bf single,2003-08-23,2006-08-04
Martin Vædele Egdal,Denmark,1016,222 average,2018-10-20,2021-08-01
Mátyás Kuti,Hungary,987,clock average,2007-07-14,2010-03-27
Tomasz Kiedrowicz,Poland,950,pyram single,2008-02-24,2010-10-01
Oscar Roth Andersen,Denmark,938,pyram single,2013-03-30,2015-10-24
Erik Akkersdijk,Netherlands,932,minx average,2007-10-05,2010-04-24
Michał Pleskowicz,Poland,925,333oh average,2011-10-14,2014-04-26
Graham Siggins,USA,925,333mbf single,2019-05-26,2021-12-06
Sebastiano Tronto,Italy,905,333fm single,2019-06-15,2021-12-06
Vicenzo Guerino Cecchini,Brazil,903,sq1 average,2018-10-20,2021-04-10
Oliver Frost,United Kingdom,903,444bf single,2014-05-17,2016-11-05
Andrew Huang,Australia,879,skewb single,2019-07-11,2021-12-06
Marcell Endrey,Hungary,805,555bf single,2012-04-28,2014-07-12
Mats Valk,Netherlands,784,333 single,2013-03-02,2015-04-25
Shotaro Makisumi (牧角章太郎),Japan,784,333 average,2004-01-24,2006-03-18
