name,avgs,bpas,ratio
Sébastien Auroux,396,53,1.113
Wojciech Szatanowski,336,51,1.096
Bence Barát,376,49,1.088
Jan Bentlage,368,48,1.115
Tobias Peter,259,46,1.096
François Courtès,302,43,1.071
Philippe Virouleau,287,43,1.099
Reto Bubendorf,269,42,1.102
Feliks Zemdegs,261,40,1.122
Łukasz Burliga,219,38,1.117
Fabio Bini Graciose,282,36,1.1
Jiekang Pan (潘杰康),225,36,1.106
Robert Yau,186,35,1.1
Cornelius Dieckmann,212,34,1.1
Lorenzo Vigani Poli,198,34,1.11
Michał Halczuk,197,34,1.108
Erik Akkersdijk,215,34,1.099
Christopher Olson,256,33,1.108
Jayden McNeill,204,33,1.109
Marcin Jakubowski,225,33,1.079
Leon Schmidtchen,203,33,1.077
Daniel Wallin,226,33,1.123
Walker Welch,248,32,1.122
Valentin Hoffmann,168,32,1.085
Clément Cherblanc,221,32,1.107
Antoine Cantin,193,32,1.105
Finn Ickler,196,32,1.085
Henrik Buus Aagaard,178,31,1.084
Jiayu Wang (王佳宇),213,31,1.099
Kit Clement,161,31,1.083
James Hildreth,201,30,1.088
Hippolyte Moreau,154,30,1.092
Piotr Tokarski,283,30,1.106
Marco Rota,164,30,1.097
Jules Desjardin,210,30,1.101
Rafael Werneck Cinoto,226,30,1.084
Jan Zych,184,29,1.121
Dániel Varga,253,29,1.099
Matteo Provasi,245,29,1.079
Ron van Bruchem,185,28,1.106
Theo Mayer,165,28,1.098
Shivam Bansal,153,28,1.12
Juliette Sébastien,202,28,1.097
Mats Valk,241,28,1.121
Javier Tirado Ortiz,176,28,1.087
Przemysław Rogalski,264,27,1.105
Yinghao Wang (王鹰豪),219,27,1.126
Arnaud van Galen,172,27,1.075
Katie Hull,187,27,1.077
Matic Omulec,140,27,1.08
Laura Ohrndorf,196,26,1.083
Kevin Gerhardt,118,26,1.13
Antonie Paterakis,163,26,1.118
Alexander Olleta del Molino,185,26,1.113
Callum James Goodyear,156,26,1.095
Akash Rupela,155,26,1.09
Tim Reynolds,230,26,1.1
Sinpei Araki (荒木慎平),178,25,1.109
Callum Hales-Jepp,224,25,1.122
Rafał Waryszak,137,25,1.096
Bhargav Narasimhan,166,25,1.113
Ilya Tsiareshka,195,25,1.097
Dmitry Dobrjakov,122,25,1.087
Ihor Bilchenko (Ігор Більченко),161,24,1.086
Nicolas Gertner,163,24,1.102
Niko Ronkainen,217,24,1.13
Andreas Pohl,160,24,1.122
Maciej Czapiewski,160,24,1.103
Ting Sheng Bao Yang,189,24,1.089
Joey Gouly,156,24,1.105
Michał Rzewuski,207,24,1.138
Phillip Lewicki,116,23,1.102
Przemysław Kaleta,132,23,1.098
Wilfrid Py,127,23,1.098
Ming Zheng (郑鸣),182,23,1.084
Brady Metherall,95,23,1.076
Anthony Brooks,173,23,1.114
Piotr Kózka,144,23,1.074
Raymond Goslow,135,23,1.081
Bartłomiej Owczarek,125,22,1.106
Carlos Méndez García-Barroso,138,22,1.117
Rubén Moreno Martinez,115,22,1.088
Michał Pleskowicz,220,22,1.122
Corey Sakowski,154,22,1.102
José Antonio Navarro Sánchez,135,22,1.101
Antoine Piau,188,22,1.115
Jesús Masanet García,146,22,1.079
Olivér Perge,187,22,1.103
Lars Vandenbergh,127,21,1.08
Vicenzo Guerino Cecchini,111,21,1.102
Hunor Bózsing,139,21,1.097
Elvin Thorsen,113,21,1.107
Pau Vela García,150,21,1.088
Eduard Esteban García Domínguez,137,21,1.08
James Molloy,138,21,1.128
Ton Dennenbroek,135,21,1.096
Calvin Nielson,116,21,1.123
Dmitry Dergunov,122,21,1.095
Karol Zakrzewski,157,21,1.111
Yi-Fan Wu (吳亦凡),131,20,1.078
Ulrik Bredland,146,20,1.096
Maksym Yeli (Максим Єлі),101,20,1.083
Pablo Nicolás Oshiro Mondoñedo,94,20,1.085
Marcin Stachura,126,20,1.078
Rowe Hessler,173,20,1.106
Pavel Galaktionov,93,20,1.078
Rasmus Stub Detlefsen,111,20,1.157
Matěj Mužátko,94,20,1.141
Robin Verstraten,124,20,1.083
Zijia Feng (冯子甲),139,20,1.076
Zhao-Zhe Zhong (鍾肇哲),136,20,1.089
Mitchell Lane,107,20,1.092
Michał Wojcieszek,93,20,1.094
Bob Burton,118,20,1.078
Michał Krasowski,144,20,1.108
Jakub Kipa,175,19,1.094
Simone Cantarelli,159,19,1.081
Krzysztof Bober,114,19,1.08
Ivan Torgashov (Иван Торгашов),146,19,1.084
Joshua Feran,136,19,1.097
Rafael Rodriguez Santana,173,19,1.113
Xiaowei Wang (王晓伟),97,19,1.078
Anthony Lafourcade,140,19,1.1
Filippo Brancaleoni,153,19,1.1
Brandon Mikel,98,19,1.078
Blake Thompson,195,19,1.134
Mateusz Fydrych,126,19,1.086
Linus Frész,132,19,1.103
Marcos Ameijeiras Moreno,122,19,1.082
Zayn Khanani,117,19,1.117
José Leonardo Chaparro Prieto,130,19,1.119
Jong-Ho Jeong (정종호),104,19,1.126
Ben Whitmore,88,19,1.076
Nikhil Soares,114,19,1.103
Sergi Sabat,113,18,1.085
Rui-Jun Liu (劉睿鈞),93,18,1.076
Nobuaki Suga (菅信昭),85,18,1.08
Clara Lafourcade,106,18,1.095
Alwin Rölz,140,18,1.1
Eric Zhao,104,18,1.1
Michael Young,126,18,1.098
Gunnar Krig,113,18,1.075
Jonatan Kłosko,97,18,1.113
Mulun Yin (阴目仑),147,18,1.099
Luke Garrett,128,18,1.112
Jakub Wolniewicz,112,18,1.097
Daniel Sheppard,124,18,1.103
Ethan Pride,106,18,1.098
Carsten Matheus,69,18,1.071
Zachary Garber,75,18,1.081
Lina Tissier,106,18,1.07
Abdelhak Kaddour,126,18,1.094
Henri Gerber,96,18,1.12
Cameron Stollery,148,17,1.107
Bill Wang,103,17,1.105
Ole Nikolai Gjerset,108,17,1.101
Naren Ramesh,110,17,1.094
Shao-Heng Hung (洪紹恆),118,17,1.104
Dominik Górny,111,17,1.079
Jacob Ambrose,173,17,1.091
Kévin Cagnon,114,17,1.075
Sam Chaplin,76,17,1.087
Ruohan Qiu (邱若寒),99,17,1.113
Manuel Bühler,98,17,1.083
Kevin Guillaumond,82,17,1.097
Vladislav Kaminskiy,88,17,1.077
Andy Denney,114,17,1.108
Rami Sbahi,98,17,1.113
Yu-Kai Chen (陳宇楷),83,17,1.101
Bautista Bonazzola,103,17,1.114
Tim Xie,71,17,1.11
Simon Kellum,82,17,1.131
Ernesto Gutiérrez Cuba,106,17,1.085
Thomas Schmidt,127,17,1.087
Piotr Olszewski,121,17,1.091
Daniël Kassab,104,17,1.104
Yusheng Du (杜宇生),110,17,1.133
Alberto Pérez de Rada Fiol,186,17,1.107
Iuri Grangeiro Carvalho,119,17,1.101
Tommy Kiprillis,102,17,1.078
John Brechon,132,17,1.101
Wilhelm Kilders,157,16,1.098
Christopher Chi,129,16,1.146
Szymon Malinowski,105,16,1.079
David Nguyen,83,16,1.103
Ping-Yueh Huang (黃品越),109,16,1.135
Chris Mills,106,16,1.113
Mario Laurent,118,16,1.083
Daniel Gracia Ortiz,146,16,1.116
Maria Oey,132,16,1.116
Kirt Protacio,91,16,1.072
Daniel Guardado Cabral,86,16,1.09
Lorenzo Mauro,93,16,1.103
Lucas Garron,74,16,1.096
Zach Goldman,101,16,1.103
Livia Kleiner,115,16,1.091
Paul Mahvi,134,16,1.101
Charlie Stark,111,16,1.101
Adam Polkowski,94,16,1.092
Hunor Mogyorósi,85,16,1.078
Lucas Etter,121,16,1.099
Lev Golub (Лев Голуб),125,16,1.097
Bill Hammill,83,15,1.093
Jedrick Remonde,98,15,1.093
