country,fours,scrambles,scramblesPerFour
Nigeria,0,7,7
Cambodia,0,14,14
Cuba,0,14,14
Madagascar,0,21,21
Kenya,0,21,21
Sri Lanka,0,28,28
Malta,0,28,28
Luxembourg,0,35,35
Palestine,0,42,42
Georgia,0,42,42
Pakistan,1,42,42
Tajikistan,0,42,42
Albania,0,49,49
Kuwait,0,49,49
Kosovo,0,49,49
Ghana,0,49,49
Armenia,0,56,56
Algeria,0,63,63
Liechtenstein,0,70,70
Morocco,0,77,77
Montenegro,0,84,84
Egypt,0,91,91
North Macedonia,0,98,98
Mauritius,0,98,98
Kyrgyzstan,0,105,105
Moldova,0,119,119
Cyprus,0,126,126
Jordan,0,140,140
Bulgaria,0,161,161
Bahrain,0,168,168
Singapore,0,189,189
San Marino,0,196,196
Andorra,0,203,203
Thailand,0,210,210
Panama,0,217,217
Hong Kong,0,217,217
Uzbekistan,0,224,224
Iceland,0,224,224
Bosnia and Herzegovina,0,238,238
Paraguay,0,288,288
Honduras,0,301,301
Austria,1,301,301
Portugal,0,308,308
Serbia,0,308,308
Israel,0,308,308
Bangladesh,0,315,315
Greece,0,322,322
Azerbaijan,0,343,343
Tunisia,0,413,413
United Arab Emirates,1,434,434
Ireland,0,448,448
Kazakhstan,2,959,480
Costa Rica,0,483,483
Latvia,1,497,497
Slovenia,0,546,546
Lithuania,0,567,567
Romania,2,1176,588
Nepal,0,588,588
El Salvador,0,609,609
Ukraine,4,2439,610
Croatia,1,630,630
Belarus,2,1365,682
Iran,0,718,718
Mongolia,0,721,721
Estonia,0,732,732
Dominican Republic,0,770,770
Czech Republic,0,812,812
Hungary,0,826,826
Slovakia,0,994,994
Vietnam,0,1024,1024
Ecuador,0,1036,1036
Mexico,2,2080,1040
Sweden,2,2163,1082
Italy,3,3360,1120
Uruguay,0,1141,1141
Russia,6,6853,1142
Korea,0,1148,1148
Belgium,0,1169,1169
Taiwan,2,2352,1176
Malaysia,0,1190,1190
South Africa,1,1232,1232
Canada,4,5309,1327
Australia,4,5313,1328
Japan,0,1358,1358
Turkey,1,1372,1372
Venezuela,1,1386,1386
Chile,0,1442,1442
Brazil,5,7250,1450
Peru,3,4368,1456
Poland,5,7518,1504
New Zealand,1,1577,1577
Spain,4,6363,1591
Colombia,2,3206,1603
India,13,20902,1608
Argentina,1,1704,1704
Norway,0,1722,1722
Denmark,0,1771,1771
USA,17,30852,1815
Bolivia,1,1876,1876
World,100,191428,1914
Netherlands,0,1943,1943
Switzerland,1,2093,2093
Finland,0,2107,2107
Guatemala,0,2373,2373
Philippines,0,2631,2631
United Kingdom,1,2671,2671
China,4,13019,3255
Germany,1,3276,3276
Indonesia,0,3630,3630
France,0,4221,4221
