Rank,Name,Country,Average
1,Max Park,USA,252.0
2,Tymon Kolasiński,Poland,271.31
3,Feliks Zemdegs,Australia,273.26
4,Ciarán Beahan,Ireland,281.57
5,Seung Hyuk Nahm (남승혁),Korea,288.68
6,János Bereczki,Romania,293.86
7,Kevin Hays,USA,296.07
8,Aryan Kejriwal,USA,317.08
9,Sebastian Weyer,Germany,318.72
10,Mattia Furlan,Italy,321.5
11,Abdelhak Kaddour,France,322.15
12,Michał Halczuk,Poland,322.86
13,Bill Wang,Canada,323.26
14,Benjamin Wei,USA,323.81
15,Alexey Zharikov,Russia,324.08
16,Anyu Zhang (张安宇),China,324.26
17,Max Xiong (熊锐明),China,325.5
18,Ping-Yueh Huang (黃品越),Taiwan,325.99
19,Xuming Wang (王旭明),China,328.27
20,Wong Kin Lok (黃健樂),Hong Kong,328.47
21,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,328.71
22,Brandon Nunez,USA,331.63
23,Pedro Alejandro Condo Tellez,Peru,333.95
24,Paul Mahvi,USA,334.29
25,Yi-Fan Wu (吳亦凡),Taiwan,334.51
26,Cian-Jyun Yang (楊謙君),Taiwan,336.25
27,Luke Tycksen,USA,336.43
28,Zhangshuai Zhou (周章率),China,336.44
29,Matty Hiroto Inaba,USA,336.6
30,Mahith Bandi,USA,336.91
31,Patrick Ponce,USA,337.01
32,Martin Vædele Egdal,Denmark,337.52
33,Ivan Li Ka Leong (李嘉亮),Hong Kong,338.02
34,Firstian Fushada (符逢城),Indonesia,338.06
35,Simon Stannek,Germany,339.08
36,Mats Valk,Netherlands,339.68
37,Zachary White,USA,340.15
38,Zixuan Liu (刘子瑄),China,340.45
39,Lucas Wesche,Germany,341.77
40,DongSoo Park (박동수),Korea,341.86
41,Ivan Lew Yi Wen (刘义文),Malaysia,343.17
42,Bautista Bonazzola,Argentina,343.83
43,Shih-Hao Wang (王士豪),Taiwan,345.44
44,Maksym Yeli (Максим Єлі),Ukraine,345.49
45,Kai-Wen Wang (王楷文),Taiwan,345.79
46,Yu Tang (唐语),China,346.26
47,Przemysław Kaleta,Poland,346.77
48,Max Siauw,USA,346.79
49,Sean Hartman,USA,347.08
50,Yu Feng (冯煜),China,347.11
51,Eli Jay,United Kingdom,347.31
52,Alexis Rodrigo Cazu Mendoza,Mexico,347.61
53,Marek Majerik,Slovakia,347.63
54,Sei Sugama (洲鎌星),Japan,347.96
55,Kai Su (苏锴),China,348.18
56,Kevin Gerhardt,Germany,349.18
57,Eder Olivencia Gonzalez,Spain,350.24
58,Matěj Grohmann,Czech Republic,350.86
59,Gabriel Santiago Velez Gonzalez,Colombia,351.97
60,Kuo-Hau Wu (吳國豪),Taiwan,352.74
61,Ryan Driscoll,Australia,353.75
62,Mateusz Szulik,Poland,354.64
63,Manfred Siew Ee Sheng (蕭奕晟),Malaysia,355.01
64,Antonio López,Spain,355.91
65,Junliang Huang (黄骏亮),China,356.13
66,He-Ping Zheng (鄭和平),Taiwan,356.17
67,Richard Delacoste,Switzerland,357.43
68,Dana Yi,USA,357.71
69,Evan Liu,USA,358.16
70,Szymon Malinowski,Poland,358.18
71,Fung Hoi Yin (馮凱賢),Hong Kong,358.74
72,Paris Dorn,Canada,359.09
73,Celine Tran,Norway,359.67
74,Xin Luo (罗鑫),China,359.79
75,Stanley Chapel,USA,360.22
76,Livia Kleiner,USA,360.29
77,Janelle Loh,Singapore,360.89
78,Vincent Hartanto Utomo,Indonesia,361.09
79,Jane Behrle,USA,361.18
80,Marco Antonio Ponce de León Aguilar,Peru,361.29
81,Henri Gerber,Germany,361.96
82,Lee Hoween,Malaysia,362.94
83,Ryan Wu,Canada,362.94
84,Karol Zakrzewski,Poland,364.26
85,Lin Chen (陈霖),China,365.3
86,Anish Rajesh,India,365.86
87,Bence Barát,Hungary,366.18
88,Kunal Oak,India,366.58
89,Jack Pfeifer,USA,367.43
90,Sheldon Rego,India,368.06
91,Yu Sajima (佐島優),Japan,368.54
92,Robert Yau,United Kingdom,368.89
93,Marco Vorländer,Germany,369.27
94,Zhao-Zhe Zhong (鍾肇哲),Taiwan,369.29
95,Wong Chong Wen (黄崇文),Singapore,369.36
96,Ivan Torgashov (Иван Торгашов),Russia,370.31
97,Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,370.39
98,Pahul Singh,Canada,370.53
99,Chun-Pao Ni (倪君寶),Taiwan,370.53
100,Vladislav Shavelskiy,Russia,370.59
101,Antonie Paterakis,Greece,370.91
102,Magnus Patrick Kanstrup,Denmark,371.2
103,Tristan Chua Yong,Singapore,371.66
104,Jared Stinson,USA,372.06
105,Yusheng Du (杜宇生),China,372.51
