Rank,Name,Country,Single
1,Max Park,USA,229.44
2,Tymon Kolasiński,Poland,249.96
3,Feliks Zemdegs,Australia,252.68
4,Ciarán Beahan,Ireland,256.8
5,Kevin Hays,USA,262.03
6,János Bereczki,Romania,273.99
7,Seung Hyuk Nahm (남승혁),Korea,274.97
8,Aryan Kejriwal,USA,280.82
9,Abdelhak Kaddour,France,287.77
10,Sebastian Weyer,Germany,289.02
11,Michał Halczuk,Poland,290.52
12,Xuming Wang (王旭明),China,291.64
13,Ping-Yueh Huang (黃品越),Taiwan,293.69
14,Anyu Zhang (张安宇),China,294.51
15,Mahith Bandi,USA,294.66
16,Mattia Furlan,Italy,295.27
17,Brandon Nunez,USA,295.95
18,Bill Wang,Canada,296.47
19,Wong Kin Lok (黃健樂),Hong Kong,296.49
20,Yi-Fan Wu (吳亦凡),Taiwan,299.31
21,Pedro Alejandro Condo Tellez,Peru,300.32
22,Alexey Zharikov,Russia,300.77
23,Max Xiong (熊锐明),China,302.65
24,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,303.62
25,Benjamin Wei,USA,305.2
26,Zixuan Liu (刘子瑄),China,306.1
27,Patrick Ponce,USA,308.3
28,Luke Tycksen,USA,309.53
29,Firstian Fushada (符逢城),Indonesia,309.71
30,Martin Vædele Egdal,Denmark,310.36
31,Paul Mahvi,USA,310.81
32,Zhangshuai Zhou (周章率),China,312.91
33,Mats Valk,Netherlands,312.94
34,Lucas Wesche,Germany,313.23
35,Ivan Li Ka Leong (李嘉亮),Hong Kong,313.82
36,Eli Jay,United Kingdom,313.85
37,Cian-Jyun Yang (楊謙君),Taiwan,313.91
38,Kai-Wen Wang (王楷文),Taiwan,314.64
39,DongSoo Park (박동수),Korea,314.74
40,Matty Hiroto Inaba,USA,315.64
41,Celine Tran,Norway,316.25
42,Max Siauw,USA,316.58
43,Gabriel Santiago Velez Gonzalez,Colombia,316.74
44,Yu Tang (唐语),China,317.09
45,Simon Stannek,Germany,317.24
46,Sei Sugama (洲鎌星),Japan,317.28
47,Kuo-Hau Wu (吳國豪),Taiwan,317.68
48,Ivan Lew Yi Wen (刘义文),Malaysia,317.85
49,Shih-Hao Wang (王士豪),Taiwan,318.01
50,Sean Hartman,USA,318.06
51,Przemysław Kaleta,Poland,318.95
52,Bautista Bonazzola,Argentina,319.03
53,Richard Delacoste,Switzerland,319.62
54,Matěj Grohmann,Czech Republic,319.65
55,Kai Su (苏锴),China,320.79
56,Kevin Gerhardt,Germany,321.15
57,Ryan Wu,Canada,321.26
58,Evan Liu,USA,321.67
59,Fung Hoi Yin (馮凱賢),Hong Kong,322.1
60,Zachary White,USA,322.77
61,Stanley Chapel,USA,322.87
62,Marek Majerik,Slovakia,323.07
63,Maksym Yeli (Максим Єлі),Ukraine,323.32
64,Livia Kleiner,USA,323.39
65,He-Ping Zheng (鄭和平),Taiwan,323.41
66,Ryan Driscoll,Australia,323.68
67,Alexis Rodrigo Cazu Mendoza,Mexico,324.42
68,Dana Yi,USA,324.7
69,Manfred Siew Ee Sheng (蕭奕晟),Malaysia,324.76
70,Junliang Huang (黄骏亮),China,325.1
71,Yu Feng (冯煜),China,325.5
72,Mateusz Szulik,Poland,325.72
73,Janelle Loh,Singapore,328.18
74,Eder Olivencia Gonzalez,Spain,328.36
75,Antonie Paterakis,Greece,328.78
76,Anish Rajesh,India,328.82
77,Szymon Malinowski,Poland,328.94
78,Paris Dorn,Canada,330.83
79,Vincent Hartanto Utomo,Indonesia,331.66
80,Pahul Singh,Canada,331.92
81,Xin Luo (罗鑫),China,333.51
82,Bence Barát,Hungary,333.75
83,Lin Chen (陈霖),China,334.25
84,Antonio López,Spain,334.4
85,Lee Hoween,Malaysia,334.41
86,Jared Stinson,USA,335.06
87,Henri Gerber,Germany,335.7
88,Wong Chong Wen (黄崇文),Singapore,335.98
89,Karol Zakrzewski,Poland,336.17
90,Jane Behrle,USA,337.08
91,Yusheng Du (杜宇生),China,337.3
92,Sheldon Rego,India,337.41
93,Cameron Soulagnet,USA,337.57
94,Carlos Tapp,Spain,337.95
95,Tommy Cherry,USA,338.28
96,Ivan Torgashov (Иван Торгашов),Russia,338.46
97,Yu Sajima (佐島優),Japan,338.81
98,Marco Vorländer,Germany,338.82
99,Robert Yau,United Kingdom,338.84
100,Kunal Oak,India,340.17
101,Jack Pfeifer,USA,340.48
102,Vladyslav Hryniuk (Владислав Гринюк),Ukraine,340.72
103,Marco Antonio Ponce de León Aguilar,Peru,341.18
104,Richmond Mico Rigor,Philippines,341.23
105,Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,341.92
106,Artyom Martirosov,Russia,342.37
107,Theo Iván Goluboff,Argentina,342.71
108,Zhao-Zhe Zhong (鍾肇哲),Taiwan,342.72
109,Magnus Patrick Kanstrup,Denmark,343.08
110,Laura Holzhauer,Germany,343.15
111,Chun-Pao Ni (倪君寶),Taiwan,343.66
112,Andy Gong,Australia,344.01
113,Lucas Etter,USA,344.59
114,Katie Hull,USA,344.66
115,Jason Lee,USA,344.91
116,Vladislav Shavelskiy,Russia,345.39
117,John Brechon,USA,345.5
118,Bartłomiej Owczarek,Poland,345.97
119,Tomohiro Kobayashi (小林知広),Japan,346.37
120,Kim Roger Høyland Larsen,Norway,346.37
121,Sheng Cao (曹晟),China,346.54
122,Danny SungIn Park,Korea,346.87
123,Tristan Chua Yong,Singapore,347.63
124,Magnus Søndergaard Byrne,Denmark,347.87
125,Amos Nordman,Finland,347.97
126,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),Mongolia,348.03
127,Jayden McNeill,Australia,348.22
128,Yap Jia Yang,Malaysia,348.48
129,Alwin Rölz,Switzerland,349.08
130,Yueh-Lin Tsai (蔡岳霖),Taiwan,349.08
131,Ben Kirby,New Zealand,349.35
132,Jingzheng Wang (王景正),China,350.07
133,Malte Ihlefeld,Germany,350.31
134,Vladyslav Zhydkov (Владислав Жидков),Ukraine,350.41
135,Jakob Gunnarsson,Sweden,350.57
136,Chris Choi,USA,352.12
137,Walker Welch,USA,352.63
138,Alexander Botz,Germany,352.73
139,Sergey Shitov,Russia,352.98
140,Kam Chor Kin (甘楚健),China,353.63
141,Ho Hsieh (謝合),Taiwan,354.14
142,Mitchell Lane,USA,354.69
143,Kailong Li (李开隆),China,354.7
144,Bryan Eng,Australia,355.1
145,Waldemar Sundin,Sweden,355.43
146,Wei-Ming Zeng (曾唯銘),Taiwan,355.55
147,Carter Bitz,USA,355.72
148,Tomáš Zatroch,Slovakia,355.84
149,Marjorie Marbly Miranda Nunes,Brazil,356.12
150,Clément Cherblanc,France,356.49
151,Martin Fronescu,Romania,356.89
152,Arnav Arora,India,357.39
153,Gustav Wälivaara,Sweden,357.41
154,Nathan Soria,USA,357.57
155,Kazuki Sakamoto (坂本一樹),Japan,357.74
156,Ray Zhang (张灏睿),Australia,358.45
157,Simon Westlund,Sweden,358.69
158,Jong-Ho Jeong (정종호),Korea,358.97
159,Jorge Leonardo Sánchez Salazar,Mexico,359.15
160,Aleksandr Nedelko,Russia,359.53
161,Lim Hung (林弘),Malaysia,359.57
162,Alvin Yang,China,359.58
163,Sameer Mahmood,United Kingdom,359.8
164,Kate Grahame,USA,359.92
165,Vincent Chen,USA,360.09
166,Jonah Crosby,USA,360.31
167,Daryl Tan Hong An,Singapore,360.64
168,Breandan Vallance,United Kingdom,360.83
169,Yi Seung-Woo (이승우),Korea,361.11
170,Keaton Ellis,USA,361.2
171,Gael Augusto Lapeyre,Argentina,361.94
172,Emily Wang,Canada,362.11
173,Sean Belke,USA,362.22
174,William Jensen,Sweden,362.64
175,Rasmus Stub Detlefsen,Denmark,362.74
176,Doyul Kim (김도율),Korea,362.99
177,Sam Jacklin,United Kingdom,363.32
178,Carter Kucala,USA,363.67
179,Ray Leung Ka Ho (梁家浩),Hong Kong,363.7
