name,country,222
Zayn Khanani,USA,1396
Alexey Tsvetkov,Russia,1353
Sebastian Williams,United Kingdom,1346
Martin Vædele Egdal,Denmark,1345
Sam Sieracki,Australia,1329
Tymon Kolasiński,Poland,1321
Leo Lindqvist,Sweden,1310
Jonathan Charlesworth,Australia,1309
Magdalena Pabisz,Poland,1298
Maciej Czapiewski,Poland,1297
Feliks Zemdegs,Australia,1297
Andy Gong,Australia,1294
Joshua Hounslow,Australia,1294
Jode Brewster,Australia,1288
Theo Skoog,Sweden,1286
Rasmus Stub Detlefsen,Denmark,1283
Antonie Paterakis,Greece,1275
Phoenix Patterson,Australia,1274
Łukasz Burliga,Poland,1268
Marquez Phan,Australia,1267
Elvin Thorsen,Sweden,1267
Thomas Schmidt,Denmark,1261
Jiazhou Li (李佳洲),China,1260
Yingjian Gong (龚英健),China,1255
Will Gurnett,Australia,1252
Riley Dexter,Australia,1252
Tim Xie,New Zealand,1251
Sky Guo (郭建欣),Hong Kong,1251
Lachlan Stephens,Australia,1250
Hassan Khanani,USA,1250
Zhibo Jin (金智博),China,1249
Benjamin Warry,Australia,1246
Guanbo Wang (王冠博),China,1244
Adam Jagła,Poland,1237
Rilang Cao (曹日朗),China,1237
David Epstein,Australia,1236
Olaf Kuźmiński,Poland,1235
George Scholey,United Kingdom,1234
William Jensen,Sweden,1232
Tyler Williams,Australia,1231
Xiaoke Xu (徐晓珂),China,1230
Linus Laurén,Finland,1229
Francisco Hamlin,Argentina,1226
Dwyane Ramos,New Zealand,1226
Amy Smith,Australia,1225
Daniel Karnaukh,USA,1223
Zhiyuan Ma (马之元),China,1220
Huang-Bang Fang (房黃邦),Taiwan,1214
Lennon Hughes,Australia,1214
Simon Jansson,Sweden,1213
Juliette Sébastien,France,1212
Henri Gerber,Germany,1211
Yezhen Han (韩业臻),China,1208
Alexander Bashutkin,Russia,1207
Mikołaj Zubowicz,Poland,1207
Jiekang Pan (潘杰康),China,1204
Zak Kenny,Australia,1201
Ryan Pilat,USA,1201
Daniel Vædele Egdal,Denmark,1200
Ethan Stevens,Australia,1199
Jakub Hamkało,Poland,1199
Yibo Wang (王奕博),China,1198
Jeremy Foott,Australia,1198
Joe Davis,Australia,1198
Izan Cantero Herrera,Spain,1195
Alexander Vujcich,New Zealand,1195
Jayden McNeill,Australia,1193
Jeann Valdez,Australia,1193
Linus Thyberg,Sweden,1193
Ianis Costin Chele,Romania,1193
Kai-Wen Wang (王楷文),Taiwan,1193
Joel Cetra,Germany,1193
Kevin Gerhardt,Germany,1189
Yinghao Wang (王鹰豪),China,1188
Luke Garrett,USA,1187
Xinyun Chen (陈新运),China,1186
Kajetan Opach,Poland,1184
Yiheng Wang (王艺衡),China,1180
Wilhelm Kilders,Germany,1178
Ivan Polkanov (Иван Полканов),Russia,1178
Ben Stokes,United Kingdom,1178
Ben Whitmore,United Kingdom,1177
Chenhao Ma (马晨皓),China,1176
Yu-Kai Chen (陳宇楷),Taiwan,1175
Mika Smulders,Netherlands,1174
Louis-Marie Ratto,France,1173
Amos Nordman,Finland,1173
Xulang Li (黎旭朗),China,1172
Alexander Tosting,Sweden,1171
Lucas O'Connell,New Zealand,1170
